,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,FH Allen,Mahedi Hasan,R Ravindra,1,0,1,1,1,1,1,1,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
1,R Ravindra,Mahedi Hasan,FH Allen,1,0,1,2,1,1,2,1,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
2,FH Allen,Mahedi Hasan,R Ravindra,4,0,4,6,5,2,3,1,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
3,FH Allen,Mahedi Hasan,R Ravindra,0,0,0,6,5,3,4,1,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
4,FH Allen,Mahedi Hasan,R Ravindra,4,0,4,10,9,4,5,1,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
5,FH Allen,Mahedi Hasan,R Ravindra,1,0,1,11,10,5,6,1,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
6,FH Allen,Nasum Ahmed,R Ravindra,0,0,0,11,10,6,1,2,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
7,FH Allen,Nasum Ahmed,R Ravindra,4,0,4,15,14,7,2,2,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
8,FH Allen,Nasum Ahmed,R Ravindra,0,0,0,15,14,8,3,2,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
9,FH Allen,Nasum Ahmed,R Ravindra,1,0,1,16,15,9,4,2,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
10,R Ravindra,Nasum Ahmed,FH Allen,0,0,0,16,1,2,5,2,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
11,R Ravindra,Nasum Ahmed,FH Allen,0,0,0,16,1,3,6,2,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
12,FH Allen,Mustafizur Rahman,R Ravindra,0,0,0,16,15,10,1,3,caught,FH Allen,Mahmudullah,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
13,WA Young,Mustafizur Rahman,R Ravindra,0,0,0,16,0,1,2,3,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
14,WA Young,Mustafizur Rahman,R Ravindra,0,0,0,16,0,2,3,3,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
15,WA Young,Mustafizur Rahman,R Ravindra,0,0,0,16,0,3,4,3,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
16,WA Young,Mustafizur Rahman,R Ravindra,0,0,0,16,0,4,5,3,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
17,WA Young,Mustafizur Rahman,R Ravindra,0,0,0,16,0,5,6,3,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
18,R Ravindra,Shakib Al Hasan,WA Young,1,0,1,17,2,4,1,4,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
