,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Tamim Iqbal,AR Nurse,Soumya Sarkar,0,0,0,0,145,0,1,1,1,stumped,Tamim Iqbal,D Ramdin,1,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
1,Liton Das,AR Nurse,Soumya Sarkar,4,0,4,4,141,4,1,1,2,0,,,1,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
2,Liton Das,AR Nurse,Soumya Sarkar,1,0,1,5,140,5,2,1,3,0,,,1,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
3,Soumya Sarkar,AR Nurse,Liton Das,0,0,0,5,140,0,1,2,4,bowled,Soumya Sarkar,,1,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
4,Shakib Al Hasan,AR Nurse,Liton Das,1,0,1,6,139,1,1,2,5,0,,,1,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
5,Liton Das,AR Nurse,Shakib Al Hasan,0,0,0,6,139,5,3,2,6,0,,,1,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
6,Shakib Al Hasan,AD Russell,Liton Das,1,0,1,7,138,2,2,2,1,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
7,Liton Das,AD Russell,Shakib Al Hasan,0,0,0,7,138,5,4,2,2,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
8,Liton Das,AD Russell,Shakib Al Hasan,0,0,0,7,138,5,5,2,3,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
9,Liton Das,AD Russell,Shakib Al Hasan,0,0,0,7,138,5,6,2,4,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
10,Liton Das,AD Russell,Shakib Al Hasan,0,0,0,7,138,5,7,2,5,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
11,Liton Das,AD Russell,Shakib Al Hasan,1,0,1,8,137,6,8,2,6,0,,,2,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
12,Liton Das,S Badree,Shakib Al Hasan,0,0,0,8,137,6,9,2,1,0,,,3,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
13,Liton Das,S Badree,Shakib Al Hasan,0,0,0,8,137,6,10,2,2,0,,,3,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
14,Liton Das,S Badree,Shakib Al Hasan,4,0,4,12,133,10,11,2,3,0,,,3,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
15,Liton Das,S Badree,Shakib Al Hasan,4,0,4,16,129,14,12,2,4,0,,,3,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
16,Liton Das,S Badree,Shakib Al Hasan,0,0,0,16,129,14,13,2,5,0,,,3,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
17,Liton Das,S Badree,Shakib Al Hasan,1,0,1,17,128,15,14,2,6,0,,,3,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
18,Liton Das,AD Russell,Shakib Al Hasan,0,0,0,17,128,15,15,2,1,0,,,4,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
19,Liton Das,AD Russell,Shakib Al Hasan,3,0,3,20,125,18,16,2,2,0,,,4,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
20,Shakib Al Hasan,AD Russell,Liton Das,4,0,4,24,121,6,3,2,3,0,,,4,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
21,Shakib Al Hasan,AD Russell,Liton Das,0,0,0,24,121,6,4,2,4,0,,,4,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
22,Shakib Al Hasan,AD Russell,Liton Das,4,0,4,28,117,10,5,2,5,0,,,4,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
23,Shakib Al Hasan,AD Russell,Liton Das,4,0,4,32,113,14,6,2,6,0,,,4,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
24,Liton Das,S Badree,Shakib Al Hasan,1,0,1,33,112,19,17,2,1,0,,,5,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
25,Shakib Al Hasan,S Badree,Liton Das,4,0,4,37,108,18,7,2,2,0,,,5,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
26,Shakib Al Hasan,S Badree,Liton Das,0,0,0,37,108,18,8,2,3,0,,,5,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
27,Shakib Al Hasan,S Badree,Liton Das,1,0,1,38,107,19,9,2,4,0,,,5,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
28,Liton Das,S Badree,Shakib Al Hasan,2,0,2,40,105,21,18,2,5,0,,,5,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
29,Liton Das,S Badree,Shakib Al Hasan,1,0,1,41,104,22,19,2,6,0,,,5,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
30,Liton Das,KMA Paul,Shakib Al Hasan,2,0,2,43,102,24,20,2,1,0,,,6,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
31,Liton Das,KMA Paul,Shakib Al Hasan,0,0,0,43,102,24,21,3,2,caught,Liton Das,ADS Fletcher,6,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
32,Shakib Al Hasan,KMA Paul,Mushfiqur Rahim,0,0,0,43,102,19,10,4,3,caught,Shakib Al Hasan,KOK Williams,6,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
33,Mahmudullah,KMA Paul,Mushfiqur Rahim,0,0,0,43,102,0,1,4,4,0,,,6,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
34,Mahmudullah,KMA Paul,Mushfiqur Rahim,0,0,0,43,102,0,2,4,5,0,,,6,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
35,Mahmudullah,KMA Paul,Mushfiqur Rahim,0,0,0,43,102,0,3,4,6,0,,,6,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
36,Mushfiqur Rahim,S Badree,Mahmudullah,1,0,1,44,101,1,1,4,1,0,,,7,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
37,Mahmudullah,S Badree,Mushfiqur Rahim,1,0,1,45,100,1,4,4,2,0,,,7,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
38,Mushfiqur Rahim,S Badree,Mahmudullah,1,0,1,46,99,2,2,4,3,0,,,7,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
39,Mahmudullah,S Badree,Mushfiqur Rahim,4,0,4,50,95,5,5,4,4,0,,,7,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
40,Mahmudullah,S Badree,Mushfiqur Rahim,4,0,4,54,91,9,6,4,5,0,,,7,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
41,Mahmudullah,S Badree,Mushfiqur Rahim,6,0,6,60,85,15,7,4,6,0,,,7,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
42,Mushfiqur Rahim,KMA Paul,Mahmudullah,0,1,1,61,84,2,3,4,1,0,,,8,wides,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
43,Mushfiqur Rahim,KMA Paul,Mahmudullah,1,0,1,62,83,3,4,4,2,0,,,8,-,,field,West Indies,1,"Warner Park, Basseterre",2018,07,Bangladesh_West Indies_2018-07-31,West Indies,Bangladesh,West Indies
