,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,PD Salt,Mohammad Nawaz,AD Hales,1,0,1,1,1,1,1,0,,,1,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
1,AD Hales,Mohammad Nawaz,PD Salt,0,0,0,1,0,1,2,0,,,1,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
2,AD Hales,Mohammad Nawaz,PD Salt,1,0,1,2,1,2,3,0,,,1,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
3,PD Salt,Mohammad Nawaz,AD Hales,1,0,1,3,2,2,4,0,,,1,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
4,AD Hales,Mohammad Nawaz,PD Salt,0,0,0,3,1,3,5,caught,AD Hales,Shadab Khan,1,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
5,DJ Malan,Mohammad Nawaz,PD Salt,0,0,0,3,0,1,6,0,,,1,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
6,PD Salt,Mohammad Wasim,DJ Malan,0,0,0,3,2,3,1,0,,,2,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
7,PD Salt,Mohammad Wasim,DJ Malan,0,1,1,4,2,4,2,0,,,2,{'legbyes': 1},legbyes,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
8,DJ Malan,Mohammad Wasim,PD Salt,4,0,4,8,4,2,3,0,,,2,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
9,DJ Malan,Mohammad Wasim,PD Salt,4,0,4,12,8,3,4,0,,,2,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
10,DJ Malan,Mohammad Wasim,PD Salt,0,0,0,12,8,4,5,0,,,2,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
11,DJ Malan,Mohammad Wasim,PD Salt,1,0,1,13,9,5,6,0,,,2,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
