,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,RG Sharma,D Paterson,S Dhawan,0,0,0,0,,0,1,0,1,0,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
1,RG Sharma,D Paterson,S Dhawan,6,0,6,6,,6,2,0,2,0,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
2,RG Sharma,D Paterson,S Dhawan,1,0,1,7,,7,3,0,3,0,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
3,S Dhawan,D Paterson,RG Sharma,1,0,1,8,,1,1,0,4,0,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
4,RG Sharma,D Paterson,S Dhawan,6,0,6,14,,13,4,0,5,0,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
5,RG Sharma,D Paterson,S Dhawan,4,0,4,18,,17,5,0,6,0,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
6,S Dhawan,CJ Dala,RG Sharma,1,0,1,19,,2,2,0,1,1,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
7,RG Sharma,CJ Dala,S Dhawan,4,0,4,23,,21,6,0,2,1,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
8,RG Sharma,CJ Dala,S Dhawan,0,0,0,23,,21,7,0,3,1,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
9,RG Sharma,CJ Dala,S Dhawan,0,0,0,23,,21,8,0,4,1,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
10,RG Sharma,CJ Dala,S Dhawan,0,0,0,23,,21,9,1,5,1,"{'by': 'South Africa', 'batter': 'RG Sharma', 'decision': 'upheld'}",-,caught,RG Sharma,H Klaasen,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
11,SK Raina,CJ Dala,S Dhawan,0,1,1,24,,0,1,1,6,1,,wides,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
12,SK Raina,CJ Dala,S Dhawan,0,0,0,24,,0,2,1,7,1,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
13,S Dhawan,D Paterson,SK Raina,0,0,0,24,,2,3,1,1,2,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
14,S Dhawan,D Paterson,SK Raina,1,0,1,25,,3,4,1,2,2,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
15,SK Raina,D Paterson,S Dhawan,1,0,1,26,,1,3,1,3,2,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
16,S Dhawan,D Paterson,SK Raina,1,0,1,27,,4,5,1,4,2,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
17,SK Raina,D Paterson,S Dhawan,6,0,6,33,,7,4,1,5,2,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
18,SK Raina,D Paterson,S Dhawan,4,0,4,37,,11,5,1,6,2,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
19,S Dhawan,CJ Dala,SK Raina,6,0,6,43,,10,6,1,1,3,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
20,S Dhawan,CJ Dala,SK Raina,0,0,0,43,,10,7,1,2,3,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
21,S Dhawan,CJ Dala,SK Raina,0,1,1,44,,10,8,1,3,3,,wides,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
22,S Dhawan,CJ Dala,SK Raina,1,0,1,45,,11,9,1,4,3,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
23,SK Raina,CJ Dala,S Dhawan,0,0,0,45,,11,6,1,5,3,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
24,SK Raina,CJ Dala,S Dhawan,4,0,4,49,,15,7,1,6,3,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
25,SK Raina,CJ Dala,S Dhawan,0,0,0,49,,15,8,2,7,3,,-,caught and bowled,SK Raina,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
26,V Kohli,CH Morris,S Dhawan,0,0,0,49,,0,1,2,1,4,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
27,V Kohli,CH Morris,S Dhawan,0,0,0,49,,0,2,2,2,4,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
28,V Kohli,CH Morris,S Dhawan,2,0,2,51,,2,3,2,3,4,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
29,V Kohli,CH Morris,S Dhawan,1,0,1,52,,3,4,2,4,4,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
30,S Dhawan,CH Morris,V Kohli,4,0,4,56,,15,10,2,5,4,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
31,S Dhawan,CH Morris,V Kohli,4,0,4,60,,19,11,2,6,4,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
32,V Kohli,CJ Dala,S Dhawan,4,0,4,64,,7,5,2,1,5,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
33,V Kohli,CJ Dala,S Dhawan,1,0,1,65,,8,6,2,2,5,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
34,S Dhawan,CJ Dala,V Kohli,1,0,1,66,,20,12,2,3,5,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
35,V Kohli,CJ Dala,S Dhawan,1,0,1,67,,9,7,2,4,5,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
