,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,BA King,Taskin Ahmed,KR Mayers,0,0,0,0,125,0,1,0,1,1,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
1,BA King,Taskin Ahmed,KR Mayers,1,0,1,1,124,1,2,0,2,1,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
2,KR Mayers,Taskin Ahmed,BA King,4,0,4,5,120,4,1,0,3,1,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
3,KR Mayers,Taskin Ahmed,BA King,2,0,2,7,118,6,2,0,4,1,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
4,KR Mayers,Taskin Ahmed,BA King,6,0,6,13,112,12,3,0,5,1,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
5,KR Mayers,Taskin Ahmed,BA King,1,0,1,14,111,13,4,0,6,1,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
6,KR Mayers,Mahedi Hasan,BA King,4,0,4,18,107,17,5,0,1,2,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
7,KR Mayers,Mahedi Hasan,BA King,0,0,0,18,107,17,6,0,2,2,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
8,KR Mayers,Mahedi Hasan,BA King,0,0,0,18,107,17,7,0,3,2,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
9,KR Mayers,Mahedi Hasan,BA King,0,0,0,18,107,17,8,0,4,2,0,,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
10,KR Mayers,Mahedi Hasan,BA King,0,0,0,18,107,17,9,1,5,2,bowled,KR Mayers,,-,,bat,West Indies,1,"Windsor Park, Roseau, Dominica",2022,07,West Indies_Bangladesh_2022-07-03,West Indies,West Indies,Bangladesh,193
