,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
111,JEC Franklin,DR Smith,,PG Fulton,0,0,0,103,1,2,5,-,18,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
112,JEC Franklin,DR Smith,,PG Fulton,1,0,1,104,2,3,6,-,18,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
113,JEC Franklin,CH Gayle,,PG Fulton,1,0,1,105,3,4,1,-,19,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
114,PG Fulton,CH Gayle,,JEC Franklin,2,0,2,107,16,16,2,-,19,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
115,PG Fulton,CH Gayle,,JEC Franklin,0,0,0,107,16,17,3,-,19,bowled,PG Fulton,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
116,SE Bond,CH Gayle,,JEC Franklin,1,0,1,108,1,1,4,-,19,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
117,JEC Franklin,CH Gayle,,SE Bond,1,0,1,109,4,5,5,-,19,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
118,SE Bond,CH Gayle,,JEC Franklin,2,0,2,111,3,2,6,-,19,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
119,JEC Franklin,IDR Bradshaw,,SE Bond,2,0,2,113,6,6,1,-,20,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
120,JEC Franklin,IDR Bradshaw,,SE Bond,6,0,6,119,12,7,2,-,20,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
121,JEC Franklin,IDR Bradshaw,,SE Bond,1,0,1,120,13,8,3,-,20,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
122,SE Bond,IDR Bradshaw,,JEC Franklin,1,0,1,121,4,3,4,-,20,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
123,JEC Franklin,IDR Bradshaw,{'legbyes': 1},SE Bond,0,1,1,122,13,9,5,legbyes,20,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
124,SE Bond,IDR Bradshaw,,JEC Franklin,4,0,4,126,8,4,6,-,20,0,,,,field,New Zealand,2,Eden Park,2006-02-16,New Zealand,West Indies
