,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Rahmanullah Gurbaz,MR Adair,Sediqullah Atal,0,0,0,0,0,1,1,caught,Rahmanullah Gurbaz,C Campher,1,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
1,Ibrahim Zadran,MR Adair,Sediqullah Atal,0,0,0,0,0,1,2,0,,,1,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
2,Ibrahim Zadran,MR Adair,Sediqullah Atal,1,0,1,1,1,2,3,0,,,1,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
3,Sediqullah Atal,MR Adair,Ibrahim Zadran,0,0,0,1,0,1,4,0,,,1,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
4,Sediqullah Atal,MR Adair,Ibrahim Zadran,0,0,0,1,0,2,5,0,,,1,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
5,Sediqullah Atal,MR Adair,Ibrahim Zadran,0,0,0,1,0,3,6,0,,,1,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
6,Ibrahim Zadran,J Little,Sediqullah Atal,1,0,1,2,2,3,1,0,,,2,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
7,Sediqullah Atal,J Little,Ibrahim Zadran,1,0,1,3,1,4,2,0,,,2,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
8,Ibrahim Zadran,J Little,Sediqullah Atal,0,1,1,4,2,4,3,0,,,2,{'legbyes': 1},legbyes,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
9,Sediqullah Atal,J Little,Ibrahim Zadran,0,0,0,4,1,5,4,caught,Sediqullah Atal,HT Tector,2,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
10,Azmatullah Omarzai,J Little,Ibrahim Zadran,0,0,0,4,0,1,5,bowled,Azmatullah Omarzai,,2,,-,field,Afghanistan,2,Sharjah Cricket Stadium,2024-03-15,Afghanistan,Ireland
