,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
92,PHKD Mendis,Qais Ahmad,S Samarawickrama,1,0,1,146,63,28,24,4,3,15,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
93,S Samarawickrama,Qais Ahmad,PHKD Mendis,0,0,0,146,63,23,12,4,4,15,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
94,S Samarawickrama,Qais Ahmad,PHKD Mendis,0,0,0,146,63,23,13,5,5,15,-,caught,S Samarawickrama,Mohammad Ishaq,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
95,AD Mathews,Qais Ahmad,PHKD Mendis,1,0,1,147,62,1,1,5,6,15,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
96,AD Mathews,Mohammad Nabi,PHKD Mendis,2,0,2,149,60,3,2,5,1,16,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
97,AD Mathews,Mohammad Nabi,PHKD Mendis,0,0,0,149,60,3,3,5,2,16,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
98,AD Mathews,Mohammad Nabi,PHKD Mendis,1,0,1,150,59,4,4,5,3,16,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
99,PHKD Mendis,Mohammad Nabi,AD Mathews,1,0,1,151,58,29,25,5,4,16,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
100,AD Mathews,Mohammad Nabi,PHKD Mendis,0,0,0,151,58,4,5,6,5,16,-,caught,AD Mathews,Qais Ahmad,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
101,MD Shanaka,Mohammad Nabi,PHKD Mendis,0,0,0,151,58,0,1,6,6,16,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
102,PHKD Mendis,Noor Ahmad,MD Shanaka,0,0,0,151,58,29,26,6,1,17,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
103,PHKD Mendis,Noor Ahmad,MD Shanaka,4,0,4,155,54,33,27,6,2,17,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
104,PHKD Mendis,Noor Ahmad,MD Shanaka,6,0,6,161,48,39,28,6,3,17,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
105,PHKD Mendis,Noor Ahmad,MD Shanaka,1,0,1,162,47,40,29,6,4,17,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
106,MD Shanaka,Noor Ahmad,PHKD Mendis,1,0,1,163,46,1,2,6,5,17,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
107,PHKD Mendis,Noor Ahmad,MD Shanaka,1,0,1,164,45,41,30,6,6,17,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
108,PHKD Mendis,Karim Janat,MD Shanaka,4,0,4,168,41,45,31,6,1,18,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
109,PHKD Mendis,Karim Janat,MD Shanaka,1,0,1,169,40,46,32,6,2,18,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
110,MD Shanaka,Karim Janat,PHKD Mendis,0,0,0,169,40,1,3,6,3,18,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
111,MD Shanaka,Karim Janat,PHKD Mendis,0,1,1,170,39,1,4,6,4,18,legbyes,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
112,PHKD Mendis,Karim Janat,MD Shanaka,0,0,0,170,39,46,33,6,5,18,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
113,PHKD Mendis,Karim Janat,MD Shanaka,4,0,4,174,35,50,34,6,6,18,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
114,MD Shanaka,Azmatullah Omarzai,PHKD Mendis,1,0,1,175,34,2,5,6,1,19,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
