,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
36,BKG Mendis,Fareed Ahmad,P Nissanka,0,0,0,64,145,16,14,1,6,6,-,caught,BKG Mendis,Sharafuddin Ashraf,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
37,MDKJ Perera,Fareed Ahmad,P Nissanka,0,0,0,64,145,0,1,1,7,6,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
38,P Nissanka,Noor Ahmad,MDKJ Perera,1,0,1,65,144,47,24,1,1,7,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
39,MDKJ Perera,Noor Ahmad,P Nissanka,0,0,0,65,144,0,2,2,2,7,-,lbw,MDKJ Perera,,"{'by': 'Sri Lanka', 'umpire': 'LE Hannibal', 'batter': 'MDKJ Perera', 'decision': 'struck down', 'type': 'wicket'}",,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
40,PWH de Silva,Noor Ahmad,P Nissanka,1,0,1,66,143,1,1,2,3,7,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
41,P Nissanka,Noor Ahmad,PWH de Silva,1,0,1,67,142,48,25,2,4,7,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
42,PWH de Silva,Noor Ahmad,P Nissanka,1,0,1,68,141,2,2,2,5,7,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
43,P Nissanka,Noor Ahmad,PWH de Silva,1,0,1,69,140,49,26,2,6,7,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
44,P Nissanka,Mohammad Nabi,PWH de Silva,2,0,2,71,138,51,27,2,1,8,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
45,P Nissanka,Mohammad Nabi,PWH de Silva,2,0,2,73,136,53,28,2,2,8,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
