,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,DA Warner,JC Archer,AJ Finch,1,0,1,1,1,1,1,1,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
1,AJ Finch,JC Archer,DA Warner,0,0,0,1,0,1,2,1,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
2,AJ Finch,JC Archer,DA Warner,0,0,0,1,0,2,3,1,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
3,AJ Finch,JC Archer,DA Warner,4,0,4,5,4,3,4,1,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
4,AJ Finch,JC Archer,DA Warner,4,0,4,9,8,4,5,1,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
5,AJ Finch,JC Archer,DA Warner,0,0,0,9,8,5,6,1,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
6,DA Warner,MA Wood,AJ Finch,4,0,4,13,5,2,1,2,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
7,DA Warner,MA Wood,AJ Finch,2,0,2,15,7,3,2,2,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
8,DA Warner,MA Wood,AJ Finch,0,0,0,15,7,4,3,2,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
9,DA Warner,MA Wood,AJ Finch,4,0,4,19,11,5,4,2,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
10,DA Warner,MA Wood,AJ Finch,1,0,1,20,12,6,5,2,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
11,AJ Finch,MA Wood,DA Warner,0,0,0,20,8,6,6,2,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
12,DA Warner,JC Archer,AJ Finch,0,0,0,20,12,7,1,3,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
13,DA Warner,JC Archer,AJ Finch,4,0,4,24,16,8,2,3,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
14,DA Warner,JC Archer,AJ Finch,2,0,2,26,18,9,3,3,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
15,DA Warner,JC Archer,AJ Finch,1,0,1,27,19,10,4,3,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
16,AJ Finch,JC Archer,DA Warner,4,0,4,31,12,7,5,3,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
17,AJ Finch,JC Archer,DA Warner,0,0,0,31,12,8,6,3,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
18,DA Warner,CJ Jordan,AJ Finch,0,0,0,31,19,11,1,4,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
19,DA Warner,CJ Jordan,AJ Finch,4,0,4,35,23,12,2,4,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
20,DA Warner,CJ Jordan,AJ Finch,0,0,0,35,23,13,3,4,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
21,DA Warner,CJ Jordan,AJ Finch,1,0,1,36,24,14,4,4,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
22,AJ Finch,CJ Jordan,DA Warner,0,0,0,36,12,9,5,4,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
23,AJ Finch,CJ Jordan,DA Warner,0,1,1,37,12,10,6,4,wides,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
24,AJ Finch,CJ Jordan,DA Warner,4,0,4,41,16,11,7,4,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
25,DA Warner,TK Curran,AJ Finch,0,0,0,41,24,15,1,5,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
26,DA Warner,TK Curran,AJ Finch,1,0,1,42,25,16,2,5,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
27,AJ Finch,TK Curran,DA Warner,0,0,0,42,16,12,3,5,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
28,AJ Finch,TK Curran,DA Warner,1,0,1,43,17,13,4,5,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
29,DA Warner,TK Curran,AJ Finch,1,0,1,44,26,17,5,5,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
30,AJ Finch,TK Curran,DA Warner,1,0,1,45,18,14,6,5,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
31,AJ Finch,CJ Jordan,DA Warner,4,0,4,49,22,15,1,6,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
32,AJ Finch,CJ Jordan,DA Warner,0,1,1,50,22,16,2,6,legbyes,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
33,DA Warner,CJ Jordan,AJ Finch,2,0,2,52,28,18,3,6,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
34,DA Warner,CJ Jordan,AJ Finch,1,0,1,53,29,19,4,6,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
35,AJ Finch,CJ Jordan,DA Warner,2,0,2,55,24,17,5,6,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
36,AJ Finch,CJ Jordan,DA Warner,0,0,0,55,24,18,6,6,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
37,DA Warner,AU Rashid,AJ Finch,0,0,0,55,29,20,1,7,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
38,DA Warner,AU Rashid,AJ Finch,2,0,2,57,31,21,2,7,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
39,DA Warner,AU Rashid,AJ Finch,1,0,1,58,32,22,3,7,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
40,AJ Finch,AU Rashid,DA Warner,0,0,0,58,24,19,4,7,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
41,AJ Finch,AU Rashid,DA Warner,2,0,2,60,26,20,5,7,-,0,,,,field,Australia,2,The Rose Bowl,2020-09-04,England,Australia,England
