,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,RR Hendricks,Mohammed Siraj,MP Breetzke,4,0,4,4,4,1,1,1,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
1,RR Hendricks,Mohammed Siraj,MP Breetzke,1,0,1,5,5,2,2,1,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
2,MP Breetzke,Mohammed Siraj,RR Hendricks,1,0,1,6,1,1,3,1,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
3,RR Hendricks,Mohammed Siraj,MP Breetzke,4,0,4,10,9,3,4,1,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
4,RR Hendricks,Mohammed Siraj,MP Breetzke,4,0,4,14,13,4,5,1,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
5,RR Hendricks,Mohammed Siraj,MP Breetzke,0,0,0,14,13,5,6,1,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
6,MP Breetzke,Arshdeep Singh,RR Hendricks,0,0,0,14,1,2,1,2,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
7,MP Breetzke,Arshdeep Singh,RR Hendricks,4,0,4,18,5,3,2,2,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
8,MP Breetzke,Arshdeep Singh,RR Hendricks,6,0,6,24,11,4,3,2,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
9,MP Breetzke,Arshdeep Singh,RR Hendricks,3,0,3,27,14,5,4,2,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
10,RR Hendricks,Arshdeep Singh,MP Breetzke,0,1,1,28,13,6,5,2,wides,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
11,RR Hendricks,Arshdeep Singh,MP Breetzke,0,4,4,32,13,7,6,2,legbyes,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
12,RR Hendricks,Arshdeep Singh,MP Breetzke,6,0,6,38,19,8,7,2,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
13,MP Breetzke,RA Jadeja,RR Hendricks,1,0,1,39,15,6,1,3,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
14,RR Hendricks,RA Jadeja,MP Breetzke,1,0,1,40,20,9,2,3,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
15,MP Breetzke,RA Jadeja,RR Hendricks,1,0,1,41,16,7,3,3,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
16,RR Hendricks,RA Jadeja,MP Breetzke,0,0,0,41,20,10,4,3,-,0,,,,field,South Africa,2,"St George's Park, Gqeberha",2023-12-12,South Africa,South Africa,India
