,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,JJ Roy,KA Maharaj,JC Buttler,0,0,0,0,189,0,1,0,1,-,1,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
1,JJ Roy,KA Maharaj,JC Buttler,0,0,0,0,189,0,2,0,2,-,1,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
2,JJ Roy,KA Maharaj,JC Buttler,0,0,0,0,189,0,3,0,3,-,1,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
3,JJ Roy,KA Maharaj,JC Buttler,1,0,1,1,188,1,4,0,4,-,1,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
4,JC Buttler,KA Maharaj,JJ Roy,0,0,0,1,188,0,1,0,5,-,1,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
5,JC Buttler,KA Maharaj,JJ Roy,0,1,1,2,187,0,2,0,6,legbyes,1,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
6,JC Buttler,A Nortje,JJ Roy,1,0,1,3,186,1,3,0,1,-,2,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
7,JJ Roy,A Nortje,JC Buttler,0,0,0,3,186,1,5,0,2,-,2,"{'by': 'South Africa', 'umpire': 'JS Wilson', 'batter': 'JJ Roy', 'decision': 'struck down'}",0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
8,JJ Roy,A Nortje,JC Buttler,0,0,0,3,186,1,6,0,3,-,2,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
9,JJ Roy,A Nortje,JC Buttler,4,0,4,7,182,5,7,0,4,-,2,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
10,JJ Roy,A Nortje,JC Buttler,1,0,1,8,181,6,8,0,5,-,2,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
11,JC Buttler,A Nortje,JJ Roy,4,0,4,12,177,5,4,0,6,-,2,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
12,JJ Roy,KA Maharaj,JC Buttler,4,0,4,16,173,10,9,0,1,-,3,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
13,JJ Roy,KA Maharaj,JC Buttler,0,0,0,16,173,10,10,0,2,-,3,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
14,JJ Roy,KA Maharaj,JC Buttler,0,0,0,16,173,10,11,0,3,-,3,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
15,JJ Roy,KA Maharaj,JC Buttler,4,0,4,20,169,14,12,0,4,-,3,,0,,,field,England,2,Sharjah Cricket Stadium,2021,11,South Africa_England_2021-11-06,South Africa,England,South Africa,179
