,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Rizwan,JT Smuts,Babar Azam,4,0,4,4,165,4,1,0,1,0,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
1,Mohammad Rizwan,JT Smuts,Babar Azam,0,0,0,4,165,4,2,0,2,0,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
2,Mohammad Rizwan,JT Smuts,Babar Azam,1,0,1,5,164,5,3,0,3,0,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
3,Babar Azam,JT Smuts,Mohammad Rizwan,0,0,0,5,164,0,1,0,4,0,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
4,Babar Azam,JT Smuts,Mohammad Rizwan,1,0,1,6,163,1,2,0,5,0,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
5,Mohammad Rizwan,JT Smuts,Babar Azam,0,0,0,6,163,5,4,0,6,0,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
6,Babar Azam,D Pretorius,Mohammad Rizwan,4,0,4,10,159,5,3,0,1,1,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
7,Babar Azam,D Pretorius,Mohammad Rizwan,0,0,0,10,159,5,4,1,2,1,"{'by': 'Pakistan', 'umpire': 'Shozab Raza', 'batter': 'Babar Azam', 'decision': 'struck down'}",lbw,Babar Azam,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
8,Haider Ali,D Pretorius,Mohammad Rizwan,0,0,0,10,159,0,1,1,3,1,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
9,Haider Ali,D Pretorius,Mohammad Rizwan,1,0,1,11,158,1,2,1,4,1,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
10,Mohammad Rizwan,D Pretorius,Haider Ali,0,0,0,11,158,5,5,1,5,1,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
11,Mohammad Rizwan,D Pretorius,Haider Ali,1,0,1,12,157,6,6,1,6,1,,0,,,-,field,South Africa,1,Gaddafi Stadium,2021,02,Pakistan_South Africa_2021-02-13,South Africa,Pakistan,South Africa,144
