,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Babar Azam,NM Lyon,Sahibzada Farhan,0,0,0,0,147,0,1,0,1,-,1,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
1,Babar Azam,NM Lyon,Sahibzada Farhan,0,1,1,1,146,0,2,0,2,wides,1,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
2,Babar Azam,NM Lyon,Sahibzada Farhan,0,0,0,1,146,0,3,0,3,-,1,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
3,Babar Azam,NM Lyon,Sahibzada Farhan,0,0,0,1,146,0,4,0,4,-,1,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
4,Babar Azam,NM Lyon,Sahibzada Farhan,4,0,4,5,142,4,5,0,5,-,1,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
5,Babar Azam,NM Lyon,Sahibzada Farhan,0,1,1,6,141,4,6,0,6,wides,1,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
6,Babar Azam,NM Lyon,Sahibzada Farhan,0,0,0,6,141,4,7,0,7,-,1,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
7,Babar Azam,NM Lyon,Sahibzada Farhan,0,0,0,6,141,4,8,0,8,-,1,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
8,Sahibzada Farhan,NM Coulter-Nile,Babar Azam,0,0,0,6,141,0,1,0,1,-,2,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
9,Sahibzada Farhan,NM Coulter-Nile,Babar Azam,0,0,0,6,141,0,2,0,2,-,2,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
10,Sahibzada Farhan,NM Coulter-Nile,Babar Azam,4,0,4,10,137,4,3,0,3,-,2,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
11,Sahibzada Farhan,NM Coulter-Nile,Babar Azam,0,0,0,10,137,4,4,0,4,-,2,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
12,Sahibzada Farhan,NM Coulter-Nile,Babar Azam,0,0,0,10,137,4,5,0,5,-,2,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
13,Sahibzada Farhan,NM Coulter-Nile,Babar Azam,0,0,0,10,137,4,6,0,6,-,2,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
14,Babar Azam,NM Lyon,Sahibzada Farhan,0,0,0,10,137,4,9,0,1,-,3,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
15,Babar Azam,NM Lyon,Sahibzada Farhan,4,0,4,14,133,8,10,0,2,-,3,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
16,Babar Azam,NM Lyon,Sahibzada Farhan,1,0,1,15,132,9,11,0,3,-,3,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
17,Sahibzada Farhan,NM Lyon,Babar Azam,0,0,0,15,132,4,7,0,4,-,3,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
18,Sahibzada Farhan,NM Lyon,Babar Azam,0,0,0,15,132,4,8,0,5,-,3,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
19,Sahibzada Farhan,NM Lyon,Babar Azam,0,0,0,15,132,4,9,0,6,-,3,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
20,Babar Azam,NM Coulter-Nile,Sahibzada Farhan,4,0,4,19,128,13,12,0,1,-,4,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
21,Babar Azam,NM Coulter-Nile,Sahibzada Farhan,1,0,1,20,127,14,13,0,2,-,4,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
22,Sahibzada Farhan,NM Coulter-Nile,Babar Azam,1,0,1,21,126,5,10,0,3,-,4,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
23,Babar Azam,NM Coulter-Nile,Sahibzada Farhan,6,0,6,27,120,20,14,0,4,-,4,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
24,Babar Azam,NM Coulter-Nile,Sahibzada Farhan,2,0,2,29,118,22,15,0,5,-,4,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
25,Babar Azam,NM Coulter-Nile,Sahibzada Farhan,1,0,1,30,117,23,16,0,6,-,4,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
26,Babar Azam,NM Lyon,Sahibzada Farhan,4,0,4,34,113,27,17,0,1,-,5,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
27,Babar Azam,NM Lyon,Sahibzada Farhan,1,0,1,35,112,28,18,0,2,-,5,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
28,Sahibzada Farhan,NM Lyon,Babar Azam,6,0,6,41,106,11,11,0,3,-,5,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
29,Sahibzada Farhan,NM Lyon,Babar Azam,0,0,0,41,106,11,12,0,4,-,5,0,,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-28,Pakistan,Pakistan,Australia
