,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,PR Stirling,Naveen-ul-Haq,A Balbirnie,4,0,4,4,128,4,1,0,1,0,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
1,PR Stirling,Naveen-ul-Haq,A Balbirnie,1,0,1,5,127,5,2,0,2,0,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
2,A Balbirnie,Naveen-ul-Haq,PR Stirling,1,0,1,6,126,1,1,0,3,0,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
3,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,0,0,6,126,5,3,0,4,0,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
4,PR Stirling,Naveen-ul-Haq,A Balbirnie,4,0,4,10,122,9,4,0,5,0,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
5,PR Stirling,Naveen-ul-Haq,A Balbirnie,4,0,4,14,118,13,5,0,6,0,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
6,A Balbirnie,Azmatullah Omarzai,PR Stirling,4,0,4,18,114,5,2,0,1,1,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
7,A Balbirnie,Azmatullah Omarzai,PR Stirling,4,0,4,22,110,9,3,0,2,1,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
8,A Balbirnie,Azmatullah Omarzai,PR Stirling,6,0,6,28,104,15,4,0,3,1,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
9,A Balbirnie,Azmatullah Omarzai,PR Stirling,0,0,0,28,104,15,5,1,4,1,caught,A Balbirnie,Ibrahim Zadran,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
10,L Tucker,Azmatullah Omarzai,PR Stirling,0,0,0,28,104,0,1,1,5,1,0,,,-,field,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-15,Afghanistan,Ireland,Afghanistan,False,105
