,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
24,Mohammad Hafeez,NM Coulter-Nile,Babar Azam,0,0,0,29,,0,1,1,6,-,3,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
25,Babar Azam,B Stanlake,Mohammad Hafeez,1,0,1,30,,16,13,1,1,-,4,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
26,Mohammad Hafeez,B Stanlake,Babar Azam,0,1,1,31,,0,2,1,2,legbyes,4,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
27,Babar Azam,B Stanlake,Mohammad Hafeez,4,0,4,35,,20,14,1,3,-,4,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
28,Babar Azam,B Stanlake,Mohammad Hafeez,1,0,1,36,,21,15,1,4,-,4,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
29,Mohammad Hafeez,B Stanlake,Babar Azam,4,0,4,40,,4,3,1,5,-,4,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
30,Mohammad Hafeez,B Stanlake,Babar Azam,0,0,0,40,,4,4,1,6,-,4,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
31,Babar Azam,AJ Tye,Mohammad Hafeez,1,0,1,41,,22,16,1,1,-,5,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
32,Mohammad Hafeez,AJ Tye,Babar Azam,2,0,2,43,,6,5,1,2,-,5,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
33,Mohammad Hafeez,AJ Tye,Babar Azam,0,1,1,44,,6,6,1,3,wides,5,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
34,Mohammad Hafeez,AJ Tye,Babar Azam,0,1,1,45,,6,7,1,4,wides,5,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
35,Mohammad Hafeez,AJ Tye,Babar Azam,0,0,0,45,,6,8,1,5,-,5,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
36,Mohammad Hafeez,AJ Tye,Babar Azam,0,0,0,45,,6,9,1,6,-,5,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
37,Mohammad Hafeez,AJ Tye,Babar Azam,0,0,0,45,,6,10,1,7,-,5,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
38,Mohammad Hafeez,AJ Tye,Babar Azam,1,0,1,46,,7,11,1,8,-,5,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
39,Mohammad Hafeez,MR Marsh,Babar Azam,0,0,0,46,,7,12,1,1,-,6,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
40,Mohammad Hafeez,MR Marsh,Babar Azam,4,0,4,50,,11,13,1,2,-,6,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
41,Mohammad Hafeez,MR Marsh,Babar Azam,1,0,1,51,,12,14,1,3,-,6,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
