,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
32,DA Warner,DJ Bravo,BJ Haddin,1,0,1,27,21,19,5,-,0,,,5,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
33,BJ Haddin,DJ Bravo,DA Warner,0,0,0,27,0,1,6,-,0,,,5,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
34,DA Warner,FH Edwards,BJ Haddin,1,0,1,28,22,20,1,-,0,,,6,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
35,BJ Haddin,FH Edwards,DA Warner,4,0,4,32,4,2,2,-,0,,,6,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
36,BJ Haddin,FH Edwards,DA Warner,0,0,0,32,4,3,3,-,0,,,6,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
37,BJ Haddin,FH Edwards,DA Warner,1,0,1,33,5,4,4,-,0,,,6,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
38,DA Warner,FH Edwards,BJ Haddin,2,0,2,35,24,21,5,-,0,,,6,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
39,DA Warner,FH Edwards,BJ Haddin,0,0,0,35,24,22,6,-,0,,,6,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
40,BJ Haddin,SJ Benn,DA Warner,0,0,0,35,5,5,1,-,0,,,7,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
41,BJ Haddin,SJ Benn,DA Warner,0,0,0,35,5,6,2,-,0,,,7,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
42,BJ Haddin,SJ Benn,DA Warner,1,0,1,36,6,7,3,-,0,,,7,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
43,DA Warner,SJ Benn,BJ Haddin,1,0,1,37,25,23,4,-,0,,,7,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
44,BJ Haddin,SJ Benn,DA Warner,0,1,1,38,6,8,5,wides,0,,,7,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
45,BJ Haddin,SJ Benn,DA Warner,1,0,1,39,7,9,6,-,0,,,7,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
46,DA Warner,SJ Benn,BJ Haddin,1,0,1,40,26,24,7,-,0,,,7,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
47,DA Warner,DJ Bravo,BJ Haddin,4,0,4,44,30,25,1,-,0,,,8,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
48,DA Warner,DJ Bravo,BJ Haddin,2,0,2,46,32,26,2,-,0,,,8,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
49,DA Warner,DJ Bravo,BJ Haddin,1,0,1,47,33,27,3,-,0,,,8,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
50,BJ Haddin,DJ Bravo,DA Warner,1,0,1,48,8,10,4,-,0,,,8,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
51,DA Warner,DJ Bravo,BJ Haddin,1,0,1,49,34,28,5,-,0,,,8,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
52,BJ Haddin,DJ Bravo,DA Warner,1,0,1,50,9,11,6,-,0,,,8,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
53,BJ Haddin,SJ Benn,DA Warner,2,0,2,52,11,12,1,-,0,,,9,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
54,BJ Haddin,SJ Benn,DA Warner,1,0,1,53,12,13,2,-,0,,,9,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
55,DA Warner,SJ Benn,BJ Haddin,0,0,0,53,34,29,3,-,0,,,9,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
56,DA Warner,SJ Benn,BJ Haddin,1,0,1,54,35,30,4,-,0,,,9,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
57,BJ Haddin,SJ Benn,DA Warner,0,0,0,54,12,14,5,-,0,,,9,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
58,BJ Haddin,SJ Benn,DA Warner,1,0,1,55,13,15,6,-,0,,,9,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
