,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Nasir Jamshed,DW Steyn,Ahmed Shehzad,0,0,0,0,150,0,1,0,1,0,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
1,Nasir Jamshed,DW Steyn,Ahmed Shehzad,0,0,0,0,150,0,2,0,2,0,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
2,Nasir Jamshed,DW Steyn,Ahmed Shehzad,0,0,0,0,150,0,3,0,3,0,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
3,Nasir Jamshed,DW Steyn,Ahmed Shehzad,0,0,0,0,150,0,4,0,4,0,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
4,Nasir Jamshed,DW Steyn,Ahmed Shehzad,0,0,0,0,150,0,5,0,5,0,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
5,Nasir Jamshed,DW Steyn,Ahmed Shehzad,0,0,0,0,150,0,6,0,6,0,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
6,Ahmed Shehzad,LL Tsotsobe,Nasir Jamshed,1,0,1,1,149,1,1,0,1,1,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
7,Nasir Jamshed,LL Tsotsobe,Ahmed Shehzad,4,0,4,5,145,4,7,0,2,1,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
8,Nasir Jamshed,LL Tsotsobe,Ahmed Shehzad,4,0,4,9,141,8,8,0,3,1,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
9,Nasir Jamshed,LL Tsotsobe,Ahmed Shehzad,0,0,0,9,141,8,9,0,4,1,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
10,Nasir Jamshed,LL Tsotsobe,Ahmed Shehzad,1,0,1,10,140,9,10,0,5,1,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
11,Ahmed Shehzad,LL Tsotsobe,Nasir Jamshed,0,0,0,10,140,1,2,0,6,1,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
12,Nasir Jamshed,DW Steyn,Ahmed Shehzad,2,0,2,12,138,11,11,0,1,2,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
13,Nasir Jamshed,DW Steyn,Ahmed Shehzad,1,0,1,13,137,12,12,0,2,2,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
14,Ahmed Shehzad,DW Steyn,Nasir Jamshed,0,0,0,13,137,1,3,0,3,2,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
15,Ahmed Shehzad,DW Steyn,Nasir Jamshed,1,0,1,14,136,2,4,0,4,2,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
16,Nasir Jamshed,DW Steyn,Ahmed Shehzad,0,0,0,14,136,12,13,0,5,2,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
17,Nasir Jamshed,DW Steyn,Ahmed Shehzad,4,0,4,18,132,16,14,0,6,2,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
18,Ahmed Shehzad,LL Tsotsobe,Nasir Jamshed,0,0,0,18,132,2,5,0,1,3,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
19,Ahmed Shehzad,LL Tsotsobe,Nasir Jamshed,2,0,2,20,130,4,6,0,2,3,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
20,Ahmed Shehzad,LL Tsotsobe,Nasir Jamshed,2,0,2,22,128,6,7,0,3,3,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
21,Ahmed Shehzad,LL Tsotsobe,Nasir Jamshed,0,0,0,22,128,6,8,0,4,3,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
22,Ahmed Shehzad,LL Tsotsobe,Nasir Jamshed,4,0,4,26,124,10,9,0,5,3,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
23,Ahmed Shehzad,LL Tsotsobe,Nasir Jamshed,4,0,4,30,120,14,10,0,6,3,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
24,Nasir Jamshed,R McLaren,Ahmed Shehzad,0,0,0,30,120,16,15,0,1,4,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
25,Nasir Jamshed,R McLaren,Ahmed Shehzad,0,1,1,31,119,16,16,0,2,4,wides,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
26,Nasir Jamshed,R McLaren,Ahmed Shehzad,0,0,0,31,119,16,17,0,3,4,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
27,Nasir Jamshed,R McLaren,Ahmed Shehzad,1,0,1,32,118,17,18,0,4,4,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
28,Ahmed Shehzad,R McLaren,Nasir Jamshed,2,0,2,34,116,16,11,0,5,4,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
29,Ahmed Shehzad,R McLaren,Nasir Jamshed,4,0,4,38,112,20,12,0,6,4,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
30,Ahmed Shehzad,R McLaren,Nasir Jamshed,1,0,1,39,111,21,13,0,7,4,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
31,Ahmed Shehzad,WD Parnell,Nasir Jamshed,0,0,0,39,111,21,14,1,1,5,-,caught,Ahmed Shehzad,R McLaren,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
32,Mohammad Hafeez,WD Parnell,Nasir Jamshed,0,0,0,39,111,0,1,2,2,5,-,lbw,Mohammad Hafeez,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
33,Shoaib Malik,WD Parnell,Nasir Jamshed,0,0,0,39,111,0,1,2,3,5,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
34,Shoaib Malik,WD Parnell,Nasir Jamshed,0,0,0,39,111,0,2,2,4,5,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
35,Shoaib Malik,WD Parnell,Nasir Jamshed,2,0,2,41,109,2,3,2,5,5,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
36,Shoaib Malik,WD Parnell,Nasir Jamshed,1,1,2,43,107,3,4,2,6,5,noballs,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
37,Nasir Jamshed,WD Parnell,Shoaib Malik,1,0,1,44,106,18,19,2,7,5,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
38,Nasir Jamshed,H Davids,Shoaib Malik,1,0,1,45,105,19,20,2,1,6,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
39,Shoaib Malik,H Davids,Nasir Jamshed,1,0,1,46,104,4,5,2,2,6,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
40,Nasir Jamshed,H Davids,Shoaib Malik,0,0,0,46,104,19,21,3,3,6,-,caught,Nasir Jamshed,HM Amla,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
41,Sohaib Maqsood,H Davids,Shoaib Malik,0,3,3,49,101,0,1,3,4,6,wides,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
