,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,AB de Villiers,Mohammad Irfan,H Davids,0,0,0,0,195,0,1,0,1,-,0,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
1,AB de Villiers,Mohammad Irfan,H Davids,1,0,1,1,194,1,2,0,2,-,0,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
2,H Davids,Mohammad Irfan,AB de Villiers,2,0,2,3,192,2,1,0,3,-,0,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
3,H Davids,Mohammad Irfan,AB de Villiers,4,0,4,7,188,6,2,0,4,-,0,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
4,H Davids,Mohammad Irfan,AB de Villiers,0,1,1,8,187,6,3,0,5,legbyes,0,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
5,AB de Villiers,Mohammad Irfan,H Davids,0,1,1,9,186,1,3,0,6,wides,0,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
6,AB de Villiers,Mohammad Irfan,H Davids,0,1,1,10,185,1,4,0,7,wides,0,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
7,AB de Villiers,Mohammad Irfan,H Davids,2,0,2,12,183,3,5,0,8,-,0,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
8,H Davids,Junaid Khan,AB de Villiers,0,0,0,12,183,6,4,0,1,-,1,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
9,H Davids,Junaid Khan,AB de Villiers,1,0,1,13,182,7,5,0,2,-,1,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
10,AB de Villiers,Junaid Khan,H Davids,6,0,6,19,176,9,6,0,3,-,1,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
11,AB de Villiers,Junaid Khan,H Davids,0,0,0,19,176,9,7,0,4,-,1,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
12,AB de Villiers,Junaid Khan,H Davids,1,0,1,20,175,10,8,0,5,-,1,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
13,H Davids,Junaid Khan,AB de Villiers,0,0,0,20,175,7,6,1,6,-,1,caught,H Davids,Saeed Ajmal,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
14,AB de Villiers,Mohammad Irfan,F du Plessis,0,0,0,20,175,10,9,1,1,-,2,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
15,AB de Villiers,Mohammad Irfan,F du Plessis,4,0,4,24,171,14,10,1,2,-,2,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
16,AB de Villiers,Mohammad Irfan,F du Plessis,0,0,0,24,171,14,11,1,3,-,2,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
17,AB de Villiers,Mohammad Irfan,F du Plessis,4,0,4,28,167,18,12,1,4,-,2,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
18,AB de Villiers,Mohammad Irfan,F du Plessis,6,0,6,34,161,24,13,1,5,-,2,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
19,AB de Villiers,Mohammad Irfan,F du Plessis,0,0,0,34,161,24,14,1,6,-,2,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
20,F du Plessis,Junaid Khan,AB de Villiers,0,1,1,35,160,0,1,1,1,wides,3,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
21,F du Plessis,Junaid Khan,AB de Villiers,1,0,1,36,159,1,2,1,2,-,3,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
22,AB de Villiers,Junaid Khan,F du Plessis,0,0,0,36,159,24,15,1,3,-,3,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
23,AB de Villiers,Junaid Khan,F du Plessis,4,0,4,40,155,28,16,1,4,-,3,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
24,AB de Villiers,Junaid Khan,F du Plessis,1,0,1,41,154,29,17,1,5,-,3,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
25,F du Plessis,Junaid Khan,AB de Villiers,3,0,3,44,151,4,3,1,6,-,3,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
26,AB de Villiers,Junaid Khan,F du Plessis,4,0,4,48,147,33,18,1,7,-,3,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
27,F du Plessis,Umar Gul,AB de Villiers,2,0,2,50,145,6,4,1,1,-,4,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
28,F du Plessis,Umar Gul,AB de Villiers,0,0,0,50,145,6,5,2,2,-,4,caught,F du Plessis,Kamran Akmal,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
29,CH Morris,Umar Gul,AB de Villiers,0,0,0,50,145,0,1,3,3,-,4,caught,CH Morris,Saeed Ajmal,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
30,AB de Villiers,Umar Gul,JL Ontong,0,0,0,50,145,33,19,3,4,-,4,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
31,AB de Villiers,Umar Gul,JL Ontong,1,0,1,51,144,34,20,3,5,-,4,0,,,bat,Pakistan,2,SuperSport Park,2013,03,South Africa_Pakistan_2013-03-03,Pakistan,South Africa,Pakistan,False,100
