,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,AD Hales,DJG Sammy,C Kieswetter,4,0,4,4,121,4,1,0,-,1.0,0,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Medium
1,AD Hales,DJG Sammy,C Kieswetter,1,0,1,5,120,5,2,0,-,2.0,0,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Medium
2,C Kieswetter,DJG Sammy,AD Hales,1,0,1,6,119,1,1,0,-,3.0,0,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Medium
3,AD Hales,DJG Sammy,C Kieswetter,0,0,0,6,119,5,3,0,-,4.0,0,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Medium
4,AD Hales,DJG Sammy,C Kieswetter,0,0,0,6,119,5,4,0,-,5.0,0,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Medium
5,AD Hales,DJG Sammy,C Kieswetter,0,0,0,6,119,5,5,0,-,6.0,0,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Medium
6,C Kieswetter,FH Edwards,AD Hales,0,1,1,7,118,1,1,0,wides,0.0,1,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Fast
7,C Kieswetter,FH Edwards,AD Hales,0,0,0,7,118,1,2,0,-,1.0,1,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Fast
8,C Kieswetter,FH Edwards,AD Hales,4,0,4,11,114,5,3,0,-,2.0,1,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Fast
9,C Kieswetter,FH Edwards,AD Hales,0,1,1,12,113,5,3,0,noballs,2.0,1,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Fast
10,C Kieswetter,FH Edwards,AD Hales,6,0,6,18,107,11,4,0,-,3.0,1,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Fast
11,C Kieswetter,FH Edwards,AD Hales,0,0,0,18,107,11,5,0,-,4.0,1,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Fast
12,C Kieswetter,FH Edwards,AD Hales,0,0,0,18,107,11,6,0,-,5.0,1,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Fast
13,C Kieswetter,FH Edwards,AD Hales,0,0,0,18,107,11,7,0,-,6.0,1,0,field,England,2,Kennington Oval,2011,09,England_West Indies_2011-09-23,England,England,West Indies,True,128,Right hand Bat,Right hand Bat,Right arm Fast
