,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,AJ Finch,Imad Wasim,DJM Short,0,0,0,0,155,0,1,0,1,0,,,1,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
1,AJ Finch,Imad Wasim,DJM Short,0,0,0,0,155,0,2,0,2,0,,,1,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
2,AJ Finch,Imad Wasim,DJM Short,0,0,0,0,155,0,3,1,3,bowled,AJ Finch,,1,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
3,CA Lynn,Imad Wasim,DJM Short,1,0,1,1,154,1,1,1,4,0,,,1,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
4,DJM Short,Imad Wasim,CA Lynn,4,0,4,5,150,4,1,1,5,0,,,1,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
5,DJM Short,Imad Wasim,CA Lynn,0,0,0,5,150,4,2,2,6,bowled,DJM Short,,1,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
6,CA Lynn,Faheem Ashraf,GJ Maxwell,0,0,0,5,150,1,2,2,1,0,,,2,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
7,CA Lynn,Faheem Ashraf,GJ Maxwell,0,0,0,5,150,1,3,2,2,0,,,2,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
8,CA Lynn,Faheem Ashraf,GJ Maxwell,1,0,1,6,149,2,4,2,3,0,,,2,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
9,GJ Maxwell,Faheem Ashraf,CA Lynn,0,0,0,6,149,0,1,2,4,0,,,2,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
10,GJ Maxwell,Faheem Ashraf,CA Lynn,1,0,1,7,148,1,2,2,5,0,,,2,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
11,CA Lynn,Faheem Ashraf,GJ Maxwell,4,0,4,11,144,6,5,2,6,0,,,2,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
12,GJ Maxwell,Imad Wasim,CA Lynn,0,0,0,11,144,1,3,2,1,0,,,3,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
13,GJ Maxwell,Imad Wasim,CA Lynn,0,0,0,11,144,1,4,2,2,0,,,3,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
14,GJ Maxwell,Imad Wasim,CA Lynn,1,0,1,12,143,2,5,2,3,0,,,3,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
15,CA Lynn,Imad Wasim,GJ Maxwell,0,0,0,12,143,6,6,2,4,0,,,3,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
16,CA Lynn,Imad Wasim,GJ Maxwell,2,0,2,14,141,8,7,2,5,0,,,3,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
17,CA Lynn,Imad Wasim,GJ Maxwell,1,0,1,15,140,9,8,2,6,0,,,3,-,,field,Australia,2,Sheikh Zayed Stadium,2018,10,Pakistan_Australia_2018-10-24,Pakistan,Australia,Pakistan,89
