,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JJ Roy,GF Linde,JC Buttler,0,0,0,0,146,0,1,0,1,-,1,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
1,JJ Roy,GF Linde,JC Buttler,0,1,1,1,145,0,2,0,2,wides,1,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
2,JJ Roy,GF Linde,JC Buttler,0,2,2,3,143,0,3,0,3,legbyes,1,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
3,JJ Roy,GF Linde,JC Buttler,0,0,0,3,143,0,4,0,4,-,1,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
4,JJ Roy,GF Linde,JC Buttler,4,0,4,7,139,4,5,0,5,-,1,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
5,JJ Roy,GF Linde,JC Buttler,0,0,0,7,139,4,6,0,6,-,1,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
6,JJ Roy,GF Linde,JC Buttler,1,0,1,8,138,5,7,0,7,-,1,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
7,JJ Roy,K Rabada,JC Buttler,0,0,0,8,138,5,8,0,1,-,2,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
8,JJ Roy,K Rabada,JC Buttler,1,0,1,9,137,6,9,0,2,-,2,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
9,JC Buttler,K Rabada,JJ Roy,1,0,1,10,136,1,1,0,3,-,2,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
10,JJ Roy,K Rabada,JC Buttler,0,0,0,10,136,6,10,0,4,-,2,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
11,JJ Roy,K Rabada,JC Buttler,1,0,1,11,135,7,11,0,5,-,2,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
12,JC Buttler,K Rabada,JJ Roy,4,0,4,15,131,5,2,0,6,-,2,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
13,JJ Roy,A Nortje,JC Buttler,0,0,0,15,131,7,12,0,1,-,3,"{'by': 'England', 'umpire': 'AT Holdstock', 'batter': 'JJ Roy', 'decision': 'upheld'}",0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
14,JJ Roy,A Nortje,JC Buttler,0,0,0,15,131,7,13,0,2,-,3,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
15,JJ Roy,A Nortje,JC Buttler,1,0,1,16,130,8,14,0,3,-,3,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
16,JC Buttler,A Nortje,JJ Roy,0,0,0,16,130,5,3,0,4,-,3,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
17,JC Buttler,A Nortje,JJ Roy,1,0,1,17,129,6,4,0,5,-,3,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
18,JJ Roy,A Nortje,JC Buttler,0,0,0,17,129,8,15,0,6,-,3,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
19,JC Buttler,L Ngidi,JJ Roy,1,0,1,18,128,7,5,0,1,-,4,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
20,JJ Roy,L Ngidi,JC Buttler,2,0,2,20,126,10,16,0,2,-,4,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
21,JJ Roy,L Ngidi,JC Buttler,4,0,4,24,122,14,17,0,3,-,4,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
22,JJ Roy,L Ngidi,JC Buttler,0,0,0,24,122,14,18,0,4,-,4,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
23,JJ Roy,L Ngidi,JC Buttler,0,0,0,24,122,14,19,0,5,-,4,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
24,JJ Roy,L Ngidi,JC Buttler,0,1,1,25,121,14,20,0,6,wides,4,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
25,JJ Roy,L Ngidi,JC Buttler,0,0,0,25,121,14,21,1,7,-,4,,caught,JJ Roy,H Klaasen,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
26,DJ Malan,A Nortje,JC Buttler,1,0,1,26,120,1,1,1,1,-,5,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
27,JC Buttler,A Nortje,DJ Malan,1,0,1,27,119,8,6,1,2,-,5,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
28,DJ Malan,A Nortje,JC Buttler,0,0,0,27,119,1,2,1,3,-,5,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
29,DJ Malan,A Nortje,JC Buttler,0,0,0,27,119,1,3,1,4,-,5,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
30,DJ Malan,A Nortje,JC Buttler,0,0,0,27,119,1,4,1,5,-,5,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
31,DJ Malan,A Nortje,JC Buttler,0,1,1,28,118,1,5,1,6,legbyes,5,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
32,DJ Malan,L Ngidi,JC Buttler,1,0,1,29,117,2,6,1,1,-,6,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
33,JC Buttler,L Ngidi,DJ Malan,0,0,0,29,117,8,7,1,2,-,6,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
34,JC Buttler,L Ngidi,DJ Malan,0,0,0,29,117,8,8,1,3,-,6,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
35,JC Buttler,L Ngidi,DJ Malan,4,0,4,33,113,12,9,1,4,-,6,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
36,JC Buttler,L Ngidi,DJ Malan,4,0,4,37,109,16,10,1,5,-,6,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
37,JC Buttler,L Ngidi,DJ Malan,4,0,4,41,105,20,11,1,6,-,6,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
38,DJ Malan,GF Linde,JC Buttler,4,0,4,45,101,6,7,1,1,-,7,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
