,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,SR Watson,LL Tsotsobe,DA Warner,0,0,0,0,146,0,1,0,1,-,0,,,1,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
1,SR Watson,LL Tsotsobe,DA Warner,1,0,1,1,145,1,2,0,2,-,0,,,1,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
2,DA Warner,LL Tsotsobe,SR Watson,0,0,0,1,145,0,1,1,3,-,run out,DA Warner,M Morkel,1,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
3,SR Watson,LL Tsotsobe,SE Marsh,0,0,0,1,145,1,3,1,4,-,0,,,1,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
4,SR Watson,LL Tsotsobe,SE Marsh,0,1,1,2,144,1,4,1,5,wides,0,,,1,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
5,SR Watson,LL Tsotsobe,SE Marsh,0,0,0,2,144,1,5,1,6,-,0,,,1,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
6,SR Watson,LL Tsotsobe,SE Marsh,1,0,1,3,143,2,6,1,7,-,0,,,1,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
7,SR Watson,M Morkel,SE Marsh,0,0,0,3,143,2,7,1,1,-,0,,,2,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
8,SR Watson,M Morkel,SE Marsh,4,0,4,7,139,6,8,1,2,-,0,,,2,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
9,SR Watson,M Morkel,SE Marsh,4,0,4,11,135,10,9,1,3,-,0,,,2,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
10,SR Watson,M Morkel,SE Marsh,0,1,1,12,134,10,10,1,4,wides,0,,,2,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
11,SR Watson,M Morkel,SE Marsh,1,0,1,13,133,11,11,1,5,-,0,,,2,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
12,SE Marsh,M Morkel,SR Watson,1,0,1,14,132,1,1,1,6,-,0,,,2,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
13,SR Watson,M Morkel,SE Marsh,1,0,1,15,131,12,12,1,7,-,0,,,2,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
14,SR Watson,LL Tsotsobe,SE Marsh,0,0,0,15,131,12,13,1,1,-,0,,,3,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
15,SR Watson,LL Tsotsobe,SE Marsh,2,0,2,17,129,14,14,1,2,-,0,,,3,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
16,SR Watson,LL Tsotsobe,SE Marsh,0,0,0,17,129,14,15,1,3,-,0,,,3,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
17,SR Watson,LL Tsotsobe,SE Marsh,0,0,0,17,129,14,16,1,4,-,0,,,3,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
18,SR Watson,LL Tsotsobe,SE Marsh,6,0,6,23,123,20,17,1,5,-,0,,,3,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
19,SR Watson,LL Tsotsobe,SE Marsh,2,0,2,25,121,22,18,1,6,-,0,,,3,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
20,SE Marsh,M Morkel,SR Watson,0,1,1,26,120,1,2,1,1,noballs,0,,,4,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
21,SE Marsh,M Morkel,SR Watson,0,0,0,26,120,1,3,1,2,-,0,,,4,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
22,SE Marsh,M Morkel,SR Watson,1,0,1,27,119,2,4,1,3,-,0,,,4,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
23,SR Watson,M Morkel,SE Marsh,0,0,0,27,119,22,19,1,4,-,0,,,4,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
24,SR Watson,M Morkel,SE Marsh,1,0,1,28,118,23,20,1,5,-,0,,,4,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
25,SE Marsh,M Morkel,SR Watson,3,0,3,31,115,5,5,1,6,-,0,,,4,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
26,SR Watson,M Morkel,SE Marsh,0,0,0,31,115,23,21,1,7,-,0,,,4,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
27,SE Marsh,LL Tsotsobe,SR Watson,0,0,0,31,115,5,6,1,1,-,0,,,5,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
28,SE Marsh,LL Tsotsobe,SR Watson,0,0,0,31,115,5,7,1,2,-,0,,,5,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
29,SE Marsh,LL Tsotsobe,SR Watson,1,0,1,32,114,6,8,1,3,-,0,,,5,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
30,SR Watson,LL Tsotsobe,SE Marsh,0,0,0,32,114,23,22,1,4,-,0,,,5,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
31,SR Watson,LL Tsotsobe,SE Marsh,0,4,4,36,110,23,23,1,5,legbyes,0,,,5,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
32,SR Watson,LL Tsotsobe,SE Marsh,0,0,0,36,110,23,24,1,6,-,0,,,5,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
33,SE Marsh,J Theron,SR Watson,1,0,1,37,109,7,9,1,1,-,0,,,6,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
34,SR Watson,J Theron,SE Marsh,1,0,1,38,108,24,25,1,2,-,0,,,6,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
35,SE Marsh,J Theron,SR Watson,1,0,1,39,107,8,10,1,3,-,0,,,6,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
36,SR Watson,J Theron,SE Marsh,4,0,4,43,103,28,26,1,4,-,0,,,6,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
37,SR Watson,J Theron,SE Marsh,4,0,4,47,99,32,27,1,5,-,0,,,6,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
38,SR Watson,J Theron,SE Marsh,4,0,4,51,95,36,28,1,6,-,0,,,6,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
39,SE Marsh,J Botha,SR Watson,2,0,2,53,93,10,11,1,1,-,0,,,7,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
40,SE Marsh,J Botha,SR Watson,1,0,1,54,92,11,12,1,2,-,0,,,7,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
41,SR Watson,J Botha,SE Marsh,4,0,4,58,88,40,29,1,3,-,0,,,7,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
42,SR Watson,J Botha,SE Marsh,0,0,0,58,88,40,30,1,4,-,0,,,7,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
43,SR Watson,J Botha,SE Marsh,0,0,0,58,88,40,31,1,5,-,0,,,7,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
44,SR Watson,J Botha,SE Marsh,1,0,1,59,87,41,32,1,6,-,0,,,7,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
45,SR Watson,RJ Peterson,SE Marsh,0,0,0,59,87,41,33,1,1,-,0,,,8,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
46,SR Watson,RJ Peterson,SE Marsh,6,0,6,65,81,47,34,1,2,-,0,,,8,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
47,SR Watson,RJ Peterson,SE Marsh,2,0,2,67,79,49,35,1,3,-,0,,,8,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
48,SR Watson,RJ Peterson,SE Marsh,1,0,1,68,78,50,36,1,4,-,0,,,8,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
49,SE Marsh,RJ Peterson,SR Watson,4,0,4,72,74,15,13,1,5,-,0,,,8,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
50,SE Marsh,RJ Peterson,SR Watson,4,0,4,76,70,19,14,1,6,-,0,,,8,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
51,SR Watson,J Botha,SE Marsh,1,0,1,77,69,51,37,1,1,-,0,,,9,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
52,SE Marsh,J Botha,SR Watson,4,0,4,81,65,23,15,1,2,-,0,,,9,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
53,SE Marsh,J Botha,SR Watson,0,0,0,81,65,23,16,1,3,-,0,,,9,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
54,SE Marsh,J Botha,SR Watson,1,0,1,82,64,24,17,1,4,-,0,,,9,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
55,SR Watson,J Botha,SE Marsh,0,0,0,82,64,51,38,1,5,-,0,,,9,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
56,SR Watson,J Botha,SE Marsh,1,0,1,83,63,52,39,1,6,-,0,,,9,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
57,SR Watson,M Morkel,SE Marsh,0,0,0,83,63,52,40,1,1,-,0,,,10,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
58,SR Watson,M Morkel,SE Marsh,0,0,0,83,63,52,41,2,2,-,caught,SR Watson,DA Miller,10,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
59,DJ Hussey,M Morkel,SE Marsh,0,0,0,83,63,0,1,2,3,-,0,,,10,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
60,DJ Hussey,M Morkel,SE Marsh,0,0,0,83,63,0,2,2,4,-,0,,,10,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
61,DJ Hussey,M Morkel,SE Marsh,2,0,2,85,61,2,3,2,5,-,0,,,10,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
62,DJ Hussey,M Morkel,SE Marsh,0,0,0,85,61,2,4,2,6,-,0,,,10,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
63,SE Marsh,J Botha,DJ Hussey,1,0,1,86,60,25,18,2,1,-,0,,,11,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
64,DJ Hussey,J Botha,SE Marsh,1,0,1,87,59,3,5,2,2,-,0,,,11,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
65,SE Marsh,J Botha,DJ Hussey,0,0,0,87,59,25,19,3,3,-,bowled,SE Marsh,,11,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
66,CL White,J Botha,DJ Hussey,1,0,1,88,58,1,1,3,4,-,0,,,11,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
67,DJ Hussey,J Botha,CL White,0,0,0,88,58,3,6,3,5,-,0,,,11,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
68,DJ Hussey,J Botha,CL White,0,0,0,88,58,3,7,3,6,-,0,,,11,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
69,CL White,J Theron,DJ Hussey,1,0,1,89,57,2,2,3,1,-,0,,,12,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
70,DJ Hussey,J Theron,CL White,1,0,1,90,56,4,8,3,2,-,0,,,12,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
71,CL White,J Theron,DJ Hussey,2,0,2,92,54,4,3,3,3,-,0,,,12,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
72,CL White,J Theron,DJ Hussey,2,0,2,94,52,6,4,3,4,-,0,,,12,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
73,CL White,J Theron,DJ Hussey,2,0,2,96,50,8,5,3,5,-,0,,,12,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
74,CL White,J Theron,DJ Hussey,2,0,2,98,48,10,6,3,6,-,0,,,12,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
75,DJ Hussey,J Botha,CL White,0,0,0,98,48,4,9,3,1,-,0,,,13,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
76,DJ Hussey,J Botha,CL White,0,0,0,98,48,4,10,3,2,-,0,,,13,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
77,DJ Hussey,J Botha,CL White,1,0,1,99,47,5,11,3,3,-,0,,,13,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
78,CL White,J Botha,DJ Hussey,1,0,1,100,46,11,7,3,4,-,0,,,13,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
79,DJ Hussey,J Botha,CL White,2,0,2,102,44,7,12,3,5,-,0,,,13,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
80,DJ Hussey,J Botha,CL White,0,0,0,102,44,7,13,3,6,-,0,,,13,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
81,CL White,J Theron,DJ Hussey,0,0,0,102,44,11,8,3,1,-,0,,,14,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
82,CL White,J Theron,DJ Hussey,4,0,4,106,40,15,9,3,2,-,0,,,14,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
83,CL White,J Theron,DJ Hussey,1,0,1,107,39,16,10,3,3,-,0,,,14,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
84,DJ Hussey,J Theron,CL White,1,0,1,108,38,8,14,3,4,-,0,,,14,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
85,CL White,J Theron,DJ Hussey,1,0,1,109,37,17,11,3,5,-,0,,,14,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
86,DJ Hussey,J Theron,CL White,4,0,4,113,33,12,15,3,6,-,0,,,14,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
87,CL White,RJ Peterson,DJ Hussey,0,0,0,113,33,17,12,3,1,-,0,,,15,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
88,CL White,RJ Peterson,DJ Hussey,0,0,0,113,33,17,13,3,2,-,0,,,15,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
89,CL White,RJ Peterson,DJ Hussey,1,0,1,114,32,18,14,3,3,-,0,,,15,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
90,DJ Hussey,RJ Peterson,CL White,1,0,1,115,31,13,16,3,4,-,0,,,15,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
91,CL White,RJ Peterson,DJ Hussey,2,0,2,117,29,20,15,3,5,-,0,,,15,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
92,CL White,RJ Peterson,DJ Hussey,0,0,0,117,29,20,16,3,6,-,0,,,15,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
93,DJ Hussey,JP Duminy,CL White,1,0,1,118,28,14,17,3,1,-,0,,,16,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
94,CL White,JP Duminy,DJ Hussey,0,0,0,118,28,20,17,3,2,-,0,,,16,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
95,CL White,JP Duminy,DJ Hussey,1,0,1,119,27,21,18,3,3,-,0,,,16,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
96,DJ Hussey,JP Duminy,CL White,1,0,1,120,26,15,18,3,4,-,0,,,16,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
97,CL White,JP Duminy,DJ Hussey,0,0,0,120,26,21,19,3,5,-,0,,,16,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
98,CL White,JP Duminy,DJ Hussey,1,0,1,121,25,22,20,3,6,-,0,,,16,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
99,CL White,RJ Peterson,DJ Hussey,6,0,6,127,19,28,21,3,1,-,0,,,17,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
100,CL White,RJ Peterson,DJ Hussey,0,0,0,127,19,28,22,4,2,-,caught,CL White,DA Miller,17,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
101,DJ Hussey,RJ Peterson,SPD Smith,0,0,0,127,19,15,19,4,3,-,0,,,17,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
102,DJ Hussey,RJ Peterson,SPD Smith,1,0,1,128,18,16,20,4,4,-,0,,,17,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
103,SPD Smith,RJ Peterson,DJ Hussey,0,0,0,128,18,0,1,4,5,-,0,,,17,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
104,SPD Smith,RJ Peterson,DJ Hussey,1,0,1,129,17,1,2,4,6,-,0,,,17,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
105,SPD Smith,M Morkel,DJ Hussey,1,0,1,130,16,2,3,4,1,-,0,,,18,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
106,DJ Hussey,M Morkel,SPD Smith,0,0,0,130,16,16,21,4,2,-,0,,,18,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
107,DJ Hussey,M Morkel,SPD Smith,1,0,1,131,15,17,22,4,3,-,0,,,18,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
108,SPD Smith,M Morkel,DJ Hussey,0,0,0,131,15,2,4,4,4,-,0,,,18,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
109,SPD Smith,M Morkel,DJ Hussey,1,0,1,132,14,3,5,4,5,-,0,,,18,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
110,DJ Hussey,M Morkel,SPD Smith,1,0,1,133,13,18,23,4,6,-,0,,,18,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
111,DJ Hussey,LL Tsotsobe,SPD Smith,6,0,6,139,7,24,24,4,1,-,0,,,19,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
112,DJ Hussey,LL Tsotsobe,SPD Smith,0,0,0,139,7,24,25,4,2,-,0,,,19,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
113,DJ Hussey,LL Tsotsobe,SPD Smith,1,0,1,140,6,25,26,4,3,-,0,,,19,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
114,SPD Smith,LL Tsotsobe,DJ Hussey,0,1,1,141,5,3,6,4,4,legbyes,0,,,19,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
115,DJ Hussey,LL Tsotsobe,SPD Smith,0,0,0,141,5,25,27,5,5,-,caught,DJ Hussey,JP Duminy,19,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
116,SPD Smith,LL Tsotsobe,MS Wade,0,0,0,141,5,3,7,5,6,-,0,,,19,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
117,MS Wade,J Theron,SPD Smith,1,0,1,142,4,1,1,5,1,-,0,,,20,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
118,SPD Smith,J Theron,MS Wade,4,0,4,146,0,7,8,5,2,-,0,,,20,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
119,SPD Smith,J Theron,MS Wade,1,0,1,147,-1,8,9,5,3,-,0,,,20,bat,South Africa,2,Newlands,2011,10,South Africa_Australia_2011-10-13,Australia,Australia,South Africa,147
