,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
13,CAK Walton,Abu Hider,ADS Fletcher,2,0,2,14,170,12,11,0,2,-,3,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
14,CAK Walton,Abu Hider,ADS Fletcher,0,0,0,14,170,12,12,0,3,-,3,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
15,CAK Walton,Abu Hider,ADS Fletcher,1,0,1,15,169,13,13,0,4,-,3,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
16,ADS Fletcher,Abu Hider,CAK Walton,1,0,1,16,168,1,4,0,5,-,3,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
17,CAK Walton,Abu Hider,ADS Fletcher,4,0,4,20,164,17,14,0,6,-,3,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
18,ADS Fletcher,Mustafizur Rahman,CAK Walton,0,0,0,20,164,1,5,0,1,-,4,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
19,ADS Fletcher,Mustafizur Rahman,CAK Walton,5,0,5,25,159,6,6,0,2,-,4,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
20,CAK Walton,Mustafizur Rahman,ADS Fletcher,0,0,0,25,159,17,15,0,3,-,4,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
21,CAK Walton,Mustafizur Rahman,ADS Fletcher,1,0,1,26,158,18,16,0,4,-,4,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
22,ADS Fletcher,Mustafizur Rahman,CAK Walton,0,0,0,26,158,6,7,1,5,-,4,caught,ADS Fletcher,Nazmul Islam,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
23,CAK Walton,Mustafizur Rahman,MN Samuels,0,0,0,26,158,18,17,1,6,-,4,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
24,MN Samuels,Nazmul Islam,CAK Walton,1,0,1,27,157,1,1,1,1,-,5,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
25,CAK Walton,Nazmul Islam,MN Samuels,1,0,1,28,156,19,18,1,2,-,5,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
26,MN Samuels,Nazmul Islam,CAK Walton,0,0,0,28,156,1,2,1,3,-,5,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
27,MN Samuels,Soumya Sarkar,CAK Walton,1,0,1,29,155,2,3,1,4,-,5,0,,,"{'role': [{'in': 'Soumya Sarkar', 'out': 'Nazmul Islam', 'reason': 'injury', 'role': 'bowler'}]}",bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
28,CAK Walton,Soumya Sarkar,MN Samuels,0,1,1,30,154,19,19,1,5,wides,5,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
29,CAK Walton,Soumya Sarkar,MN Samuels,0,0,0,30,154,19,20,2,6,-,5,caught,CAK Walton,Sabbir Rahman,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
30,MN Samuels,Soumya Sarkar,R Powell,0,1,1,31,153,2,4,2,7,wides,5,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
31,MN Samuels,Soumya Sarkar,R Powell,0,0,0,31,153,2,5,2,8,-,5,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
32,R Powell,Shakib Al Hasan,MN Samuels,0,0,0,31,153,0,1,2,1,-,6,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
33,R Powell,Shakib Al Hasan,MN Samuels,0,0,0,31,153,0,2,2,2,-,6,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
34,R Powell,Shakib Al Hasan,MN Samuels,1,0,1,32,152,1,3,2,3,-,6,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
35,MN Samuels,Shakib Al Hasan,R Powell,0,0,0,32,152,2,6,2,4,-,6,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
36,MN Samuels,Shakib Al Hasan,R Powell,0,0,0,32,152,2,7,2,5,-,6,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
37,MN Samuels,Shakib Al Hasan,R Powell,0,0,0,32,152,2,8,3,6,-,6,bowled,MN Samuels,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
38,R Powell,Soumya Sarkar,D Ramdin,1,0,1,33,151,2,4,3,1,-,7,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
39,D Ramdin,Soumya Sarkar,R Powell,0,1,1,34,150,0,1,3,2,wides,7,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
40,D Ramdin,Soumya Sarkar,R Powell,1,0,1,35,149,1,2,3,3,-,7,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
41,R Powell,Soumya Sarkar,D Ramdin,1,0,1,36,148,3,5,3,4,-,7,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
42,D Ramdin,Soumya Sarkar,R Powell,0,0,0,36,148,1,3,3,5,-,7,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
43,D Ramdin,Soumya Sarkar,R Powell,0,1,1,37,147,1,4,3,6,wides,7,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
44,D Ramdin,Soumya Sarkar,R Powell,1,0,1,38,146,2,5,3,7,-,7,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
45,R Powell,Soumya Sarkar,D Ramdin,1,0,1,39,145,4,6,3,8,-,7,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
46,R Powell,Rubel Hossain,D Ramdin,1,0,1,40,144,5,7,3,1,-,8,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
47,D Ramdin,Rubel Hossain,R Powell,1,0,1,41,143,3,6,3,2,-,8,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
48,R Powell,Rubel Hossain,D Ramdin,4,0,4,45,139,9,8,3,3,-,8,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
49,R Powell,Rubel Hossain,D Ramdin,2,0,2,47,137,11,9,3,4,-,8,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
50,R Powell,Rubel Hossain,D Ramdin,1,0,1,48,136,12,10,3,5,-,8,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
51,D Ramdin,Rubel Hossain,R Powell,0,0,0,48,136,3,7,3,6,-,8,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
52,R Powell,Soumya Sarkar,D Ramdin,1,0,1,49,135,13,11,3,1,-,9,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
53,D Ramdin,Soumya Sarkar,R Powell,1,0,1,50,134,4,8,3,2,-,9,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
54,R Powell,Soumya Sarkar,D Ramdin,1,0,1,51,133,14,12,3,3,-,9,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
55,D Ramdin,Soumya Sarkar,R Powell,1,0,1,52,132,5,9,3,4,-,9,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
56,R Powell,Soumya Sarkar,D Ramdin,0,0,0,52,132,14,13,3,5,-,9,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
57,R Powell,Soumya Sarkar,D Ramdin,4,0,4,56,128,18,14,3,6,-,9,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
58,D Ramdin,Shakib Al Hasan,R Powell,1,0,1,57,127,6,10,3,1,-,10,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
59,R Powell,Shakib Al Hasan,D Ramdin,0,0,0,57,127,18,15,3,2,-,10,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
60,R Powell,Shakib Al Hasan,D Ramdin,1,0,1,58,126,19,16,3,3,-,10,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
61,D Ramdin,Shakib Al Hasan,R Powell,1,0,1,59,125,7,11,3,4,-,10,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
62,R Powell,Shakib Al Hasan,D Ramdin,1,0,1,60,124,20,17,3,5,-,10,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
63,D Ramdin,Shakib Al Hasan,R Powell,1,0,1,61,123,8,12,3,6,-,10,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
64,D Ramdin,Mustafizur Rahman,R Powell,2,0,2,63,121,10,13,3,1,-,11,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
65,D Ramdin,Mustafizur Rahman,R Powell,6,0,6,69,115,16,14,3,2,-,11,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
66,D Ramdin,Mustafizur Rahman,R Powell,0,0,0,69,115,16,15,3,3,-,11,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
67,D Ramdin,Mustafizur Rahman,R Powell,0,0,0,69,115,16,16,3,4,-,11,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
68,D Ramdin,Mustafizur Rahman,R Powell,1,0,1,70,114,17,17,3,5,-,11,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
69,R Powell,Mustafizur Rahman,D Ramdin,0,1,1,71,113,20,18,3,6,wides,11,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
70,R Powell,Mustafizur Rahman,D Ramdin,2,0,2,73,111,22,19,3,7,-,11,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
71,D Ramdin,Rubel Hossain,R Powell,4,0,4,77,107,21,18,3,1,-,12,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
72,D Ramdin,Rubel Hossain,R Powell,0,0,0,77,107,21,19,3,2,-,12,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
73,D Ramdin,Rubel Hossain,R Powell,0,0,0,77,107,21,20,4,3,-,12,bowled,D Ramdin,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
74,AD Russell,Rubel Hossain,R Powell,0,0,0,77,107,0,1,4,4,-,12,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
75,AD Russell,Rubel Hossain,R Powell,0,0,0,77,107,0,2,4,5,-,12,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
76,AD Russell,Rubel Hossain,R Powell,6,0,6,83,101,6,3,4,6,-,12,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
77,R Powell,Shakib Al Hasan,AD Russell,1,0,1,84,100,23,20,4,1,-,13,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
78,AD Russell,Shakib Al Hasan,R Powell,0,0,0,84,100,6,4,4,2,-,13,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
79,AD Russell,Shakib Al Hasan,R Powell,6,0,6,90,94,12,5,4,3,-,13,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
80,AD Russell,Shakib Al Hasan,R Powell,0,0,0,90,94,12,6,4,4,-,13,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
81,AD Russell,Shakib Al Hasan,R Powell,6,0,6,96,88,18,7,4,5,-,13,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
82,AD Russell,Shakib Al Hasan,R Powell,0,0,0,96,88,18,8,4,6,-,13,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
83,R Powell,Mustafizur Rahman,AD Russell,0,0,0,96,88,23,21,5,1,-,14,caught,R Powell,Abu Hider,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
84,AD Russell,Mustafizur Rahman,CR Brathwaite,6,0,6,102,82,24,9,5,2,-,14,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
85,AD Russell,Mustafizur Rahman,CR Brathwaite,4,0,4,106,78,28,10,5,3,-,14,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
86,AD Russell,Mustafizur Rahman,CR Brathwaite,1,0,1,107,77,29,11,5,4,-,14,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
87,CR Brathwaite,Mustafizur Rahman,AD Russell,2,0,2,109,75,2,1,5,5,-,14,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
88,CR Brathwaite,Mustafizur Rahman,AD Russell,0,0,0,109,75,2,2,5,6,-,14,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
89,AD Russell,Shakib Al Hasan,CR Brathwaite,1,0,1,110,74,30,12,5,1,-,15,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
90,CR Brathwaite,Shakib Al Hasan,AD Russell,0,0,0,110,74,2,3,5,2,-,15,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
91,CR Brathwaite,Shakib Al Hasan,AD Russell,1,0,1,111,73,3,4,5,3,-,15,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
92,AD Russell,Shakib Al Hasan,CR Brathwaite,1,0,1,112,72,31,13,5,4,-,15,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
93,CR Brathwaite,Shakib Al Hasan,AD Russell,0,4,4,116,68,3,5,5,5,byes,15,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
94,CR Brathwaite,Shakib Al Hasan,AD Russell,0,0,0,116,68,3,6,5,6,-,15,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
95,AD Russell,Rubel Hossain,CR Brathwaite,1,0,1,117,67,32,14,5,1,-,16,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
96,CR Brathwaite,Rubel Hossain,AD Russell,0,1,1,118,66,3,7,5,2,legbyes,16,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
97,AD Russell,Rubel Hossain,CR Brathwaite,0,0,0,118,66,32,15,5,3,-,16,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
98,AD Russell,Rubel Hossain,CR Brathwaite,1,0,1,119,65,33,16,5,4,-,16,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
99,CR Brathwaite,Rubel Hossain,AD Russell,2,0,2,121,63,5,8,5,5,-,16,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
100,CR Brathwaite,Rubel Hossain,AD Russell,0,0,0,121,63,5,9,5,6,-,16,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
101,AD Russell,Abu Hider,CR Brathwaite,6,0,6,127,57,39,17,5,1,-,17,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
102,AD Russell,Abu Hider,CR Brathwaite,1,0,1,128,56,40,18,5,2,-,17,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
103,CR Brathwaite,Abu Hider,AD Russell,0,0,0,128,56,5,10,6,3,-,17,caught,CR Brathwaite,Sabbir Rahman,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
