,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,CAK Walton,Abu Hider,ADS Fletcher,0,0,0,0,184,0,1,0,1,-,1,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
1,CAK Walton,Abu Hider,ADS Fletcher,0,1,1,1,183,0,2,0,2,legbyes,1,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
2,ADS Fletcher,Abu Hider,CAK Walton,0,1,1,2,182,0,1,0,3,legbyes,1,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
3,CAK Walton,Abu Hider,ADS Fletcher,0,0,0,2,182,0,3,0,4,-,1,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
4,CAK Walton,Abu Hider,ADS Fletcher,4,0,4,6,178,4,4,0,5,-,1,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
5,CAK Walton,Abu Hider,ADS Fletcher,1,0,1,7,177,5,5,0,6,-,1,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
6,CAK Walton,Rubel Hossain,ADS Fletcher,0,0,0,7,177,5,6,0,1,-,2,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
7,CAK Walton,Rubel Hossain,ADS Fletcher,4,0,4,11,173,9,7,0,2,-,2,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
8,CAK Walton,Rubel Hossain,ADS Fletcher,0,0,0,11,173,9,8,0,3,-,2,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
9,CAK Walton,Rubel Hossain,ADS Fletcher,1,0,1,12,172,10,9,0,4,-,2,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
10,ADS Fletcher,Rubel Hossain,CAK Walton,0,0,0,12,172,0,2,0,5,-,2,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
11,ADS Fletcher,Rubel Hossain,CAK Walton,0,0,0,12,172,0,3,0,6,-,2,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
12,CAK Walton,Abu Hider,ADS Fletcher,0,0,0,12,172,10,10,0,1,-,3,0,,,,bat,Bangladesh,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-05,Bangladesh,West Indies,Bangladesh,135
