,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
27,SM Curran,SC Kuggeleijn,JM Bairstow,,4,0,4,52,6,4,1,0,,,5,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
28,SM Curran,SC Kuggeleijn,JM Bairstow,,4,0,4,56,10,5,2,0,,,5,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
29,SM Curran,SC Kuggeleijn,JM Bairstow,,6,0,6,62,16,6,3,0,,,5,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
30,SM Curran,SC Kuggeleijn,JM Bairstow,,6,0,6,68,22,7,4,0,,,5,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
31,SM Curran,SC Kuggeleijn,JM Bairstow,,0,0,0,68,22,8,5,0,,,5,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
32,SM Curran,SC Kuggeleijn,JM Bairstow,,0,0,0,68,22,9,6,0,,,5,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
33,JM Bairstow,IS Sodhi,SM Curran,,6,0,6,74,24,11,1,0,,,6,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
34,JM Bairstow,IS Sodhi,SM Curran,,6,0,6,80,30,12,2,0,,,6,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
35,JM Bairstow,IS Sodhi,SM Curran,,6,0,6,86,36,13,3,0,,,6,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
36,JM Bairstow,IS Sodhi,SM Curran,,0,1,1,87,36,14,4,0,,,6,wides,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
37,JM Bairstow,IS Sodhi,SM Curran,,1,0,1,88,37,15,5,0,,,6,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
38,SM Curran,IS Sodhi,JM Bairstow,,1,0,1,89,23,10,6,0,,,6,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
39,JM Bairstow,IS Sodhi,SM Curran,,1,0,1,90,38,16,7,0,,,6,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
40,JM Bairstow,JDS Neesham,SM Curran,,6,0,6,96,44,17,1,0,,,7,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
41,JM Bairstow,JDS Neesham,SM Curran,,1,0,1,97,45,18,2,0,,,7,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
42,SM Curran,JDS Neesham,JM Bairstow,,1,0,1,98,24,11,3,0,,,7,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
