,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
22,Babar Azam,Shohidul Islam,Mohammad Rizwan,1,0,1,15,9,12,5,4,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
23,Mohammad Rizwan,Shohidul Islam,Babar Azam,2,0,2,17,7,12,6,4,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
24,Babar Azam,Nasum Ahmed,Mohammad Rizwan,0,0,0,17,9,13,1,5,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
25,Babar Azam,Nasum Ahmed,Mohammad Rizwan,4,0,4,21,13,14,2,5,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
26,Babar Azam,Nasum Ahmed,Mohammad Rizwan,0,0,0,21,13,15,3,5,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
27,Babar Azam,Nasum Ahmed,Mohammad Rizwan,0,1,1,22,13,16,4,5,{'wides': 1},wides,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
28,Babar Azam,Nasum Ahmed,Mohammad Rizwan,1,0,1,23,14,17,5,5,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
29,Mohammad Rizwan,Nasum Ahmed,Babar Azam,1,0,1,24,8,13,6,5,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
30,Babar Azam,Nasum Ahmed,Mohammad Rizwan,1,0,1,25,15,18,7,5,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
31,Babar Azam,Taskin Ahmed,Mohammad Rizwan,0,0,0,25,15,19,1,6,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
32,Babar Azam,Shohidul Islam,Mohammad Rizwan,1,0,1,26,16,20,2,6,,-,"{'role': [{'in': 'Shohidul Islam', 'out': 'Taskin Ahmed', 'reason': 'injury', 'role': 'bowler'}]}",0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
33,Mohammad Rizwan,Shohidul Islam,Babar Azam,0,0,0,26,8,14,3,6,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
34,Mohammad Rizwan,Shohidul Islam,Babar Azam,1,0,1,27,9,15,4,6,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
