,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,BA King,RJW Topley,J Charles,0,0,0,0,132,0,1,0,1,-,1,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
1,BA King,RJW Topley,J Charles,1,0,1,1,131,1,2,0,2,-,1,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
2,J Charles,RJW Topley,BA King,0,4,4,5,127,0,1,0,3,legbyes,1,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
3,J Charles,RJW Topley,BA King,2,0,2,7,125,2,2,0,4,-,1,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
4,J Charles,RJW Topley,BA King,0,0,0,7,125,2,3,0,5,-,1,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
5,J Charles,RJW Topley,BA King,0,0,0,7,125,2,4,0,6,-,1,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
6,BA King,CR Woakes,J Charles,1,0,1,8,124,2,3,0,1,-,2,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
7,J Charles,CR Woakes,BA King,6,0,6,14,118,8,5,0,2,-,2,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
8,J Charles,CR Woakes,BA King,0,0,0,14,118,8,6,0,3,-,2,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
9,J Charles,CR Woakes,BA King,4,0,4,18,114,12,7,0,4,-,2,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
10,J Charles,CR Woakes,BA King,1,0,1,19,113,13,8,0,5,-,2,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
11,BA King,CR Woakes,J Charles,1,0,1,20,112,3,4,0,6,-,2,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
12,BA King,RJW Topley,J Charles,0,0,0,20,112,3,5,1,1,-,3,caught,BA King,JC Buttler,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
13,N Pooran,RJW Topley,J Charles,1,0,1,21,111,1,1,1,2,-,3,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
14,J Charles,RJW Topley,N Pooran,0,1,1,22,110,13,9,1,3,legbyes,3,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
15,N Pooran,RJW Topley,J Charles,6,0,6,28,104,7,2,1,4,-,3,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
16,N Pooran,RJW Topley,J Charles,0,0,0,28,104,7,3,1,5,-,3,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
17,N Pooran,RJW Topley,J Charles,2,0,2,30,102,9,4,1,6,-,3,0,,,,field,West Indies,2,"Brian Lara Stadium, Tarouba, Trinidad",2023,12,England_West Indies_2023-12-21,West Indies,West Indies,England,133
