,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,J Charles,SL Malinga,ADS Fletcher,0,0,0,0,215,0,1,0,1,0,,,0,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
1,J Charles,SL Malinga,ADS Fletcher,0,0,0,0,215,0,2,1,2,bowled,J Charles,,0,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
2,MN Samuels,SL Malinga,ADS Fletcher,4,0,4,4,211,4,1,1,3,0,,,0,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
3,MN Samuels,SL Malinga,ADS Fletcher,0,0,0,4,211,4,2,1,4,0,,,0,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
4,MN Samuels,SL Malinga,ADS Fletcher,1,0,1,5,210,5,3,1,5,0,,,0,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
5,ADS Fletcher,SL Malinga,MN Samuels,4,0,4,9,206,4,1,1,6,0,,,0,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
6,MN Samuels,KMDN Kulasekara,ADS Fletcher,0,0,0,9,206,5,4,1,1,0,,,1,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
7,MN Samuels,KMDN Kulasekara,ADS Fletcher,1,0,1,10,205,6,5,1,2,0,,,1,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
8,ADS Fletcher,KMDN Kulasekara,MN Samuels,1,0,1,11,204,5,2,1,3,0,,,1,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
9,MN Samuels,KMDN Kulasekara,ADS Fletcher,0,0,0,11,204,6,6,1,4,0,,,1,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
10,MN Samuels,KMDN Kulasekara,ADS Fletcher,0,0,0,11,204,6,7,1,5,0,,,1,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
11,MN Samuels,KMDN Kulasekara,ADS Fletcher,0,0,0,11,204,6,8,1,6,0,,,1,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
12,ADS Fletcher,SL Malinga,MN Samuels,0,0,0,11,204,5,3,1,1,0,,,2,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
13,ADS Fletcher,SL Malinga,MN Samuels,4,0,4,15,200,9,4,1,2,0,,,2,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
14,ADS Fletcher,SL Malinga,MN Samuels,0,0,0,15,200,9,5,1,3,0,,,2,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
15,ADS Fletcher,SL Malinga,MN Samuels,0,0,0,15,200,9,6,1,4,0,,,2,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
16,ADS Fletcher,SL Malinga,MN Samuels,0,0,0,15,200,9,7,1,5,0,,,2,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
17,ADS Fletcher,SL Malinga,MN Samuels,0,0,0,15,200,9,8,1,6,0,,,2,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
18,MN Samuels,KMDN Kulasekara,ADS Fletcher,0,0,0,15,200,6,9,1,1,0,,,3,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
19,MN Samuels,KMDN Kulasekara,ADS Fletcher,0,1,1,16,199,6,10,1,2,0,,,3,wides,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
20,MN Samuels,KMDN Kulasekara,ADS Fletcher,1,0,1,17,198,7,11,1,3,0,,,3,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
21,ADS Fletcher,KMDN Kulasekara,MN Samuels,1,0,1,18,197,10,9,1,4,0,,,3,-,field,West Indies,2,Pallekele International Cricket Stadium,2015,11,Sri Lanka_West Indies_2015-11-09,Sri Lanka,West Indies,Sri Lanka,False,185
