,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,PR Stirling,Aftab Alam,SR Thompson,0,0,0,0,160,0,1,0,1,1,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
1,PR Stirling,Aftab Alam,SR Thompson,4,0,4,4,156,4,2,0,2,1,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
2,PR Stirling,Aftab Alam,SR Thompson,2,0,2,6,154,6,3,0,3,1,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
3,PR Stirling,Aftab Alam,SR Thompson,1,0,1,7,153,7,4,0,4,1,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
4,SR Thompson,Aftab Alam,PR Stirling,0,0,0,7,153,0,1,0,5,1,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
5,SR Thompson,Aftab Alam,PR Stirling,1,0,1,8,152,1,2,0,6,1,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
6,SR Thompson,Mujeeb Ur Rahman,PR Stirling,0,0,0,8,152,1,3,0,1,2,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
7,SR Thompson,Mujeeb Ur Rahman,PR Stirling,4,0,4,12,148,5,4,0,2,2,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
8,SR Thompson,Mujeeb Ur Rahman,PR Stirling,0,0,0,12,148,5,5,1,3,2,-,bowled,SR Thompson,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
9,WTS Porterfield,Mujeeb Ur Rahman,PR Stirling,0,0,0,12,148,0,1,1,4,2,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
10,WTS Porterfield,Mujeeb Ur Rahman,PR Stirling,0,0,0,12,148,0,2,1,5,2,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
11,WTS Porterfield,Mujeeb Ur Rahman,PR Stirling,0,1,1,13,147,0,3,1,6,2,wides,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
12,WTS Porterfield,Mujeeb Ur Rahman,PR Stirling,0,0,0,13,147,0,4,1,7,2,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
13,PR Stirling,Aftab Alam,WTS Porterfield,0,0,0,13,147,7,5,1,1,3,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
14,PR Stirling,Aftab Alam,WTS Porterfield,2,0,2,15,145,9,6,1,2,3,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
15,PR Stirling,Aftab Alam,WTS Porterfield,6,0,6,21,139,15,7,1,3,3,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
16,PR Stirling,Aftab Alam,WTS Porterfield,1,0,1,22,138,16,8,1,4,3,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
17,WTS Porterfield,Aftab Alam,PR Stirling,4,0,4,26,134,4,5,1,5,3,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
18,WTS Porterfield,Aftab Alam,PR Stirling,0,0,0,26,134,4,6,1,6,3,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
19,PR Stirling,Mujeeb Ur Rahman,WTS Porterfield,1,0,1,27,133,17,9,1,1,4,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
20,WTS Porterfield,Mujeeb Ur Rahman,PR Stirling,4,0,4,31,129,8,7,1,2,4,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
21,WTS Porterfield,Mujeeb Ur Rahman,PR Stirling,0,0,0,31,129,8,8,1,3,4,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
22,WTS Porterfield,Mujeeb Ur Rahman,PR Stirling,0,0,0,31,129,8,9,1,4,4,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
23,WTS Porterfield,Mujeeb Ur Rahman,PR Stirling,0,0,0,31,129,8,10,1,5,4,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
24,WTS Porterfield,Mujeeb Ur Rahman,PR Stirling,0,0,0,31,129,8,11,2,6,4,-,caught,WTS Porterfield,Aftab Alam,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
25,PR Stirling,Fareed Ahmad,KJ O'Brien,0,0,0,31,129,17,10,2,1,5,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
26,PR Stirling,Fareed Ahmad,KJ O'Brien,6,0,6,37,123,23,11,2,2,5,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
27,PR Stirling,Fareed Ahmad,KJ O'Brien,0,0,0,37,123,23,12,2,3,5,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
28,PR Stirling,Fareed Ahmad,KJ O'Brien,1,0,1,38,122,24,13,2,4,5,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
29,KJ O'Brien,Fareed Ahmad,PR Stirling,0,0,0,38,122,0,1,2,5,5,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
30,KJ O'Brien,Fareed Ahmad,PR Stirling,2,0,2,40,120,2,2,2,6,5,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
31,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,0,0,0,40,120,24,14,2,1,6,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
32,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,1,0,1,41,119,25,15,2,2,6,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
33,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,1,0,1,42,118,3,3,2,3,6,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
34,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,1,0,1,43,117,26,16,2,4,6,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
35,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,1,0,1,44,116,4,4,2,5,6,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
36,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,0,0,0,44,116,26,17,2,6,6,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
37,KJ O'Brien,Fareed Ahmad,PR Stirling,1,0,1,45,115,5,5,2,1,7,-,0,,,field,Ireland,2,"Bready Cricket Club, Magheramason",2018,08,Afghanistan_Ireland_2018-08-20,Afghanistan,Ireland,Afghanistan
