,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Q de Kock,PVD Chameera,RR Hendricks,1,0,1,1,1,1,1,-,1,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
1,RR Hendricks,PVD Chameera,Q de Kock,0,0,0,1,0,1,2,-,1,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
2,RR Hendricks,PVD Chameera,Q de Kock,0,0,0,1,0,2,3,-,1,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
3,RR Hendricks,PVD Chameera,Q de Kock,1,0,1,2,1,3,4,-,1,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
4,Q de Kock,PVD Chameera,RR Hendricks,0,1,1,3,1,2,5,noballs,1,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
5,Q de Kock,PVD Chameera,RR Hendricks,0,1,1,4,1,3,6,legbyes,1,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
6,RR Hendricks,PVD Chameera,Q de Kock,0,0,0,4,1,4,7,-,1,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
7,Q de Kock,M Theekshana,RR Hendricks,4,0,4,8,5,4,1,-,2,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
8,Q de Kock,M Theekshana,RR Hendricks,1,0,1,9,6,5,2,-,2,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
9,RR Hendricks,M Theekshana,Q de Kock,2,0,2,11,3,5,3,-,2,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
10,RR Hendricks,M Theekshana,Q de Kock,1,0,1,12,4,6,4,-,2,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
11,Q de Kock,M Theekshana,RR Hendricks,1,0,1,13,7,6,5,-,2,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
12,RR Hendricks,M Theekshana,Q de Kock,1,0,1,14,5,7,6,-,2,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
