,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Ahmed Shehzad,LL Tsotsobe,Sohaib Maqsood,0,0,0,0,,0,1,0,-,1.0,0,,,0,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
1,Ahmed Shehzad,LL Tsotsobe,Sohaib Maqsood,0,0,0,0,,0,2,0,-,2.0,0,,,0,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
2,Ahmed Shehzad,LL Tsotsobe,Sohaib Maqsood,0,0,0,0,,0,3,0,-,3.0,0,,,0,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
3,Ahmed Shehzad,LL Tsotsobe,Sohaib Maqsood,0,0,0,0,,0,4,0,-,4.0,0,,,0,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
4,Ahmed Shehzad,LL Tsotsobe,Sohaib Maqsood,0,0,0,0,,0,5,1,-,5.0,caught,Ahmed Shehzad,HM Amla,0,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
5,Shahid Afridi,LL Tsotsobe,Sohaib Maqsood,0,0,0,0,,0,1,1,-,6.0,0,,,0,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
6,Sohaib Maqsood,DW Steyn,Shahid Afridi,4,0,4,4,,4,1,1,-,1.0,0,,,1,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
7,Sohaib Maqsood,DW Steyn,Shahid Afridi,0,0,0,4,,4,2,1,-,2.0,0,,,1,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
8,Sohaib Maqsood,DW Steyn,Shahid Afridi,0,0,0,4,,4,3,1,-,3.0,0,,,1,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
9,Sohaib Maqsood,DW Steyn,Shahid Afridi,0,0,0,4,,4,4,2,-,4.0,caught,Sohaib Maqsood,Q de Kock,1,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
10,Mohammad Hafeez,DW Steyn,Shahid Afridi,0,0,0,4,,0,1,2,-,5.0,0,,,1,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
11,Mohammad Hafeez,DW Steyn,Shahid Afridi,0,0,0,4,,0,2,3,-,6.0,caught,Mohammad Hafeez,Q de Kock,1,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
12,Shahid Afridi,LL Tsotsobe,Shoaib Malik,0,0,0,4,,0,2,3,-,1.0,0,,,2,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
13,Shahid Afridi,LL Tsotsobe,Shoaib Malik,4,0,4,8,,4,3,3,-,2.0,0,,,2,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
14,Shahid Afridi,LL Tsotsobe,Shoaib Malik,1,0,1,9,,5,4,3,-,3.0,0,,,2,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
15,Shoaib Malik,LL Tsotsobe,Shahid Afridi,0,0,0,9,,0,1,3,-,4.0,0,,,2,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
16,Shoaib Malik,LL Tsotsobe,Shahid Afridi,0,0,0,9,,0,2,3,-,5.0,0,,,2,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
17,Shoaib Malik,LL Tsotsobe,Shahid Afridi,0,0,0,9,,0,3,3,-,6.0,0,,,2,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Left arm Fast
18,Shahid Afridi,DW Steyn,Shoaib Malik,0,0,0,9,,5,5,3,-,1.0,0,,,3,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
19,Shahid Afridi,DW Steyn,Shoaib Malik,2,0,2,11,,7,6,3,-,2.0,0,,,3,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
20,Shahid Afridi,DW Steyn,Shoaib Malik,1,0,1,12,,8,7,3,-,3.0,0,,,3,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
21,Shoaib Malik,DW Steyn,Shahid Afridi,0,0,0,12,,0,4,3,-,4.0,0,,,3,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
22,Shoaib Malik,DW Steyn,Shahid Afridi,0,0,0,12,,0,5,3,-,5.0,0,,,3,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
23,Shoaib Malik,DW Steyn,Shahid Afridi,1,0,1,13,,1,6,3,-,6.0,0,,,3,bat,Pakistan,1,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-13,South Africa,Pakistan,South Africa,False,98,Right hand Bat,Right hand Bat,Right arm Fast
