,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Hazratullah,J Little,{'wides': 1},Rahmanullah Gurbaz,0,1,1,1,0,1,1,wides,1,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
1,Hazratullah,J Little,{'wides': 2},Rahmanullah Gurbaz,0,2,2,3,0,2,2,wides,1,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
2,Rahmanullah Gurbaz,J Little,,Hazratullah,4,0,4,7,4,1,3,-,1,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
3,Rahmanullah Gurbaz,J Little,,Hazratullah,0,0,0,7,4,2,4,-,1,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
4,Rahmanullah Gurbaz,J Little,,Hazratullah,4,0,4,11,8,3,5,-,1,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
5,Rahmanullah Gurbaz,J Little,,Hazratullah,0,0,0,11,8,4,6,-,1,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
6,Rahmanullah Gurbaz,J Little,,Hazratullah,0,0,0,11,8,5,7,-,1,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
7,Rahmanullah Gurbaz,J Little,,Hazratullah,6,0,6,17,14,6,8,-,1,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
8,Hazratullah,MR Adair,,Rahmanullah Gurbaz,1,0,1,18,1,3,1,-,2,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
9,Rahmanullah Gurbaz,MR Adair,,Hazratullah,0,0,0,18,14,7,2,-,2,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
10,Rahmanullah Gurbaz,MR Adair,,Hazratullah,6,0,6,24,20,8,3,-,2,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
11,Rahmanullah Gurbaz,MR Adair,,Hazratullah,4,0,4,28,24,9,4,-,2,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
12,Rahmanullah Gurbaz,MR Adair,,Hazratullah,0,0,0,28,24,10,5,-,2,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
13,Rahmanullah Gurbaz,MR Adair,,Hazratullah,0,0,0,28,24,11,6,-,2,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
14,Hazratullah,BJ McCarthy,,Rahmanullah Gurbaz,4,0,4,32,5,4,1,-,3,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
15,Hazratullah,BJ McCarthy,,Rahmanullah Gurbaz,1,0,1,33,6,5,2,-,3,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
16,Rahmanullah Gurbaz,BJ McCarthy,{'legbyes': 4},Hazratullah,0,4,4,37,24,12,3,legbyes,3,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
17,Rahmanullah Gurbaz,BJ McCarthy,,Hazratullah,0,0,0,37,24,13,4,-,3,caught,Rahmanullah Gurbaz,MR Adair,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
18,Ibrahim Zadran,BJ McCarthy,,Hazratullah,0,0,0,37,0,1,5,-,3,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
19,Ibrahim Zadran,BJ McCarthy,,Hazratullah,1,0,1,38,1,2,6,-,3,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
20,Ibrahim Zadran,GJ Delany,,Hazratullah,0,0,0,38,1,3,1,-,4,caught,Ibrahim Zadran,GH Dockrell,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
21,Hazratullah,GJ Delany,,Najibullah Zadran,0,0,0,38,6,6,2,-,4,caught,Hazratullah,BJ McCarthy,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
22,Mohammad Nabi,GJ Delany,,Najibullah Zadran,0,0,0,38,0,1,3,-,4,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
23,Mohammad Nabi,GJ Delany,,Najibullah Zadran,1,0,1,39,1,2,4,-,4,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
24,Najibullah Zadran,GJ Delany,,Mohammad Nabi,4,0,4,43,4,1,5,-,4,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
25,Najibullah Zadran,GJ Delany,,Mohammad Nabi,1,0,1,44,5,2,6,-,4,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
26,Najibullah Zadran,F Hand,,Mohammad Nabi,4,0,4,48,9,3,1,-,5,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
27,Najibullah Zadran,F Hand,,Mohammad Nabi,2,0,2,50,11,4,2,-,5,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
28,Najibullah Zadran,F Hand,,Mohammad Nabi,1,0,1,51,12,5,3,-,5,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
29,Mohammad Nabi,F Hand,,Najibullah Zadran,0,0,0,51,1,3,4,-,5,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
30,Mohammad Nabi,F Hand,,Najibullah Zadran,4,0,4,55,5,4,5,-,5,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
31,Mohammad Nabi,F Hand,,Najibullah Zadran,0,0,0,55,5,5,6,-,5,caught,Mohammad Nabi,A Balbirnie,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
32,Najibullah Zadran,Simi Singh,,Azmatullah Omarzai,1,0,1,56,13,6,1,-,6,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
33,Azmatullah Omarzai,Simi Singh,,Najibullah Zadran,0,0,0,56,0,1,2,-,6,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
34,Azmatullah Omarzai,Simi Singh,,Najibullah Zadran,1,0,1,57,1,2,3,-,6,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
35,Najibullah Zadran,Simi Singh,,Azmatullah Omarzai,1,0,1,58,14,7,4,-,6,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
36,Azmatullah Omarzai,Simi Singh,,Najibullah Zadran,1,0,1,59,2,3,5,-,6,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
37,Najibullah Zadran,Simi Singh,,Azmatullah Omarzai,6,0,6,65,20,8,6,-,6,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
38,Azmatullah Omarzai,J Little,,Najibullah Zadran,1,0,1,66,3,4,1,-,7,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
39,Najibullah Zadran,J Little,,Azmatullah Omarzai,4,0,4,70,24,9,2,-,7,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
40,Najibullah Zadran,J Little,,Azmatullah Omarzai,1,0,1,71,25,10,3,-,7,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
41,Azmatullah Omarzai,J Little,,Najibullah Zadran,0,0,0,71,3,5,4,-,7,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
42,Azmatullah Omarzai,J Little,,Najibullah Zadran,1,0,1,72,4,6,5,-,7,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
43,Najibullah Zadran,J Little,,Azmatullah Omarzai,1,0,1,73,26,11,6,-,7,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
44,Najibullah Zadran,GJ Delany,,Azmatullah Omarzai,0,0,0,73,26,12,1,-,8,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
45,Najibullah Zadran,GJ Delany,,Azmatullah Omarzai,2,0,2,75,28,13,2,-,8,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
46,Najibullah Zadran,GJ Delany,,Azmatullah Omarzai,1,0,1,76,29,14,3,-,8,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
47,Azmatullah Omarzai,GJ Delany,,Najibullah Zadran,0,0,0,76,4,7,4,-,8,caught,Azmatullah Omarzai,GH Dockrell,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
48,Najibullah Zadran,GJ Delany,{'wides': 1},Rashid Khan,0,1,1,77,29,15,5,wides,8,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
49,Najibullah Zadran,GJ Delany,,Rashid Khan,2,0,2,79,31,16,6,-,8,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
50,Najibullah Zadran,GJ Delany,,Rashid Khan,0,0,0,79,31,17,7,-,8,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
51,Rashid Khan,BJ McCarthy,,Najibullah Zadran,1,0,1,80,1,1,1,-,9,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
52,Najibullah Zadran,BJ McCarthy,{'wides': 1},Rashid Khan,0,1,1,81,31,18,2,wides,9,0,,,field,Ireland,1,"Civil Service Cricket Club, Stormont, Belfast",2022-08-15,Afghanistan,Ireland
