,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DJM Short,B Kumar,AJ Finch,0,0,0,0,,0,1,0,1,0,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
1,DJM Short,B Kumar,AJ Finch,0,0,0,0,,0,2,0,2,0,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
2,DJM Short,B Kumar,AJ Finch,0,0,0,0,,0,3,0,3,0,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
3,DJM Short,B Kumar,AJ Finch,0,0,0,0,,0,4,0,4,0,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
4,DJM Short,B Kumar,AJ Finch,0,0,0,0,,0,5,0,5,0,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
5,DJM Short,B Kumar,AJ Finch,1,0,1,1,,1,6,0,6,0,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
6,DJM Short,JJ Bumrah,AJ Finch,0,0,0,1,,1,7,0,1,1,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
7,DJM Short,JJ Bumrah,AJ Finch,1,0,1,2,,2,8,0,2,1,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
8,AJ Finch,JJ Bumrah,DJM Short,0,0,0,2,,0,1,0,3,1,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
9,AJ Finch,JJ Bumrah,DJM Short,2,0,2,4,,2,2,0,4,1,0,,,,-,field,India,1,"Brisbane Cricket Ground, Woolloongabba",2018,11,Australia_India_2018-11-21,Australia,Australia,India,True,158
