,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Tamim Iqbal,DW Steyn,Junaid Siddique,0,0,0,0,0,1,1,-,1,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
1,Tamim Iqbal,DW Steyn,Junaid Siddique,0,0,0,0,0,2,2,-,1,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
2,Tamim Iqbal,DW Steyn,Junaid Siddique,0,1,1,1,0,3,3,wides,1,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
3,Tamim Iqbal,DW Steyn,Junaid Siddique,0,0,0,1,0,4,4,-,1,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
4,Tamim Iqbal,DW Steyn,Junaid Siddique,0,0,0,1,0,5,5,-,1,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
5,Tamim Iqbal,DW Steyn,Junaid Siddique,1,0,1,2,1,6,6,-,1,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
6,Junaid Siddique,DW Steyn,Tamim Iqbal,4,0,4,6,4,1,7,-,1,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
7,Tamim Iqbal,J Louw,Junaid Siddique,0,0,0,6,1,7,1,-,2,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
8,Tamim Iqbal,J Louw,Junaid Siddique,0,0,0,6,1,8,2,-,2,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
9,Tamim Iqbal,J Louw,Junaid Siddique,0,1,1,7,1,9,3,wides,2,0,,,field,Bangladesh,2,New Wanderers Stadium,2008-11-05,Bangladesh,South Africa
