,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,RG Sharma,Naseem Shah,KL Rahul,1,0,1,1,146,1,1,0,1,-,0,,,1,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
1,KL Rahul,Naseem Shah,RG Sharma,0,0,0,1,146,0,1,1,2,-,bowled,KL Rahul,,1,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
2,V Kohli,Naseem Shah,RG Sharma,0,0,0,1,146,0,1,1,3,-,0,,,1,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
3,V Kohli,Naseem Shah,RG Sharma,0,0,0,1,146,0,2,1,4,-,0,,,1,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
4,V Kohli,Naseem Shah,RG Sharma,1,0,1,2,145,1,3,1,5,-,0,,,1,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
5,RG Sharma,Naseem Shah,V Kohli,0,1,1,3,144,1,2,1,6,wides,0,,,1,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
6,RG Sharma,Naseem Shah,V Kohli,0,0,0,3,144,1,3,1,7,-,0,,,1,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
7,V Kohli,Shahnawaz Dhani,RG Sharma,0,0,0,3,144,1,4,1,1,-,0,,,2,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
8,V Kohli,Shahnawaz Dhani,RG Sharma,0,0,0,3,144,1,5,1,2,-,0,,,2,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
9,V Kohli,Shahnawaz Dhani,RG Sharma,0,0,0,3,144,1,6,1,3,-,0,,,2,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
10,V Kohli,Shahnawaz Dhani,RG Sharma,2,0,2,5,142,3,7,1,4,-,0,,,2,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
11,V Kohli,Shahnawaz Dhani,RG Sharma,4,0,4,9,138,7,8,1,5,-,0,,,2,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
12,V Kohli,Shahnawaz Dhani,RG Sharma,1,0,1,10,137,8,9,1,6,-,0,,,2,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
13,V Kohli,Naseem Shah,RG Sharma,0,0,0,10,137,8,10,1,1,-,0,,,3,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
14,V Kohli,Naseem Shah,RG Sharma,0,0,0,10,137,8,11,1,2,-,0,,,3,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
15,V Kohli,Naseem Shah,RG Sharma,2,0,2,12,135,10,12,1,3,-,0,,,3,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
16,V Kohli,Naseem Shah,RG Sharma,1,0,1,13,134,11,13,1,4,-,0,,,3,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
17,RG Sharma,Naseem Shah,V Kohli,1,0,1,14,133,2,4,1,5,-,0,,,3,,field,India,2,Dubai International Cricket Stadium,2022,08,Pakistan_India_2022-08-28,India,India,Pakistan,148
