,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Q de Kock,PVD Chameera,RR Hendricks,,0,1,1,1,102,0,1,0,1,wides,0,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
1,Q de Kock,PVD Chameera,RR Hendricks,,0,0,0,1,102,0,2,0,2,-,0,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
2,Q de Kock,PVD Chameera,RR Hendricks,,4,0,4,5,98,4,3,0,3,-,0,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
3,Q de Kock,PVD Chameera,RR Hendricks,,0,0,0,5,98,4,4,0,4,-,0,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
4,Q de Kock,PVD Chameera,RR Hendricks,"{'by': 'Sri Lanka', 'umpire': 'RSA Palliyaguruge', 'batter': 'Q de Kock', 'decision': 'struck down'}",0,0,0,5,98,4,5,0,5,-,0,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
5,Q de Kock,PVD Chameera,RR Hendricks,,0,0,0,5,98,4,6,0,6,-,0,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
6,Q de Kock,PVD Chameera,RR Hendricks,,0,0,0,5,98,4,7,0,7,-,0,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
7,RR Hendricks,DM de Silva,Q de Kock,,1,0,1,6,97,1,1,0,1,-,1,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
8,Q de Kock,DM de Silva,RR Hendricks,,2,0,2,8,95,6,8,0,2,-,1,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
9,Q de Kock,DM de Silva,RR Hendricks,,1,0,1,9,94,7,9,0,3,-,1,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
