,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,MS Wade,TG Southee,AJ Finch,4,0,4,4,204,4,1,0,1,0,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
1,MS Wade,TG Southee,AJ Finch,0,0,0,4,204,4,2,0,2,0,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
2,MS Wade,TG Southee,AJ Finch,0,0,0,4,204,4,3,0,3,0,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
3,MS Wade,TG Southee,AJ Finch,6,0,6,10,198,10,4,0,4,0,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
4,MS Wade,TG Southee,AJ Finch,1,0,1,11,197,11,5,0,5,0,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
5,AJ Finch,TG Southee,MS Wade,0,0,0,11,197,0,1,0,6,0,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
6,MS Wade,TA Boult,AJ Finch,2,0,2,13,195,13,6,0,1,1,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
7,MS Wade,TA Boult,AJ Finch,1,0,1,14,194,14,7,0,2,1,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
8,AJ Finch,TA Boult,MS Wade,4,0,4,18,190,4,2,0,3,1,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
9,AJ Finch,TA Boult,MS Wade,0,0,0,18,190,4,3,0,4,1,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
10,AJ Finch,TA Boult,MS Wade,0,0,0,18,190,4,4,0,5,1,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
11,AJ Finch,TA Boult,MS Wade,0,0,0,18,190,4,5,0,6,1,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
12,MS Wade,MJ Santner,AJ Finch,0,0,0,18,190,14,8,0,1,2,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
13,MS Wade,MJ Santner,AJ Finch,0,0,0,18,190,14,9,0,2,2,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
14,MS Wade,MJ Santner,AJ Finch,0,0,0,18,190,14,10,1,3,2,caught,MS Wade,IS Sodhi,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
15,JR Philippe,MJ Santner,AJ Finch,0,0,0,18,190,0,1,1,4,2,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
16,JR Philippe,MJ Santner,AJ Finch,1,0,1,19,189,1,2,1,5,2,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
17,AJ Finch,MJ Santner,JR Philippe,0,0,0,19,189,4,6,1,6,2,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
18,JR Philippe,KA Jamieson,AJ Finch,0,0,0,19,189,1,3,1,1,3,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
19,JR Philippe,KA Jamieson,AJ Finch,1,0,1,20,188,2,4,1,2,3,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
20,AJ Finch,KA Jamieson,JR Philippe,0,0,0,20,188,4,7,1,3,3,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
21,AJ Finch,KA Jamieson,JR Philippe,4,0,4,24,184,8,8,1,4,3,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
22,AJ Finch,KA Jamieson,JR Philippe,4,0,4,28,180,12,9,1,5,3,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
23,AJ Finch,KA Jamieson,JR Philippe,0,0,0,28,180,12,10,1,6,3,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
24,JR Philippe,MJ Santner,AJ Finch,3,0,3,31,177,5,5,1,1,4,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
25,AJ Finch,MJ Santner,JR Philippe,0,0,0,31,177,12,11,1,2,4,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
26,AJ Finch,MJ Santner,JR Philippe,1,0,1,32,176,13,12,1,3,4,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
27,JR Philippe,MJ Santner,AJ Finch,0,0,0,32,176,5,6,1,4,4,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
28,JR Philippe,MJ Santner,AJ Finch,1,0,1,33,175,6,7,1,5,4,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
29,AJ Finch,MJ Santner,JR Philippe,0,0,0,33,175,13,13,1,6,4,0,,,,-,bat,Australia,1,Westpac Stadium,2021,03,Australia_New Zealand_2021-03-05,Australia,Australia,New Zealand,156
