,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,RG Sharma,SS Cottrell,KL Rahul,0,0,0,0,,0,1,0,1,0,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
1,RG Sharma,SS Cottrell,KL Rahul,4,0,4,4,,4,2,0,2,0,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
2,RG Sharma,SS Cottrell,KL Rahul,0,0,0,4,,4,3,0,3,0,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
3,RG Sharma,SS Cottrell,KL Rahul,0,0,0,4,,4,4,0,4,0,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
4,RG Sharma,SS Cottrell,KL Rahul,1,0,1,5,,5,5,0,5,0,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
5,KL Rahul,SS Cottrell,RG Sharma,0,0,0,5,,0,1,0,6,0,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
6,RG Sharma,JO Holder,KL Rahul,0,0,0,5,,5,6,0,1,1,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
7,RG Sharma,JO Holder,KL Rahul,1,0,1,6,,6,7,0,2,1,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
8,KL Rahul,JO Holder,RG Sharma,4,0,4,10,,4,2,0,3,1,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
9,KL Rahul,JO Holder,RG Sharma,4,0,4,14,,8,3,0,4,1,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
10,KL Rahul,JO Holder,RG Sharma,0,0,0,14,,8,4,0,5,1,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
11,KL Rahul,JO Holder,RG Sharma,0,0,0,14,,8,5,0,6,1,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
12,RG Sharma,SS Cottrell,KL Rahul,6,0,6,20,,12,8,0,1,2,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
13,RG Sharma,SS Cottrell,KL Rahul,4,0,4,24,,16,9,0,2,2,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
14,RG Sharma,SS Cottrell,KL Rahul,1,0,1,25,,17,10,0,3,2,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
15,KL Rahul,SS Cottrell,RG Sharma,1,0,1,26,,9,6,0,4,2,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
16,RG Sharma,SS Cottrell,KL Rahul,0,0,0,26,,17,11,0,5,2,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
17,RG Sharma,SS Cottrell,KL Rahul,4,0,4,30,,21,12,0,6,2,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
18,KL Rahul,JO Holder,RG Sharma,2,0,2,32,,11,7,0,1,3,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
19,KL Rahul,JO Holder,RG Sharma,0,0,0,32,,11,8,0,2,3,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
20,KL Rahul,JO Holder,RG Sharma,2,0,2,34,,13,9,0,3,3,-,0,,,,field,West Indies,1,Wankhede Stadium,2019,12,India_West Indies_2019-12-11,India,India,West Indies,True,240
