,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,0,0,0,122,0,1,0,1,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
1,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,0,0,0,122,0,2,0,2,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
2,PR Stirling,Naveen-ul-Haq,A Balbirnie,4,0,4,4,118,4,3,0,3,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
3,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,0,0,4,118,4,4,0,4,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
4,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,0,0,4,118,4,5,0,5,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
5,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,1,1,5,117,4,6,0,6,wides,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
6,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,0,0,5,117,4,7,0,7,-,1,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
7,A Balbirnie,Fazalhaq Farooqi,PR Stirling,1,0,1,6,116,1,1,0,1,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
8,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,0,0,6,116,4,8,0,2,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
9,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,0,0,6,116,4,9,0,3,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
10,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,0,0,6,116,4,10,0,4,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
11,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,0,0,6,116,4,11,0,5,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
12,PR Stirling,Fazalhaq Farooqi,A Balbirnie,0,0,0,6,116,4,12,0,6,-,2,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
13,A Balbirnie,Naveen-ul-Haq,PR Stirling,1,0,1,7,115,2,2,0,1,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
14,PR Stirling,Naveen-ul-Haq,A Balbirnie,0,0,0,7,115,4,13,1,2,-,3,bowled,PR Stirling,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
15,L Tucker,Naveen-ul-Haq,A Balbirnie,1,0,1,8,114,1,1,1,3,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
16,A Balbirnie,Naveen-ul-Haq,L Tucker,0,0,0,8,114,2,3,1,4,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
17,A Balbirnie,Naveen-ul-Haq,L Tucker,0,0,0,8,114,2,4,1,5,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
18,A Balbirnie,Naveen-ul-Haq,L Tucker,0,0,0,8,114,2,5,1,6,-,3,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
19,L Tucker,Fazalhaq Farooqi,A Balbirnie,1,0,1,9,113,2,2,1,1,-,4,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
20,A Balbirnie,Fazalhaq Farooqi,L Tucker,0,0,0,9,113,2,6,1,2,-,4,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
21,A Balbirnie,Fazalhaq Farooqi,L Tucker,4,0,4,13,109,6,7,1,3,-,4,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
22,A Balbirnie,Fazalhaq Farooqi,L Tucker,0,0,0,13,109,6,8,1,4,-,4,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
23,A Balbirnie,Fazalhaq Farooqi,L Tucker,0,0,0,13,109,6,9,1,5,-,4,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
24,A Balbirnie,Fazalhaq Farooqi,L Tucker,4,0,4,17,105,10,10,1,6,-,4,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
25,L Tucker,Rashid Khan,A Balbirnie,1,0,1,18,104,3,3,1,1,-,5,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
26,A Balbirnie,Rashid Khan,L Tucker,4,0,4,22,100,14,11,1,2,-,5,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
27,A Balbirnie,Rashid Khan,L Tucker,0,0,0,22,100,14,12,1,3,-,5,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
28,A Balbirnie,Rashid Khan,L Tucker,0,0,0,22,100,14,13,1,4,-,5,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
29,A Balbirnie,Rashid Khan,L Tucker,4,0,4,26,96,18,14,1,5,-,5,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
30,A Balbirnie,Rashid Khan,L Tucker,1,0,1,27,95,19,15,1,6,-,5,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
31,A Balbirnie,Azmatullah Omarzai,L Tucker,0,0,0,27,95,19,16,1,1,-,6,0,,,bat,Afghanistan,2,"Civil Service Cricket Club, Stormont, Belfast",2022,08,Afghanistan_Ireland_2022-08-11,Ireland,Ireland,Afghanistan
