,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,JJ Roy,B Kumar,JC Buttler,0,0,0,0,0,1,1,caught,JJ Roy,RG Sharma,1,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
1,DJ Malan,B Kumar,JC Buttler,0,0,0,0,0,1,2,0,,,1,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
2,DJ Malan,B Kumar,JC Buttler,0,0,0,0,0,2,3,0,,,1,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
3,DJ Malan,B Kumar,JC Buttler,0,0,0,0,0,3,4,0,,,1,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
4,DJ Malan,B Kumar,JC Buttler,0,0,0,0,0,4,5,0,,,1,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
5,DJ Malan,B Kumar,JC Buttler,0,0,0,0,0,5,6,0,,,1,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
6,JC Buttler,JJ Bumrah,DJ Malan,1,0,1,1,1,1,1,0,,,2,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
7,DJ Malan,JJ Bumrah,JC Buttler,1,0,1,2,1,6,2,0,,,2,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
8,JC Buttler,JJ Bumrah,DJ Malan,1,0,1,3,2,2,3,0,,,2,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
9,DJ Malan,JJ Bumrah,JC Buttler,4,0,4,7,5,7,4,0,,,2,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
10,DJ Malan,JJ Bumrah,JC Buttler,1,0,1,8,6,8,5,0,,,2,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
11,JC Buttler,JJ Bumrah,DJ Malan,0,0,0,8,2,3,6,0,,,2,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
12,DJ Malan,B Kumar,JC Buttler,1,0,1,9,7,9,1,0,,,3,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
13,JC Buttler,B Kumar,DJ Malan,2,0,2,11,4,4,2,0,,,3,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
14,JC Buttler,B Kumar,DJ Malan,0,0,0,11,4,5,3,caught,JC Buttler,RR Pant,3,"{'by': 'India', 'umpire': 'DJ Millns', 'batter': 'JC Buttler', 'decision': 'upheld'}",-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
15,LS Livingstone,B Kumar,DJ Malan,4,0,4,15,4,1,4,0,,,3,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
16,LS Livingstone,B Kumar,DJ Malan,4,0,4,19,8,2,5,0,,,3,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
17,LS Livingstone,B Kumar,DJ Malan,0,0,0,19,8,3,6,0,,,3,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
18,DJ Malan,HH Pandya,LS Livingstone,1,0,1,20,8,10,1,0,,,4,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
19,LS Livingstone,HH Pandya,DJ Malan,2,0,2,22,10,4,2,0,,,4,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
20,LS Livingstone,HH Pandya,DJ Malan,0,0,0,22,10,5,3,0,,,4,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
21,LS Livingstone,HH Pandya,DJ Malan,4,0,4,26,14,6,4,0,,,4,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
22,LS Livingstone,HH Pandya,DJ Malan,0,0,0,26,14,7,5,0,,,4,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
23,LS Livingstone,HH Pandya,DJ Malan,1,0,1,27,15,8,6,0,,,4,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
24,LS Livingstone,JJ Bumrah,DJ Malan,0,0,0,27,15,9,1,bowled,LS Livingstone,,5,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
25,HC Brook,JJ Bumrah,DJ Malan,0,0,0,27,0,1,2,0,,,5,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
26,HC Brook,JJ Bumrah,DJ Malan,0,0,0,27,0,2,3,0,,,5,"{'by': 'India', 'umpire': 'DJ Millns', 'batter': 'HC Brook', 'decision': 'struck down'}",-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
27,HC Brook,JJ Bumrah,DJ Malan,0,0,0,27,0,3,4,0,,,5,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
28,HC Brook,JJ Bumrah,DJ Malan,0,0,0,27,0,4,5,0,,,5,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
29,HC Brook,JJ Bumrah,DJ Malan,0,0,0,27,0,5,6,0,,,5,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
30,DJ Malan,HV Patel,HC Brook,0,0,0,27,8,11,1,0,,,6,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
31,DJ Malan,HV Patel,HC Brook,0,0,0,27,8,12,2,0,,,6,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
32,DJ Malan,HV Patel,HC Brook,4,0,4,31,12,13,3,0,,,6,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
33,DJ Malan,HV Patel,HC Brook,0,0,0,31,12,14,4,0,,,6,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
34,DJ Malan,HV Patel,HC Brook,1,0,1,32,13,15,5,0,,,6,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
35,HC Brook,HV Patel,DJ Malan,4,0,4,36,4,6,6,0,,,6,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
36,DJ Malan,YS Chahal,HC Brook,1,0,1,37,14,16,1,0,,,7,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
37,HC Brook,YS Chahal,DJ Malan,4,0,4,41,8,7,2,0,,,7,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
38,HC Brook,YS Chahal,DJ Malan,0,0,0,41,8,8,3,0,,,7,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
39,HC Brook,YS Chahal,DJ Malan,0,0,0,41,8,9,4,caught,HC Brook,SA Yadav,7,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
40,DJ Malan,YS Chahal,MM Ali,0,0,0,41,14,17,5,0,,,7,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
41,DJ Malan,YS Chahal,MM Ali,1,0,1,42,15,18,6,0,,,7,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
42,DJ Malan,HH Pandya,MM Ali,0,0,0,42,15,19,1,0,,,8,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
43,DJ Malan,HH Pandya,MM Ali,1,0,1,43,16,20,2,0,,,8,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
44,MM Ali,HH Pandya,DJ Malan,1,0,1,44,1,1,3,0,,,8,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
45,DJ Malan,HH Pandya,MM Ali,1,0,1,45,17,21,4,0,,,8,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
46,MM Ali,HH Pandya,DJ Malan,0,1,1,46,1,2,5,0,,,8,,legbyes,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
47,DJ Malan,HH Pandya,MM Ali,0,0,0,46,17,22,6,0,,,8,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
48,MM Ali,HV Patel,DJ Malan,0,0,0,46,1,3,1,0,,,9,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
49,MM Ali,HV Patel,DJ Malan,4,0,4,50,5,4,2,0,,,9,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
50,MM Ali,HV Patel,DJ Malan,1,0,1,51,6,5,3,0,,,9,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
51,DJ Malan,HV Patel,MM Ali,1,0,1,52,18,23,4,0,,,9,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
52,MM Ali,HV Patel,DJ Malan,0,1,1,53,6,6,5,0,,,9,,wides,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
53,MM Ali,HV Patel,DJ Malan,1,0,1,54,7,7,6,0,,,9,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
54,DJ Malan,HV Patel,MM Ali,1,0,1,55,19,24,7,0,,,9,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
55,DJ Malan,YS Chahal,MM Ali,0,0,0,55,19,25,1,caught,DJ Malan,HV Patel,10,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
56,SM Curran,YS Chahal,MM Ali,0,0,0,55,0,1,2,0,,,10,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
57,SM Curran,YS Chahal,MM Ali,1,0,1,56,1,2,3,0,,,10,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
58,MM Ali,YS Chahal,SM Curran,1,0,1,57,8,8,4,0,,,10,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
59,SM Curran,YS Chahal,MM Ali,1,0,1,58,2,3,5,0,,,10,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
60,MM Ali,YS Chahal,SM Curran,1,0,1,59,9,9,6,0,,,10,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
61,MM Ali,JJ Bumrah,SM Curran,1,0,1,60,10,10,1,0,,,11,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
62,SM Curran,JJ Bumrah,MM Ali,0,0,0,60,2,4,2,caught,SM Curran,HH Pandya,11,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
63,MM Ali,JJ Bumrah,DJ Willey,1,0,1,61,11,11,3,0,,,11,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
64,DJ Willey,JJ Bumrah,MM Ali,0,0,0,61,0,1,4,0,,,11,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
65,DJ Willey,JJ Bumrah,MM Ali,0,0,0,61,0,2,5,0,,,11,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
66,DJ Willey,JJ Bumrah,MM Ali,0,0,0,61,0,3,6,0,,,11,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
67,MM Ali,RA Jadeja,DJ Willey,1,0,1,62,12,12,1,0,,,12,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
68,DJ Willey,RA Jadeja,MM Ali,0,0,0,62,0,4,2,0,,,12,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
69,DJ Willey,RA Jadeja,MM Ali,1,0,1,63,1,5,3,0,,,12,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
70,MM Ali,RA Jadeja,DJ Willey,1,0,1,64,13,13,4,0,,,12,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
71,DJ Willey,RA Jadeja,MM Ali,1,0,1,65,2,6,5,0,,,12,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
72,MM Ali,RA Jadeja,DJ Willey,4,0,4,69,17,14,6,0,,,12,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
73,DJ Willey,HV Patel,MM Ali,0,0,0,69,2,7,1,0,,,13,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
74,DJ Willey,HV Patel,MM Ali,0,0,0,69,2,8,2,0,,,13,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
75,DJ Willey,HV Patel,MM Ali,1,0,1,70,3,9,3,0,,,13,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
76,MM Ali,HV Patel,DJ Willey,0,0,0,70,17,15,4,0,,,13,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
