,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Mohammad Naim,TG Southee,Liton Das,1,0,1,1,1,1,1,1,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
1,Liton Das,TG Southee,Mohammad Naim,0,0,0,1,0,1,2,1,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
2,Liton Das,TG Southee,Mohammad Naim,4,0,4,5,4,2,3,1,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
3,Liton Das,TG Southee,Mohammad Naim,1,0,1,6,5,3,4,1,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
4,Mohammad Naim,TG Southee,Liton Das,0,0,0,6,1,2,5,1,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
5,Mohammad Naim,TG Southee,Liton Das,0,0,0,6,1,3,6,1,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
6,Liton Das,HK Bennett,Mohammad Naim,0,1,1,7,5,4,1,2,wides,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
7,Liton Das,HK Bennett,Mohammad Naim,1,0,1,8,6,5,2,2,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
8,Mohammad Naim,HK Bennett,Liton Das,4,0,4,12,5,4,3,2,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
9,Mohammad Naim,HK Bennett,Liton Das,0,0,0,12,5,5,4,2,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
10,Mohammad Naim,HK Bennett,Liton Das,0,0,0,12,5,6,5,2,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
11,Mohammad Naim,HK Bennett,Liton Das,1,0,1,13,6,7,6,2,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
12,Liton Das,HK Bennett,Mohammad Naim,0,0,0,13,6,6,7,2,-,caught,Liton Das,GD Phillips,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
13,Soumya Sarkar,AF Milne,Mohammad Naim,4,0,4,17,4,1,1,3,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
14,Soumya Sarkar,AF Milne,Mohammad Naim,0,0,0,17,4,2,2,3,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
15,Soumya Sarkar,AF Milne,Mohammad Naim,0,0,0,17,4,3,3,3,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
16,Soumya Sarkar,AF Milne,Mohammad Naim,0,0,0,17,4,4,4,3,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
17,Soumya Sarkar,AF Milne,Mohammad Naim,1,0,1,18,5,5,5,3,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
18,Mohammad Naim,AF Milne,Soumya Sarkar,1,0,1,19,7,8,6,3,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
19,Mohammad Naim,HK Bennett,Soumya Sarkar,0,0,0,19,7,9,1,4,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
20,Mohammad Naim,HK Bennett,Soumya Sarkar,4,0,4,23,11,10,2,4,-,0,,,,field,Bangladesh,2,McLean Park,2021-03-30,Bangladesh,New Zealand
