,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,T Banton,Shaheen Shah Afridi,JM Bairstow,1,0,1,1,1,1,1,0,,,1,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
1,JM Bairstow,Shaheen Shah Afridi,T Banton,0,0,0,1,0,1,2,0,,,1,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
2,JM Bairstow,Shaheen Shah Afridi,T Banton,0,0,0,1,0,2,3,0,,,1,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
3,JM Bairstow,Shaheen Shah Afridi,T Banton,0,0,0,1,0,3,4,bowled,JM Bairstow,,1,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
4,DJ Malan,Shaheen Shah Afridi,T Banton,0,0,0,1,0,1,5,0,,,1,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
5,DJ Malan,Shaheen Shah Afridi,T Banton,2,0,2,3,2,2,6,0,,,1,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
6,T Banton,Imad Wasim,DJ Malan,0,0,0,3,1,2,1,0,,,2,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
7,T Banton,Imad Wasim,DJ Malan,0,0,0,3,1,3,2,0,,,2,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
8,T Banton,Imad Wasim,DJ Malan,4,0,4,7,5,4,3,0,,,2,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
9,T Banton,Imad Wasim,DJ Malan,4,0,4,11,9,5,4,0,,,2,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
10,T Banton,Imad Wasim,DJ Malan,0,0,0,11,9,6,5,0,,,2,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
11,T Banton,Imad Wasim,DJ Malan,4,0,4,15,13,7,6,0,,,2,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
12,DJ Malan,Shaheen Shah Afridi,T Banton,0,0,0,15,2,3,1,0,,,3,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
13,DJ Malan,Shaheen Shah Afridi,T Banton,1,0,1,16,3,4,2,0,,,3,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
14,T Banton,Shaheen Shah Afridi,DJ Malan,0,0,0,16,13,8,3,0,,,3,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
15,T Banton,Shaheen Shah Afridi,DJ Malan,0,0,0,16,13,9,4,0,,,3,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
16,T Banton,Shaheen Shah Afridi,DJ Malan,1,0,1,17,14,10,5,0,,,3,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
17,DJ Malan,Shaheen Shah Afridi,T Banton,0,0,0,17,3,5,6,0,,,3,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
