,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,DA Warner,DW Steyn,AJ Finch,4,0,4,4,,4,1,0,-,1.0,0,,,0,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Left hand Bat,Right hand Bat,Right arm Fast
1,DA Warner,DW Steyn,AJ Finch,0,0,0,4,,4,2,1,-,2.0,caught,DA Warner,T Shamsi,0,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Left hand Bat,Right hand Bat,Right arm Fast
2,AJ Finch,DW Steyn,SPD Smith,4,0,4,8,,4,1,1,-,3.0,0,,,0,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
3,AJ Finch,DW Steyn,SPD Smith,1,0,1,9,,5,2,1,-,4.0,0,,,0,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
4,SPD Smith,DW Steyn,AJ Finch,0,0,0,9,,0,1,1,-,5.0,0,,,0,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
5,SPD Smith,DW Steyn,AJ Finch,0,0,0,9,,0,2,1,-,6.0,0,,,0,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
6,AJ Finch,L Ngidi,SPD Smith,4,0,4,13,,9,3,1,-,1.0,0,,,1,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
7,AJ Finch,L Ngidi,SPD Smith,0,0,0,13,,9,4,1,-,2.0,0,,,1,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
8,AJ Finch,L Ngidi,SPD Smith,3,0,3,16,,12,5,1,-,3.0,0,,,1,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
9,SPD Smith,L Ngidi,AJ Finch,0,0,0,16,,0,3,1,-,4.0,0,,,1,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
10,SPD Smith,L Ngidi,AJ Finch,0,0,0,16,,0,4,1,-,5.0,0,,,1,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
11,SPD Smith,L Ngidi,AJ Finch,4,0,4,20,,4,5,1,-,6.0,0,,,1,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
12,AJ Finch,DW Steyn,SPD Smith,0,0,0,20,,12,6,1,-,1.0,0,,,2,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
13,AJ Finch,DW Steyn,SPD Smith,0,0,0,20,,12,7,1,-,2.0,0,,,2,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
14,AJ Finch,DW Steyn,SPD Smith,1,0,1,21,,13,8,1,-,3.0,0,,,2,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
15,SPD Smith,DW Steyn,AJ Finch,4,0,4,25,,8,6,1,-,4.0,0,,,2,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
16,SPD Smith,DW Steyn,AJ Finch,1,0,1,26,,9,7,1,-,5.0,0,,,2,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
17,AJ Finch,DW Steyn,SPD Smith,4,0,4,30,,17,9,1,-,6.0,0,,,2,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
18,SPD Smith,K Rabada,AJ Finch,6,0,6,36,,15,8,1,-,1.0,0,,,3,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
19,SPD Smith,K Rabada,AJ Finch,1,0,1,37,,16,9,1,-,2.0,0,,,3,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
20,AJ Finch,K Rabada,SPD Smith,4,0,4,41,,21,10,1,-,3.0,0,,,3,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
21,AJ Finch,K Rabada,SPD Smith,0,0,0,41,,21,11,1,-,4.0,0,,,3,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
22,AJ Finch,K Rabada,SPD Smith,0,0,0,41,,21,12,1,-,5.0,0,,,3,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
23,AJ Finch,K Rabada,SPD Smith,0,0,0,41,,21,13,1,-,6.0,0,,,3,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
24,SPD Smith,L Ngidi,AJ Finch,1,0,1,42,,17,10,1,-,1.0,0,,,4,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
25,AJ Finch,L Ngidi,SPD Smith,0,0,0,42,,21,14,1,-,2.0,0,,,4,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
26,AJ Finch,L Ngidi,SPD Smith,4,0,4,46,,25,15,1,-,3.0,0,,,4,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
27,AJ Finch,L Ngidi,SPD Smith,4,0,4,50,,29,16,1,-,4.0,0,,,4,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
28,AJ Finch,L Ngidi,SPD Smith,2,0,2,52,,31,17,1,-,5.0,0,,,4,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
29,AJ Finch,L Ngidi,SPD Smith,6,0,6,58,,37,18,1,-,6.0,0,,,4,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Fast
30,SPD Smith,AL Phehlukwayo,AJ Finch,4,0,4,62,,21,11,1,-,1.0,0,,,5,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Medium
31,SPD Smith,AL Phehlukwayo,AJ Finch,0,0,0,62,,21,12,1,-,2.0,0,,,5,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Medium
32,SPD Smith,AL Phehlukwayo,AJ Finch,0,0,0,62,,21,13,1,-,3.0,0,,,5,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Medium
33,SPD Smith,AL Phehlukwayo,AJ Finch,4,0,4,66,,25,14,1,-,4.0,0,,,5,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Medium
34,SPD Smith,AL Phehlukwayo,AJ Finch,0,0,0,66,,25,15,1,-,5.0,0,,,5,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Medium
35,SPD Smith,AL Phehlukwayo,AJ Finch,4,0,4,70,,29,16,1,-,6.0,0,,,5,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Right arm Medium
36,AJ Finch,T Shamsi,SPD Smith,1,0,1,71,,38,19,1,-,1.0,0,,,6,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Left arm Wrist spin
37,SPD Smith,T Shamsi,AJ Finch,0,1,1,72,,29,16,1,wides,1.0,0,,,6,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Left arm Wrist spin
38,SPD Smith,T Shamsi,AJ Finch,0,1,1,73,,29,16,1,wides,1.0,0,,,6,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Left arm Wrist spin
39,SPD Smith,T Shamsi,AJ Finch,1,0,1,74,,30,17,1,-,2.0,0,,,6,,field,South Africa,1,The Wanderers Stadium,2020,02,South Africa_Australia_2020-02-21,Australia,Australia,South Africa,True,196,Right hand Bat,Right hand Bat,Left arm Wrist spin
