,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,FH Allen,Shaheen Shah Afridi,DP Conway,,4,0,4,4,,4,1,0,-,1.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,,Left hand Bat,Left arm Fast
1,FH Allen,Shaheen Shah Afridi,DP Conway,"{'by': 'New Zealand', 'umpire': 'M Erasmus', 'batter': 'FH Allen', 'decision': 'upheld'}",0,0,0,4,,4,2,0,-,2.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,,Left hand Bat,Left arm Fast
2,FH Allen,Shaheen Shah Afridi,DP Conway,"{'by': 'New Zealand', 'umpire': 'M Erasmus', 'batter': 'FH Allen', 'decision': 'struck down'}",0,0,0,4,,4,3,1,-,3.0,lbw,FH Allen,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,,Left hand Bat,Left arm Fast
3,KS Williamson,Shaheen Shah Afridi,DP Conway,,1,0,1,5,,1,1,1,-,4.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,Right hand Bat,Left hand Bat,Left arm Fast
4,DP Conway,Shaheen Shah Afridi,KS Williamson,,1,0,1,6,,1,1,1,-,5.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,Left hand Bat,Right hand Bat,Left arm Fast
5,KS Williamson,Shaheen Shah Afridi,DP Conway,,0,0,0,6,,1,2,1,-,6.0,0,,,0,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,Right hand Bat,Left hand Bat,Left arm Fast
6,DP Conway,Naseem Shah,KS Williamson,,0,0,0,6,,1,2,1,-,1.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,Left hand Bat,Right hand Bat,Right arm Fast
7,DP Conway,Naseem Shah,KS Williamson,,0,0,0,6,,1,3,1,-,2.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,Left hand Bat,Right hand Bat,Right arm Fast
8,DP Conway,Naseem Shah,KS Williamson,,0,0,0,6,,1,4,1,-,3.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,Left hand Bat,Right hand Bat,Right arm Fast
9,DP Conway,Naseem Shah,KS Williamson,,4,0,4,10,,5,5,1,-,4.0,0,,,1,bat,New Zealand,1,Sydney Cricket Ground,2022,11,New Zealand_Pakistan_2022-11-09,Pakistan,New Zealand,Pakistan,False,152,Left hand Bat,Right hand Bat,Right arm Fast
