,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
29,AJ Finch,PWH de Silva,DA Warner,,6,0,6,46,24,14,6,5,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
30,DA Warner,M Theekshana,AJ Finch,,4,0,4,50,26,17,1,6,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
31,DA Warner,M Theekshana,AJ Finch,,0,0,0,50,26,18,2,6,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
32,DA Warner,M Theekshana,AJ Finch,,4,0,4,54,30,19,3,6,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
33,DA Warner,M Theekshana,AJ Finch,,2,0,2,56,32,20,4,6,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
34,DA Warner,M Theekshana,AJ Finch,,3,0,3,59,35,21,5,6,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
35,AJ Finch,M Theekshana,DA Warner,,0,0,0,59,24,15,6,6,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
36,DA Warner,PWH de Silva,AJ Finch,,1,0,1,60,36,22,1,7,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
37,AJ Finch,PWH de Silva,DA Warner,,0,0,0,60,24,16,2,7,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
38,AJ Finch,PWH de Silva,DA Warner,,6,0,6,66,30,17,3,7,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
