,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,TM Dilshan,SE Bond,ST Jayasuriya,0,0,0,0,141,0,1,0,1,1,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
1,TM Dilshan,SE Bond,ST Jayasuriya,4,0,4,4,137,4,2,0,2,1,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
2,TM Dilshan,SE Bond,ST Jayasuriya,4,0,4,8,133,8,3,0,3,1,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
3,TM Dilshan,SE Bond,ST Jayasuriya,4,0,4,12,129,12,4,0,4,1,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
4,TM Dilshan,SE Bond,ST Jayasuriya,4,0,4,16,125,16,5,0,5,1,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
5,TM Dilshan,SE Bond,ST Jayasuriya,0,0,0,16,125,16,6,0,6,1,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
6,ST Jayasuriya,KD Mills,TM Dilshan,1,0,1,17,124,1,1,0,1,2,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
7,TM Dilshan,KD Mills,ST Jayasuriya,4,0,4,21,120,20,7,0,2,2,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
8,TM Dilshan,KD Mills,ST Jayasuriya,1,0,1,22,119,21,8,0,3,2,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
9,ST Jayasuriya,KD Mills,TM Dilshan,0,0,0,22,119,1,2,0,4,2,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
10,ST Jayasuriya,KD Mills,TM Dilshan,0,0,0,22,119,1,3,1,5,2,caught,ST Jayasuriya,SE Bond,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
11,TM Dilshan,KD Mills,DPMD Jayawardene,2,0,2,24,117,23,9,1,6,2,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
12,DPMD Jayawardene,SE Bond,TM Dilshan,3,0,3,27,114,3,1,1,1,3,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
13,TM Dilshan,SE Bond,DPMD Jayawardene,0,0,0,27,114,23,10,1,2,3,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
14,TM Dilshan,SE Bond,DPMD Jayawardene,1,0,1,28,113,24,11,1,3,3,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
15,DPMD Jayawardene,SE Bond,TM Dilshan,0,0,0,28,113,3,2,1,4,3,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
16,DPMD Jayawardene,SE Bond,TM Dilshan,0,0,0,28,113,3,3,1,5,3,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
17,DPMD Jayawardene,SE Bond,TM Dilshan,0,0,0,28,113,3,4,1,6,3,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
18,TM Dilshan,KD Mills,DPMD Jayawardene,6,0,6,34,107,30,12,1,1,4,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
19,TM Dilshan,KD Mills,DPMD Jayawardene,2,0,2,36,105,32,13,1,2,4,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
20,TM Dilshan,KD Mills,DPMD Jayawardene,6,0,6,42,99,38,14,1,3,4,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
21,TM Dilshan,KD Mills,DPMD Jayawardene,1,0,1,43,98,39,15,1,4,4,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
22,DPMD Jayawardene,KD Mills,TM Dilshan,0,0,0,43,98,3,5,1,5,4,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
23,DPMD Jayawardene,KD Mills,TM Dilshan,0,0,0,43,98,3,6,1,6,4,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
24,TM Dilshan,IG Butler,DPMD Jayawardene,0,0,0,43,98,39,16,2,1,5,run out,DPMD Jayawardene,JD Ryder,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
25,KC Sangakkara,IG Butler,TM Dilshan,0,0,0,43,98,0,1,2,2,5,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
26,KC Sangakkara,IG Butler,TM Dilshan,3,0,3,46,95,3,2,2,3,5,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
27,TM Dilshan,IG Butler,KC Sangakkara,4,0,4,50,91,43,17,2,4,5,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
28,TM Dilshan,IG Butler,KC Sangakkara,4,0,4,54,87,47,18,2,5,5,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
29,TM Dilshan,IG Butler,KC Sangakkara,0,0,0,54,87,47,19,2,6,5,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
30,KC Sangakkara,JDP Oram,TM Dilshan,1,0,1,55,86,4,3,2,1,6,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
31,TM Dilshan,JDP Oram,KC Sangakkara,1,0,1,56,85,48,20,2,2,6,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
32,KC Sangakkara,JDP Oram,TM Dilshan,4,0,4,60,81,8,4,2,3,6,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
33,KC Sangakkara,JDP Oram,TM Dilshan,2,0,2,62,79,10,5,2,4,6,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
34,KC Sangakkara,JDP Oram,TM Dilshan,0,0,0,62,79,10,6,2,5,6,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
35,KC Sangakkara,JDP Oram,TM Dilshan,2,0,2,64,77,12,7,2,6,6,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
36,TM Dilshan,DL Vettori,KC Sangakkara,0,0,0,64,77,48,21,2,1,7,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
37,TM Dilshan,DL Vettori,KC Sangakkara,1,0,1,65,76,49,22,2,2,7,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
38,KC Sangakkara,DL Vettori,TM Dilshan,1,0,1,66,75,13,8,2,3,7,0,,,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-02,New Zealand,Sri Lanka,New Zealand
