,batter,bowler,non_striker,replacements,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,SP Fleming,SM Pollock,NJ Astle,"{'match': [{'in': 'JAH Marshall', 'out': 'JS Patel', 'reason': 'supersub', 'team': 'New Zealand'}]}",0,0,0,0,133,0,1,0,-,1.0,0,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
1,SP Fleming,SM Pollock,NJ Astle,,0,0,0,0,133,0,2,0,-,2.0,0,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
2,SP Fleming,SM Pollock,NJ Astle,,1,0,1,1,132,1,3,0,-,3.0,0,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
3,NJ Astle,SM Pollock,SP Fleming,,1,0,1,2,131,1,1,0,-,4.0,0,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
4,SP Fleming,SM Pollock,NJ Astle,,0,0,0,2,131,1,4,0,-,5.0,0,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
5,SP Fleming,SM Pollock,NJ Astle,,0,0,0,2,131,1,5,0,-,6.0,0,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
6,NJ Astle,M Ntini,SP Fleming,,0,0,0,2,131,1,2,0,-,1.0,1,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
7,NJ Astle,M Ntini,SP Fleming,,1,0,1,3,130,2,3,0,-,2.0,1,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
8,SP Fleming,M Ntini,NJ Astle,,1,0,1,4,129,2,6,0,-,3.0,1,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
9,NJ Astle,M Ntini,SP Fleming,,1,0,1,5,128,3,4,0,-,4.0,1,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
10,SP Fleming,M Ntini,NJ Astle,,4,0,4,9,124,6,7,0,-,5.0,1,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
11,SP Fleming,M Ntini,NJ Astle,,4,0,4,13,120,10,8,0,-,6.0,1,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
12,NJ Astle,SM Pollock,SP Fleming,,0,1,1,14,119,3,5,0,wides,0.0,2,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
13,NJ Astle,SM Pollock,SP Fleming,,1,0,1,15,118,4,6,0,-,1.0,2,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
14,SP Fleming,SM Pollock,NJ Astle,,0,0,0,15,118,10,9,0,-,2.0,2,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
15,SP Fleming,SM Pollock,NJ Astle,,0,0,0,15,118,10,10,0,-,3.0,2,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
16,SP Fleming,SM Pollock,NJ Astle,,0,0,0,15,118,10,11,0,-,4.0,2,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
17,SP Fleming,SM Pollock,NJ Astle,,0,0,0,15,118,10,12,0,-,5.0,2,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
18,SP Fleming,SM Pollock,NJ Astle,,4,0,4,19,114,14,13,0,-,6.0,2,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
19,NJ Astle,M Ntini,SP Fleming,,1,0,1,20,113,5,7,0,-,1.0,3,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
20,SP Fleming,M Ntini,NJ Astle,,0,0,0,20,113,14,14,0,-,2.0,3,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
21,SP Fleming,M Ntini,NJ Astle,,0,0,0,20,113,14,15,0,-,3.0,3,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
22,SP Fleming,M Ntini,NJ Astle,,4,0,4,24,109,18,16,0,-,4.0,3,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
23,SP Fleming,M Ntini,NJ Astle,,4,0,4,28,105,22,17,0,-,5.0,3,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
24,SP Fleming,M Ntini,NJ Astle,,1,0,1,29,104,23,18,0,-,6.0,3,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
25,SP Fleming,SM Pollock,NJ Astle,,1,0,1,30,103,24,19,0,-,1.0,4,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
