,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,AD Hales,P Kumar,C Kieswetter,,0,0,0,0,0,1,1,-,0,,,1,bat,India,2,Old Trafford,2011-08-31,England,India
1,AD Hales,P Kumar,C Kieswetter,,0,0,0,0,0,2,2,-,lbw,AD Hales,,1,bat,India,2,Old Trafford,2011-08-31,England,India
2,KP Pietersen,P Kumar,C Kieswetter,,0,0,0,0,0,1,3,-,0,,,1,bat,India,2,Old Trafford,2011-08-31,England,India
3,KP Pietersen,P Kumar,C Kieswetter,,0,0,0,0,0,2,4,-,0,,,1,bat,India,2,Old Trafford,2011-08-31,England,India
4,KP Pietersen,P Kumar,C Kieswetter,{'legbyes': 2},0,2,2,2,0,3,5,legbyes,0,,,1,bat,India,2,Old Trafford,2011-08-31,England,India
5,KP Pietersen,P Kumar,C Kieswetter,,1,0,1,3,1,4,6,-,0,,,1,bat,India,2,Old Trafford,2011-08-31,England,India
6,KP Pietersen,R Vinay Kumar,C Kieswetter,,2,0,2,5,3,5,1,-,0,,,2,bat,India,2,Old Trafford,2011-08-31,England,India
7,KP Pietersen,R Vinay Kumar,C Kieswetter,,2,0,2,7,5,6,2,-,0,,,2,bat,India,2,Old Trafford,2011-08-31,England,India
8,KP Pietersen,R Vinay Kumar,C Kieswetter,,1,0,1,8,6,7,3,-,0,,,2,bat,India,2,Old Trafford,2011-08-31,England,India
9,C Kieswetter,R Vinay Kumar,KP Pietersen,,0,0,0,8,0,1,4,-,0,,,2,bat,India,2,Old Trafford,2011-08-31,England,India
10,C Kieswetter,R Vinay Kumar,KP Pietersen,,1,0,1,9,1,2,5,-,0,,,2,bat,India,2,Old Trafford,2011-08-31,England,India
11,KP Pietersen,R Vinay Kumar,C Kieswetter,{'legbyes': 1},0,1,1,10,6,8,6,legbyes,0,,,2,bat,India,2,Old Trafford,2011-08-31,England,India
12,KP Pietersen,P Kumar,C Kieswetter,,4,0,4,14,10,9,1,-,0,,,3,bat,India,2,Old Trafford,2011-08-31,England,India
13,KP Pietersen,P Kumar,C Kieswetter,{'legbyes': 1},0,1,1,15,10,10,2,legbyes,0,,,3,bat,India,2,Old Trafford,2011-08-31,England,India
14,C Kieswetter,P Kumar,KP Pietersen,,1,0,1,16,2,3,3,-,0,,,3,bat,India,2,Old Trafford,2011-08-31,England,India
15,KP Pietersen,P Kumar,C Kieswetter,,0,0,0,16,10,11,4,-,0,,,3,bat,India,2,Old Trafford,2011-08-31,England,India
16,KP Pietersen,P Kumar,C Kieswetter,,1,0,1,17,11,12,5,-,0,,,3,bat,India,2,Old Trafford,2011-08-31,England,India
17,C Kieswetter,P Kumar,KP Pietersen,,0,0,0,17,2,4,6,-,0,,,3,bat,India,2,Old Trafford,2011-08-31,England,India
18,KP Pietersen,MM Patel,C Kieswetter,,4,0,4,21,15,13,1,-,0,,,4,bat,India,2,Old Trafford,2011-08-31,England,India
19,KP Pietersen,MM Patel,C Kieswetter,,1,0,1,22,16,14,2,-,0,,,4,bat,India,2,Old Trafford,2011-08-31,England,India
20,C Kieswetter,MM Patel,KP Pietersen,,6,0,6,28,8,5,3,-,0,,,4,bat,India,2,Old Trafford,2011-08-31,England,India
