,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Ahmed Shehzad,K Santokie,Kamran Akmal,0,0,0,0,166,0,1,1,1,-,lbw,Ahmed Shehzad,,1,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
1,Mohammad Hafeez,K Santokie,Kamran Akmal,0,1,1,1,165,0,1,1,2,wides,0,,,1,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
2,Mohammad Hafeez,K Santokie,Kamran Akmal,0,0,0,1,165,0,2,1,3,-,0,,,1,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
3,Mohammad Hafeez,K Santokie,Kamran Akmal,0,0,0,1,165,0,3,1,4,-,0,,,1,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
4,Mohammad Hafeez,K Santokie,Kamran Akmal,0,0,0,1,165,0,4,1,5,-,0,,,1,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
5,Mohammad Hafeez,K Santokie,Kamran Akmal,0,0,0,1,165,0,5,1,6,-,0,,,1,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
6,Mohammad Hafeez,K Santokie,Kamran Akmal,0,0,0,1,165,0,6,1,7,-,0,,,1,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
7,Kamran Akmal,S Badree,Mohammad Hafeez,0,0,0,1,165,0,1,1,1,-,0,,,2,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
8,Kamran Akmal,S Badree,Mohammad Hafeez,0,0,0,1,165,0,2,1,2,-,0,,,2,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
9,Kamran Akmal,S Badree,Mohammad Hafeez,0,0,0,1,165,0,3,2,3,-,caught,Kamran Akmal,DJ Bravo,2,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
10,Umar Akmal,S Badree,Mohammad Hafeez,1,0,1,2,164,1,1,2,4,-,0,,,2,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
11,Mohammad Hafeez,S Badree,Umar Akmal,0,0,0,2,164,0,7,2,5,-,0,,,2,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
12,Mohammad Hafeez,S Badree,Umar Akmal,1,0,1,3,163,1,8,2,6,-,0,,,2,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
13,Mohammad Hafeez,K Santokie,Umar Akmal,1,0,1,4,162,2,9,2,1,-,0,,,3,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
14,Mohammad Hafeez,K Santokie,Umar Akmal,0,1,1,5,161,2,10,2,2,wides,0,,,3,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
15,Mohammad Hafeez,K Santokie,Umar Akmal,0,0,0,5,161,2,11,2,3,-,0,,,3,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
16,Mohammad Hafeez,K Santokie,Umar Akmal,2,0,2,7,159,4,12,2,4,-,0,,,3,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
17,Mohammad Hafeez,K Santokie,Umar Akmal,0,0,0,7,159,4,13,2,5,-,0,,,3,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
18,Mohammad Hafeez,K Santokie,Umar Akmal,1,0,1,8,158,5,14,2,6,-,0,,,3,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
19,Umar Akmal,K Santokie,Mohammad Hafeez,0,0,0,8,158,1,2,2,7,-,0,,,3,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
20,Mohammad Hafeez,S Badree,Umar Akmal,0,0,0,8,158,5,15,2,1,-,0,,,4,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
21,Mohammad Hafeez,S Badree,Umar Akmal,0,0,0,8,158,5,16,2,2,-,0,,,4,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
22,Mohammad Hafeez,S Badree,Umar Akmal,1,0,1,9,157,6,17,2,3,-,0,,,4,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
23,Umar Akmal,S Badree,Mohammad Hafeez,0,0,0,9,157,1,3,2,4,-,0,,,4,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
24,Umar Akmal,S Badree,Mohammad Hafeez,0,0,0,9,157,1,4,2,5,-,0,,,4,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
25,Umar Akmal,S Badree,Mohammad Hafeez,0,0,0,9,157,1,5,3,6,-,stumped,Umar Akmal,D Ramdin,4,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
26,Mohammad Hafeez,MN Samuels,Shoaib Malik,0,0,0,9,157,6,18,3,1,-,0,,,5,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
27,Mohammad Hafeez,MN Samuels,Shoaib Malik,1,0,1,10,156,7,19,3,2,-,0,,,5,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
28,Shoaib Malik,MN Samuels,Mohammad Hafeez,0,0,0,10,156,0,1,3,3,-,0,,,5,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
29,Shoaib Malik,MN Samuels,Mohammad Hafeez,0,0,0,10,156,0,2,3,4,-,0,,,5,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
30,Shoaib Malik,MN Samuels,Mohammad Hafeez,0,0,0,10,156,0,3,3,5,-,0,,,5,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
31,Shoaib Malik,MN Samuels,Mohammad Hafeez,1,0,1,11,155,1,4,3,6,-,0,,,5,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
32,Shoaib Malik,S Badree,Mohammad Hafeez,1,0,1,12,154,2,5,3,1,-,0,,,6,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
33,Mohammad Hafeez,S Badree,Shoaib Malik,1,0,1,13,153,8,20,3,2,-,0,,,6,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
34,Shoaib Malik,S Badree,Mohammad Hafeez,0,0,0,13,153,2,6,4,3,-,stumped,Shoaib Malik,D Ramdin,6,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
35,Sohaib Maqsood,S Badree,Mohammad Hafeez,0,0,0,13,153,0,1,4,4,-,0,,,6,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
36,Sohaib Maqsood,S Badree,Mohammad Hafeez,0,0,0,13,153,0,2,4,5,-,0,,,6,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
37,Sohaib Maqsood,S Badree,Mohammad Hafeez,0,0,0,13,153,0,3,4,6,-,0,,,6,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
38,Mohammad Hafeez,MN Samuels,Sohaib Maqsood,0,0,0,13,153,8,21,4,1,-,0,,,7,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
39,Mohammad Hafeez,MN Samuels,Sohaib Maqsood,1,0,1,14,152,9,22,4,2,-,0,,,7,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
40,Sohaib Maqsood,MN Samuels,Mohammad Hafeez,0,0,0,14,152,0,4,4,3,-,0,,,7,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
41,Sohaib Maqsood,MN Samuels,Mohammad Hafeez,6,0,6,20,146,6,5,4,4,-,0,,,7,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
42,Sohaib Maqsood,MN Samuels,Mohammad Hafeez,1,0,1,21,145,7,6,4,5,-,0,,,7,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
43,Mohammad Hafeez,MN Samuels,Sohaib Maqsood,2,0,2,23,143,11,23,4,6,-,0,,,7,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
44,Sohaib Maqsood,S Badree,Mohammad Hafeez,1,0,1,24,142,8,7,4,1,-,0,,,8,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
45,Mohammad Hafeez,S Badree,Sohaib Maqsood,1,0,1,25,141,12,24,4,2,-,0,,,8,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
46,Sohaib Maqsood,S Badree,Mohammad Hafeez,1,0,1,26,140,9,8,4,3,-,0,,,8,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
47,Mohammad Hafeez,S Badree,Sohaib Maqsood,0,0,0,26,140,12,25,4,4,-,0,,,8,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
48,Mohammad Hafeez,S Badree,Sohaib Maqsood,1,0,1,27,139,13,26,4,5,-,0,,,8,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
49,Sohaib Maqsood,S Badree,Mohammad Hafeez,1,0,1,28,138,10,9,4,6,-,0,,,8,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
50,Sohaib Maqsood,AD Russell,Mohammad Hafeez,1,0,1,29,137,11,10,4,1,-,0,,,9,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
51,Mohammad Hafeez,AD Russell,Sohaib Maqsood,0,0,0,29,137,13,27,4,2,-,0,,,9,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
52,Mohammad Hafeez,AD Russell,Sohaib Maqsood,1,0,1,30,136,14,28,4,3,-,0,,,9,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
53,Sohaib Maqsood,AD Russell,Mohammad Hafeez,0,0,0,30,136,11,11,4,4,-,0,,,9,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
54,Sohaib Maqsood,AD Russell,Mohammad Hafeez,1,0,1,31,135,12,12,4,5,-,0,,,9,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
55,Mohammad Hafeez,AD Russell,Sohaib Maqsood,1,0,1,32,134,15,29,4,6,-,0,,,9,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
56,Mohammad Hafeez,SP Narine,Sohaib Maqsood,1,0,1,33,133,16,30,4,1,-,0,,,10,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
57,Sohaib Maqsood,SP Narine,Mohammad Hafeez,0,0,0,33,133,12,13,4,2,-,0,,,10,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
58,Sohaib Maqsood,SP Narine,Mohammad Hafeez,0,0,0,33,133,12,14,4,3,-,0,,,10,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
59,Sohaib Maqsood,SP Narine,Mohammad Hafeez,0,0,0,33,133,12,15,4,4,-,0,,,10,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
60,Sohaib Maqsood,SP Narine,Mohammad Hafeez,1,0,1,34,132,13,16,4,5,-,0,,,10,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
61,Mohammad Hafeez,SP Narine,Sohaib Maqsood,1,0,1,35,131,17,31,4,6,-,0,,,10,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
62,Mohammad Hafeez,AD Russell,Sohaib Maqsood,0,0,0,35,131,17,32,4,1,-,0,,,11,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
63,Mohammad Hafeez,AD Russell,Sohaib Maqsood,2,0,2,37,129,19,33,4,2,-,0,,,11,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
64,Mohammad Hafeez,AD Russell,Sohaib Maqsood,0,0,0,37,129,19,34,5,3,-,caught,Mohammad Hafeez,CH Gayle,11,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
65,Sohaib Maqsood,AD Russell,Shahid Afridi,0,0,0,37,129,13,17,5,4,-,0,,,11,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
66,Sohaib Maqsood,AD Russell,Shahid Afridi,4,0,4,41,125,17,18,5,5,-,0,,,11,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
67,Sohaib Maqsood,AD Russell,Shahid Afridi,1,0,1,42,124,18,19,5,6,-,0,,,11,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
68,Sohaib Maqsood,SP Narine,Shahid Afridi,0,0,0,42,124,18,20,5,1,-,0,,,12,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
69,Sohaib Maqsood,SP Narine,Shahid Afridi,0,0,0,42,124,18,21,5,2,-,0,,,12,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
70,Sohaib Maqsood,SP Narine,Shahid Afridi,0,0,0,42,124,18,22,6,3,-,stumped,Sohaib Maqsood,D Ramdin,12,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
71,Sohail Tanvir,SP Narine,Shahid Afridi,0,0,0,42,124,0,1,6,4,-,0,,,12,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
72,Sohail Tanvir,SP Narine,Shahid Afridi,6,0,6,48,118,6,2,6,5,-,0,,,12,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
73,Sohail Tanvir,SP Narine,Shahid Afridi,0,0,0,48,118,6,3,6,6,-,0,,,12,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
74,Shahid Afridi,MN Samuels,Sohail Tanvir,1,0,1,49,117,1,1,6,1,-,0,,,13,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
75,Sohail Tanvir,MN Samuels,Shahid Afridi,0,0,0,49,117,6,4,6,2,-,0,,,13,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
76,Sohail Tanvir,MN Samuels,Shahid Afridi,1,0,1,50,116,7,5,6,3,-,0,,,13,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
77,Shahid Afridi,MN Samuels,Sohail Tanvir,6,0,6,56,110,7,2,6,4,-,0,,,13,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
78,Shahid Afridi,MN Samuels,Sohail Tanvir,0,0,0,56,110,7,3,6,5,-,0,,,13,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
79,Shahid Afridi,MN Samuels,Sohail Tanvir,1,0,1,57,109,8,4,6,6,-,0,,,13,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
80,Shahid Afridi,SP Narine,Sohail Tanvir,1,0,1,58,108,9,5,6,1,-,0,,,14,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
81,Sohail Tanvir,SP Narine,Shahid Afridi,1,0,1,59,107,8,6,6,2,-,0,,,14,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
82,Shahid Afridi,SP Narine,Sohail Tanvir,1,0,1,60,106,10,6,6,3,-,0,,,14,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
83,Sohail Tanvir,SP Narine,Shahid Afridi,0,0,0,60,106,8,7,6,4,-,0,,,14,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
84,Sohail Tanvir,SP Narine,Shahid Afridi,1,0,1,61,105,9,8,6,5,-,0,,,14,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
85,Shahid Afridi,SP Narine,Sohail Tanvir,2,0,2,63,103,12,7,6,6,-,0,,,14,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
86,Sohail Tanvir,DR Smith,Shahid Afridi,4,0,4,67,99,13,9,6,1,-,0,,,15,bat,West Indies,2,Shere Bangla National Stadium,2014,04,Pakistan_West Indies_2014-04-01,West Indies,Pakistan,West Indies,82
