,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,C Munro,SL Malinga,TL Seifert,0,0,0,0,125,0,1,0,1,-,0,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
1,C Munro,SL Malinga,TL Seifert,1,0,1,1,124,1,2,0,2,-,0,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
2,TL Seifert,SL Malinga,C Munro,0,0,0,1,124,0,1,0,3,-,0,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
3,TL Seifert,SL Malinga,C Munro,1,0,1,2,123,1,2,0,4,-,0,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
4,C Munro,SL Malinga,TL Seifert,0,0,0,2,123,1,3,0,5,-,0,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
5,C Munro,SL Malinga,TL Seifert,0,1,1,3,122,1,4,0,6,legbyes,0,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
6,C Munro,A Dananjaya,TL Seifert,0,0,0,3,122,1,5,0,1,-,1,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
7,C Munro,A Dananjaya,TL Seifert,6,0,6,9,116,7,6,0,2,-,1,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
8,C Munro,A Dananjaya,TL Seifert,0,1,1,10,115,7,7,0,3,wides,1,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
9,C Munro,A Dananjaya,TL Seifert,0,0,0,10,115,7,8,0,4,-,1,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
10,C Munro,A Dananjaya,TL Seifert,4,0,4,14,111,11,9,0,5,-,1,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
11,C Munro,A Dananjaya,TL Seifert,1,0,1,15,110,12,10,0,6,-,1,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
12,TL Seifert,A Dananjaya,C Munro,0,0,0,15,110,1,3,0,7,-,1,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
13,C Munro,SL Malinga,TL Seifert,0,0,0,15,110,12,11,0,1,-,2,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
14,C Munro,SL Malinga,TL Seifert,0,0,0,15,110,12,12,0,2,-,2,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
15,C Munro,SL Malinga,TL Seifert,0,0,0,15,110,12,13,1,3,-,2,,bowled,C Munro,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
16,HD Rutherford,SL Malinga,TL Seifert,0,0,0,15,110,0,1,2,4,-,2,"{'by': 'Sri Lanka', 'umpire': 'RMPJ Rambukwella', 'batter': 'HD Rutherford', 'decision': 'upheld'}",lbw,HD Rutherford,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
17,C de Grandhomme,SL Malinga,TL Seifert,0,0,0,15,110,0,1,3,5,-,2,,bowled,C de Grandhomme,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
18,LRPL Taylor,SL Malinga,TL Seifert,0,0,0,15,110,0,1,4,6,-,2,,lbw,LRPL Taylor,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
19,TL Seifert,A Dananjaya,DJ Mitchell,0,0,0,15,110,1,4,4,1,-,3,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
20,TL Seifert,A Dananjaya,DJ Mitchell,0,0,0,15,110,1,5,4,2,-,3,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
21,TL Seifert,A Dananjaya,DJ Mitchell,2,0,2,17,108,3,6,4,3,-,3,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
22,TL Seifert,A Dananjaya,DJ Mitchell,0,0,0,17,108,3,7,4,4,-,3,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
23,TL Seifert,A Dananjaya,DJ Mitchell,4,0,4,21,104,7,8,4,5,-,3,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
24,TL Seifert,A Dananjaya,DJ Mitchell,1,0,1,22,103,8,9,4,6,-,3,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
25,TL Seifert,SL Malinga,DJ Mitchell,0,0,0,22,103,8,10,4,1,-,4,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
26,TL Seifert,SL Malinga,DJ Mitchell,0,0,0,22,103,8,11,4,2,-,4,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
27,TL Seifert,SL Malinga,DJ Mitchell,0,1,1,23,102,8,12,4,3,wides,4,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
28,TL Seifert,SL Malinga,DJ Mitchell,0,0,0,23,102,8,13,4,4,-,4,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
29,TL Seifert,SL Malinga,DJ Mitchell,0,0,0,23,102,8,14,5,5,-,4,,caught,TL Seifert,MD Gunathilaka,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
30,MJ Santner,SL Malinga,DJ Mitchell,2,0,2,25,100,2,1,5,6,-,4,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
31,MJ Santner,SL Malinga,DJ Mitchell,0,0,0,25,100,2,2,5,7,-,4,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
32,DJ Mitchell,A Dananjaya,MJ Santner,1,0,1,26,99,1,1,5,1,-,5,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
33,MJ Santner,A Dananjaya,DJ Mitchell,4,0,4,30,95,6,3,5,2,-,5,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
34,MJ Santner,A Dananjaya,DJ Mitchell,0,0,0,30,95,6,4,5,3,-,5,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
35,MJ Santner,A Dananjaya,DJ Mitchell,0,0,0,30,95,6,5,5,4,-,5,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
36,MJ Santner,A Dananjaya,DJ Mitchell,1,0,1,31,94,7,6,5,5,-,5,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
37,DJ Mitchell,A Dananjaya,MJ Santner,0,0,0,31,94,1,2,5,6,-,5,"{'by': 'Sri Lanka', 'umpire': 'LE Hannibal', 'batter': 'DJ Mitchell', 'decision': 'struck down'}",0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
38,MJ Santner,PADLR Sandakan,DJ Mitchell,1,0,1,32,93,8,7,5,1,-,6,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
39,DJ Mitchell,PADLR Sandakan,MJ Santner,1,0,1,33,92,2,3,5,2,-,6,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
40,MJ Santner,PADLR Sandakan,DJ Mitchell,1,0,1,34,91,9,8,5,3,-,6,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
41,DJ Mitchell,PADLR Sandakan,MJ Santner,1,0,1,35,90,3,4,5,4,-,6,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
42,MJ Santner,PADLR Sandakan,DJ Mitchell,0,1,1,36,89,9,9,5,5,wides,6,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
43,MJ Santner,PADLR Sandakan,DJ Mitchell,0,0,0,36,89,9,10,5,6,-,6,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
44,MJ Santner,PADLR Sandakan,DJ Mitchell,2,0,2,38,87,11,11,5,7,-,6,,0,,,bat,Sri Lanka,2,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-06,Sri Lanka,New Zealand,Sri Lanka,88
