,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,P Nissanka,B Kumar,BKG Mendis,0,0,0,0,0,1,1,1,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
1,P Nissanka,B Kumar,BKG Mendis,0,0,0,0,0,2,2,1,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
2,P Nissanka,B Kumar,BKG Mendis,0,0,0,0,0,3,3,1,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
3,P Nissanka,B Kumar,BKG Mendis,0,0,0,0,0,4,4,1,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
4,P Nissanka,B Kumar,BKG Mendis,0,0,0,0,0,5,5,1,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
5,P Nissanka,B Kumar,BKG Mendis,1,0,1,1,1,6,6,1,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
6,P Nissanka,Arshdeep Singh,BKG Mendis,2,0,2,3,3,7,1,2,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
7,P Nissanka,Arshdeep Singh,BKG Mendis,1,0,1,4,4,8,2,2,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
8,BKG Mendis,Arshdeep Singh,P Nissanka,0,0,0,4,0,1,3,2,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
9,BKG Mendis,Arshdeep Singh,P Nissanka,0,0,0,4,0,2,4,2,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
10,BKG Mendis,Arshdeep Singh,P Nissanka,1,0,1,5,1,3,5,2,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
