,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,JC Buttler,M Theekshana,AD Hales,0,0,0,0,141,0,1,0,1,1,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
1,JC Buttler,M Theekshana,AD Hales,0,0,0,0,141,0,2,0,2,1,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
2,JC Buttler,M Theekshana,AD Hales,1,0,1,1,140,1,3,0,3,1,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
3,AD Hales,M Theekshana,JC Buttler,2,0,2,3,138,2,1,0,4,1,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
4,AD Hales,M Theekshana,JC Buttler,0,0,0,3,138,2,2,0,5,1,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
5,AD Hales,M Theekshana,JC Buttler,0,0,0,3,138,2,3,0,6,1,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
6,JC Buttler,CAK Rajitha,AD Hales,0,0,0,3,138,1,4,0,1,2,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
7,JC Buttler,CAK Rajitha,AD Hales,1,0,1,4,137,2,5,0,2,2,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
8,AD Hales,CAK Rajitha,JC Buttler,2,0,2,6,135,4,4,0,3,2,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
9,AD Hales,CAK Rajitha,JC Buttler,4,0,4,10,131,8,5,0,4,2,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
10,AD Hales,CAK Rajitha,JC Buttler,0,1,1,11,130,8,6,0,5,2,wides,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
11,AD Hales,CAK Rajitha,JC Buttler,4,0,4,15,126,12,7,0,6,2,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
12,AD Hales,CAK Rajitha,JC Buttler,0,0,0,15,126,12,8,0,7,2,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
13,JC Buttler,M Theekshana,AD Hales,0,0,0,15,126,2,6,0,1,3,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
14,JC Buttler,M Theekshana,AD Hales,2,0,2,17,124,4,7,0,2,3,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
15,JC Buttler,M Theekshana,AD Hales,4,0,4,21,120,8,8,0,3,3,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
16,JC Buttler,M Theekshana,AD Hales,2,0,2,23,118,10,9,0,4,3,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
17,JC Buttler,M Theekshana,AD Hales,1,0,1,24,117,11,10,0,5,3,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
18,AD Hales,M Theekshana,JC Buttler,0,0,0,24,117,12,9,0,6,3,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
19,JC Buttler,CBRLS Kumara,AD Hales,1,0,1,25,116,12,11,0,1,4,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
20,AD Hales,CBRLS Kumara,JC Buttler,0,0,0,25,116,12,10,0,2,4,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
21,AD Hales,CBRLS Kumara,JC Buttler,4,0,4,29,112,16,11,0,3,4,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
22,AD Hales,CBRLS Kumara,JC Buttler,4,1,5,34,107,20,12,0,4,4,noballs,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
23,AD Hales,CBRLS Kumara,JC Buttler,1,0,1,35,106,21,13,0,5,4,-,,0,,,bat,Sri Lanka,2,Sydney Cricket Ground,2022,11,Sri Lanka_England_2022-11-05,England,England,Sri Lanka
