,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,T Bavuma,FH Edwards,Q de Kock,0,0,0,0,,0,1,0,1,-,0,,,0,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
1,T Bavuma,FH Edwards,Q de Kock,0,0,0,0,,0,2,0,2,-,0,,,0,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
2,T Bavuma,FH Edwards,Q de Kock,0,0,0,0,,0,3,1,3,-,caught,T Bavuma,CH Gayle,0,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
3,AK Markram,FH Edwards,Q de Kock,0,1,1,1,,0,1,1,4,wides,0,,,0,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
4,AK Markram,FH Edwards,Q de Kock,0,0,0,1,,0,2,1,5,-,0,,,0,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
5,AK Markram,FH Edwards,Q de Kock,2,0,2,3,,2,3,1,6,-,0,,,0,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
6,AK Markram,FH Edwards,Q de Kock,0,0,0,3,,2,4,1,7,-,0,,,0,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
7,Q de Kock,CH Gayle,AK Markram,2,0,2,5,,2,1,1,1,-,0,,,1,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
8,Q de Kock,CH Gayle,AK Markram,0,0,0,5,,2,2,1,2,-,0,,,1,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
9,Q de Kock,CH Gayle,AK Markram,1,0,1,6,,3,3,1,3,-,0,,,1,,bat,South Africa,1,"National Cricket Stadium, St George's, Grenada",2021,07,South Africa_West Indies_2021-07-03,South Africa,South Africa,West Indies,True,168
