,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,RD Gaikwad,K Rabada,Ishan Kishan,0,0,0,0,,0,1,0,1,-,0,,,0,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
1,RD Gaikwad,K Rabada,Ishan Kishan,0,0,0,0,,0,2,0,2,-,0,,,0,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
2,RD Gaikwad,K Rabada,Ishan Kishan,1,0,1,1,,1,3,0,3,-,0,,,0,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
3,Ishan Kishan,K Rabada,RD Gaikwad,1,0,1,2,,1,1,0,4,-,0,,,0,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
4,RD Gaikwad,K Rabada,Ishan Kishan,0,1,1,3,,1,4,0,5,wides,0,,,0,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
5,RD Gaikwad,K Rabada,Ishan Kishan,0,0,0,3,,1,5,1,6,-,caught,RD Gaikwad,KA Maharaj,0,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
6,SS Iyer,K Rabada,Ishan Kishan,0,0,0,3,,0,1,1,7,-,0,,,0,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
7,Ishan Kishan,WD Parnell,SS Iyer,1,0,1,4,,2,2,1,1,-,0,,,1,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
8,SS Iyer,WD Parnell,Ishan Kishan,0,0,0,4,,0,2,1,2,-,0,,,1,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
9,SS Iyer,WD Parnell,Ishan Kishan,4,0,4,8,,4,3,1,3,-,0,,,1,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
10,SS Iyer,WD Parnell,Ishan Kishan,3,0,3,11,,7,4,1,4,-,0,,,1,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
11,Ishan Kishan,WD Parnell,SS Iyer,0,0,0,11,,2,3,1,5,-,0,,,1,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
12,Ishan Kishan,WD Parnell,SS Iyer,0,0,0,11,,2,4,1,6,-,0,,,1,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
13,SS Iyer,K Rabada,Ishan Kishan,0,0,0,11,,7,5,1,1,-,0,,,2,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
14,SS Iyer,K Rabada,Ishan Kishan,0,0,0,11,,7,6,1,2,-,0,,,2,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
15,SS Iyer,K Rabada,Ishan Kishan,0,0,0,11,,7,7,1,3,-,0,,,2,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
16,SS Iyer,K Rabada,Ishan Kishan,0,0,0,11,,7,8,1,4,-,0,,,2,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
17,SS Iyer,K Rabada,Ishan Kishan,1,0,1,12,,8,9,1,5,-,0,,,2,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
18,Ishan Kishan,K Rabada,SS Iyer,0,0,0,12,,2,5,1,6,-,0,,,2,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
19,SS Iyer,A Nortje,Ishan Kishan,1,0,1,13,,9,10,1,1,-,0,,,3,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
20,Ishan Kishan,A Nortje,SS Iyer,6,0,6,19,,8,6,1,2,-,0,,,3,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
21,Ishan Kishan,A Nortje,SS Iyer,0,0,0,19,,8,7,1,3,-,0,,,3,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
