,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,JM Vince,Imad Wasim,BM Duckett,1,0,1,1,1,1,1,1,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
1,BM Duckett,Imad Wasim,JM Vince,1,0,1,2,1,1,2,1,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
2,JM Vince,Imad Wasim,BM Duckett,1,0,1,3,2,2,3,1,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
3,BM Duckett,Imad Wasim,JM Vince,0,0,0,3,1,2,4,1,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
4,BM Duckett,Imad Wasim,JM Vince,1,0,1,4,2,3,5,1,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
5,JM Vince,Imad Wasim,BM Duckett,3,0,3,7,5,3,6,1,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
6,JM Vince,Faheem Ashraf,BM Duckett,0,0,0,7,5,4,1,2,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
7,JM Vince,Faheem Ashraf,BM Duckett,0,0,0,7,5,5,2,2,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
8,JM Vince,Faheem Ashraf,BM Duckett,6,0,6,13,11,6,3,2,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
9,JM Vince,Faheem Ashraf,BM Duckett,0,0,0,13,11,7,4,2,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
10,JM Vince,Faheem Ashraf,BM Duckett,1,0,1,14,12,8,5,2,,-,0,,,,bat,Pakistan,2,Sophia Gardens,2019-05-05,England,Pakistan
