,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,DA Warner,R Ashwin,MS Wade,0,0,0,0,,0,1,0,-,1.0,0,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
1,DA Warner,R Ashwin,MS Wade,0,0,0,0,,0,2,0,-,2.0,0,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
2,DA Warner,R Ashwin,MS Wade,0,0,0,0,,0,3,0,-,3.0,0,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
3,DA Warner,R Ashwin,MS Wade,1,0,1,1,,1,4,0,-,4.0,0,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
4,MS Wade,R Ashwin,DA Warner,0,0,0,1,,0,1,0,-,5.0,0,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
5,MS Wade,R Ashwin,DA Warner,1,0,1,2,,1,2,0,-,6.0,0,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
6,MS Wade,P Kumar,DA Warner,1,0,1,3,,2,3,0,-,1.0,1,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Medium
7,DA Warner,P Kumar,MS Wade,0,0,0,3,,1,5,0,-,2.0,1,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Medium
8,DA Warner,P Kumar,MS Wade,1,0,1,4,,2,6,0,-,3.0,1,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Medium
9,MS Wade,P Kumar,DA Warner,4,0,4,8,,6,4,0,-,4.0,1,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Medium
10,MS Wade,P Kumar,DA Warner,0,0,0,8,,6,5,0,-,5.0,1,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Medium
11,MS Wade,P Kumar,DA Warner,1,0,1,9,,7,6,0,-,6.0,1,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Medium
12,MS Wade,R Ashwin,DA Warner,1,0,1,10,,8,7,0,-,1.0,2,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
13,DA Warner,R Ashwin,MS Wade,0,0,0,10,,2,7,0,-,2.0,2,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
14,DA Warner,R Ashwin,MS Wade,6,0,6,16,,8,8,0,-,3.0,2,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
15,DA Warner,R Ashwin,MS Wade,4,0,4,20,,12,9,0,-,4.0,2,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
16,DA Warner,R Ashwin,MS Wade,6,0,6,26,,18,10,0,-,5.0,2,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
17,DA Warner,R Ashwin,MS Wade,2,0,2,28,,20,11,0,-,6.0,2,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Offbreak
18,MS Wade,R Vinay Kumar,DA Warner,3,0,3,31,,11,8,0,-,1.0,3,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Medium
19,DA Warner,R Vinay Kumar,MS Wade,2,0,2,33,,22,12,0,-,2.0,3,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Medium
20,DA Warner,R Vinay Kumar,MS Wade,3,0,3,36,,25,13,0,-,3.0,3,0,,,,field,India,1,Stadium Australia,2012,02,Australia_India_2012-02-01,Australia,Australia,India,True,171,Left hand Bat,Left hand Bat,Right arm Medium
