,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Rahmanullah Gurbaz,Mohammad Saifuddin,Hazratullah,0,1,1,1,154,0,1,0,1,noballs,1,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
1,Rahmanullah Gurbaz,Mohammad Saifuddin,Hazratullah,1,0,1,2,153,1,2,0,2,-,1,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
2,Hazratullah,Mohammad Saifuddin,Rahmanullah Gurbaz,0,0,0,2,153,0,1,0,3,-,1,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
3,Hazratullah,Mohammad Saifuddin,Rahmanullah Gurbaz,0,0,0,2,153,0,2,0,4,-,1,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
4,Hazratullah,Mohammad Saifuddin,Rahmanullah Gurbaz,0,0,0,2,153,0,3,0,5,-,1,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
5,Hazratullah,Mohammad Saifuddin,Rahmanullah Gurbaz,0,0,0,2,153,0,4,0,6,-,1,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
6,Hazratullah,Mohammad Saifuddin,Rahmanullah Gurbaz,4,0,4,6,149,4,5,0,7,-,1,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
7,Rahmanullah Gurbaz,Shafiul Islam,Hazratullah,0,0,0,6,149,1,3,0,1,-,2,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
8,Rahmanullah Gurbaz,Shafiul Islam,Hazratullah,0,0,0,6,149,1,4,0,2,-,2,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
9,Rahmanullah Gurbaz,Shafiul Islam,Hazratullah,0,0,0,6,149,1,5,0,3,-,2,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
10,Rahmanullah Gurbaz,Shafiul Islam,Hazratullah,0,1,1,7,148,1,6,0,4,wides,2,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
11,Rahmanullah Gurbaz,Shafiul Islam,Hazratullah,0,0,0,7,148,1,7,0,5,-,2,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
12,Rahmanullah Gurbaz,Shafiul Islam,Hazratullah,1,0,1,8,147,2,8,0,6,-,2,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
13,Hazratullah,Shafiul Islam,Rahmanullah Gurbaz,0,0,0,8,147,4,6,0,7,-,2,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
14,Rahmanullah Gurbaz,Mohammad Saifuddin,Hazratullah,1,0,1,9,146,3,9,0,1,-,3,0,,,,field,Bangladesh,1,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Afghanistan_2019-09-21,Bangladesh,Afghanistan,Bangladesh,138
