,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,RG Sharma,Fazalhaq Farooqi,Shubman Gill,0,0,0,0,158,0,1,0,1,0,,,1,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
1,RG Sharma,Fazalhaq Farooqi,Shubman Gill,0,0,0,0,158,0,2,1,2,run out,RG Sharma,Rahmanullah Gurbaz;Ibrahim Zadran,1,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
2,Tilak Varma,Fazalhaq Farooqi,Shubman Gill,1,0,1,1,157,1,1,1,3,0,,,1,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
3,Shubman Gill,Fazalhaq Farooqi,Tilak Varma,0,0,0,1,157,0,1,1,4,0,,,1,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
4,Shubman Gill,Fazalhaq Farooqi,Tilak Varma,0,0,0,1,157,0,2,1,5,0,,,1,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
5,Shubman Gill,Fazalhaq Farooqi,Tilak Varma,4,0,4,5,153,4,3,1,6,0,,,1,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
6,Tilak Varma,Mujeeb Ur Rahman,Shubman Gill,0,0,0,5,153,1,2,1,1,0,,,2,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
7,Tilak Varma,Mujeeb Ur Rahman,Shubman Gill,1,0,1,6,152,2,3,1,2,0,,,2,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
8,Shubman Gill,Mujeeb Ur Rahman,Tilak Varma,1,0,1,7,151,5,4,1,3,0,,,2,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
9,Tilak Varma,Mujeeb Ur Rahman,Shubman Gill,0,0,0,7,151,2,4,1,4,0,,,2,-,field,India,2,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2024,01,Afghanistan_India_2024-01-11,India,India,Afghanistan,159
