,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,RG Sharma,AD Russell,AM Rahane,0,0,0,0,143,0,1,0,1,-,0,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
1,RG Sharma,AD Russell,AM Rahane,0,0,0,0,143,0,2,0,2,-,0,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
2,RG Sharma,AD Russell,AM Rahane,6,0,6,6,137,6,3,0,3,-,0,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
3,RG Sharma,AD Russell,AM Rahane,1,0,1,7,136,7,4,0,4,-,0,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
4,AM Rahane,AD Russell,RG Sharma,0,1,1,8,135,0,1,0,5,byes,0,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
5,RG Sharma,AD Russell,AM Rahane,0,0,0,8,135,7,5,0,6,-,0,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
6,AM Rahane,S Badree,RG Sharma,1,0,1,9,134,1,2,0,1,-,1,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
7,RG Sharma,S Badree,AM Rahane,2,0,2,11,132,9,6,0,2,-,1,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
8,RG Sharma,S Badree,AM Rahane,1,0,1,12,131,10,7,0,3,-,1,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
9,AM Rahane,S Badree,RG Sharma,2,0,2,14,129,3,3,0,4,-,1,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
10,AM Rahane,S Badree,RG Sharma,1,0,1,15,128,4,4,0,5,-,1,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
11,RG Sharma,S Badree,AM Rahane,0,0,0,15,128,10,8,0,6,-,1,0,field,India,2,Central Broward Regional Park Stadium Turf Ground,2016,08,India_West Indies_2016-08-28,no result,India,West Indies,15
