,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Haseebullah Khan,TG Southee,Mohammad Rizwan,0,0,0,0,158,0,1,0,1,0,,,1,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
1,Haseebullah Khan,TG Southee,Mohammad Rizwan,0,0,0,0,158,0,2,0,2,0,,,1,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
2,Haseebullah Khan,TG Southee,Mohammad Rizwan,0,0,0,0,158,0,3,1,3,caught,Haseebullah Khan,GD Phillips,1,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
3,Babar Azam,TG Southee,Mohammad Rizwan,0,0,0,0,158,0,1,1,4,0,,,1,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
4,Babar Azam,TG Southee,Mohammad Rizwan,0,0,0,0,158,0,2,1,5,0,,,1,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
5,Babar Azam,TG Southee,Mohammad Rizwan,0,0,0,0,158,0,3,1,6,0,,,1,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
6,Mohammad Rizwan,MJ Henry,Babar Azam,0,0,0,0,158,0,1,1,1,0,,,2,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
7,Mohammad Rizwan,MJ Henry,Babar Azam,0,0,0,0,158,0,2,1,2,0,,,2,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
8,Mohammad Rizwan,MJ Henry,Babar Azam,0,0,0,0,158,0,3,1,3,0,,,2,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
9,Mohammad Rizwan,MJ Henry,Babar Azam,0,0,0,0,158,0,4,1,4,0,,,2,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
10,Mohammad Rizwan,MJ Henry,Babar Azam,1,0,1,1,157,1,5,1,5,0,,,2,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
11,Babar Azam,MJ Henry,Mohammad Rizwan,1,0,1,2,156,1,4,1,6,0,,,2,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
12,Babar Azam,TG Southee,Mohammad Rizwan,0,0,0,2,156,1,5,1,1,0,,,3,-,,bat,Pakistan,1,"Hagley Oval, Christchurch",2024,01,Pakistan_New Zealand_2024-01-21,Pakistan,Pakistan,New Zealand,134
