,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,BA King,JP Behrendorff,J Charles,,0,0,0,0,241,0,1,0,1,0,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
1,BA King,JP Behrendorff,J Charles,,4,0,4,4,237,4,2,0,2,0,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
2,BA King,JP Behrendorff,J Charles,,0,0,0,4,237,4,3,0,3,0,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
3,BA King,JP Behrendorff,J Charles,,1,0,1,5,236,5,4,0,4,0,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
4,J Charles,JP Behrendorff,BA King,,6,0,6,11,230,6,1,0,5,0,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
5,J Charles,JP Behrendorff,BA King,"{'by': 'Australia', 'umpire': 'GA Abood', 'batter': 'J Charles', 'decision': 'struck down', 'type': 'wicket', 'umpires_call': True}",0,0,0,11,230,6,2,0,6,0,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
6,BA King,JR Hazlewood,J Charles,,0,0,0,11,230,5,5,0,1,1,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
7,BA King,JR Hazlewood,J Charles,,0,0,0,11,230,5,6,0,2,1,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
8,BA King,JR Hazlewood,J Charles,,0,0,0,11,230,5,7,0,3,1,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
9,BA King,JR Hazlewood,J Charles,,0,0,0,11,230,5,8,0,4,1,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
10,BA King,JR Hazlewood,J Charles,,0,0,0,11,230,5,9,1,5,1,-,caught,BA King,TH David,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
11,N Pooran,JR Hazlewood,J Charles,,0,1,1,12,229,0,1,1,6,1,legbyes,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
12,N Pooran,JP Behrendorff,J Charles,,0,0,0,12,229,0,2,1,1,2,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
13,N Pooran,JP Behrendorff,J Charles,,6,0,6,18,223,6,3,1,2,2,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
14,N Pooran,JP Behrendorff,J Charles,,6,0,6,24,217,12,4,1,3,2,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
15,N Pooran,JP Behrendorff,J Charles,,6,0,6,30,211,18,5,1,4,2,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
16,N Pooran,JP Behrendorff,J Charles,,0,1,1,31,210,18,6,1,5,2,wides,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
17,N Pooran,JP Behrendorff,J Charles,,0,1,1,32,209,18,7,1,6,2,wides,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
18,N Pooran,JP Behrendorff,J Charles,,0,0,0,32,209,18,8,1,7,2,-,0,,,field,West Indies,2,Adelaide Oval,2024,02,Australia_West Indies_2024-02-11,Australia,West Indies,Australia,207
