,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
25,CK Kapugedera,MJ Mason,KC Sangakkara,0,0,0,26,,12,14,3,6,-,caught,CK Kapugedera,JEC Franklin,3,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
26,KC Sangakkara,MJ Mason,MS Atapattu,0,0,0,26,,0,2,3,7,-,0,,,3,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
27,KC Sangakkara,MJ Mason,MS Atapattu,0,0,0,26,,0,3,3,8,-,0,,,3,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
28,MS Atapattu,JEC Franklin,KC Sangakkara,1,0,1,27,,1,1,3,1,-,0,,,4,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
29,KC Sangakkara,JEC Franklin,MS Atapattu,1,0,1,28,,1,4,3,2,-,0,,,4,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
30,MS Atapattu,JEC Franklin,KC Sangakkara,0,0,0,28,,1,2,3,3,-,0,,,4,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
31,MS Atapattu,JEC Franklin,KC Sangakkara,0,0,0,28,,1,3,3,4,-,0,,,4,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
32,MS Atapattu,JEC Franklin,KC Sangakkara,1,0,1,29,,2,4,3,5,-,0,,,4,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
33,KC Sangakkara,JEC Franklin,MS Atapattu,1,0,1,30,,2,5,3,6,-,0,,,4,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
34,KC Sangakkara,MJ Mason,MS Atapattu,0,0,0,30,,2,6,3,1,-,0,,,5,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
35,KC Sangakkara,MJ Mason,MS Atapattu,0,1,1,31,,2,7,3,2,legbyes,0,,,5,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
36,MS Atapattu,MJ Mason,KC Sangakkara,1,0,1,32,,3,5,3,3,-,0,,,5,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
37,KC Sangakkara,MJ Mason,MS Atapattu,4,0,4,36,,6,8,3,4,-,0,,,5,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
38,KC Sangakkara,MJ Mason,MS Atapattu,4,0,4,40,,10,9,3,5,-,0,,,5,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
39,KC Sangakkara,MJ Mason,MS Atapattu,0,0,0,40,,10,10,3,6,-,0,,,5,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
40,MS Atapattu,JEC Franklin,KC Sangakkara,1,0,1,41,,4,6,3,1,-,0,,,6,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
41,KC Sangakkara,JEC Franklin,MS Atapattu,1,0,1,42,,11,11,3,2,-,0,,,6,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
42,MS Atapattu,JEC Franklin,KC Sangakkara,1,0,1,43,,5,7,3,3,-,0,,,6,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
43,KC Sangakkara,JEC Franklin,MS Atapattu,0,0,0,43,,11,12,3,4,-,0,,,6,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
44,KC Sangakkara,JEC Franklin,MS Atapattu,1,0,1,44,,12,13,3,5,-,0,,,6,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
45,MS Atapattu,JEC Franklin,KC Sangakkara,0,0,0,44,,5,8,4,6,-,caught,MS Atapattu,PG Fulton,6,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
46,TM Dilshan,MR Gillespie,KC Sangakkara,0,0,0,44,,0,1,4,1,-,0,,,7,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
47,TM Dilshan,MR Gillespie,KC Sangakkara,1,0,1,45,,1,2,4,2,-,0,,,7,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
48,KC Sangakkara,MR Gillespie,TM Dilshan,0,0,0,45,,12,14,4,3,-,0,,,7,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
49,KC Sangakkara,MR Gillespie,TM Dilshan,1,0,1,46,,13,15,4,4,-,0,,,7,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
50,TM Dilshan,MR Gillespie,KC Sangakkara,0,5,5,51,,1,3,4,5,wides,0,,,7,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
51,TM Dilshan,MR Gillespie,KC Sangakkara,0,0,0,51,,1,4,4,6,-,0,,,7,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
52,TM Dilshan,MR Gillespie,KC Sangakkara,0,0,0,51,,1,5,4,7,-,0,,,7,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
53,KC Sangakkara,AR Adams,TM Dilshan,0,0,0,51,,13,16,4,1,-,0,,,8,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
54,KC Sangakkara,AR Adams,TM Dilshan,0,0,0,51,,13,17,5,2,-,caught,KC Sangakkara,PD McGlashan,8,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
55,LPC Silva,AR Adams,TM Dilshan,1,0,1,52,,1,1,5,3,-,0,,,8,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
56,TM Dilshan,AR Adams,LPC Silva,0,0,0,52,,1,6,5,4,-,0,,,8,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
57,TM Dilshan,AR Adams,LPC Silva,0,0,0,52,,1,7,5,5,-,0,,,8,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
58,TM Dilshan,AR Adams,LPC Silva,0,0,0,52,,1,8,5,6,-,0,,,8,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
59,LPC Silva,MR Gillespie,TM Dilshan,0,0,0,52,,1,2,5,1,-,0,,,9,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
60,LPC Silva,MR Gillespie,TM Dilshan,0,0,0,52,,1,3,5,2,-,0,,,9,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
61,LPC Silva,MR Gillespie,TM Dilshan,1,0,1,53,,2,4,5,3,-,0,,,9,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
62,TM Dilshan,MR Gillespie,LPC Silva,1,0,1,54,,2,9,5,4,-,0,,,9,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
63,LPC Silva,MR Gillespie,TM Dilshan,1,0,1,55,,3,5,5,5,-,0,,,9,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
64,TM Dilshan,MR Gillespie,LPC Silva,0,0,0,55,,2,10,5,6,-,0,,,9,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
65,LPC Silva,AR Adams,TM Dilshan,1,0,1,56,,4,6,5,1,-,0,,,10,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
66,TM Dilshan,AR Adams,LPC Silva,1,0,1,57,,3,11,5,2,-,0,,,10,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
67,LPC Silva,AR Adams,TM Dilshan,1,0,1,58,,5,7,6,3,-,run out,TM Dilshan,PG Fulton;PD McGlashan,10,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
68,HMCM Bandara,AR Adams,LPC Silva,1,0,1,59,,1,1,6,4,-,0,,,10,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
69,LPC Silva,AR Adams,HMCM Bandara,0,0,0,59,,5,8,6,5,-,0,,,10,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
70,LPC Silva,AR Adams,HMCM Bandara,1,0,1,60,,6,9,6,6,-,0,,,10,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
71,LPC Silva,MR Gillespie,HMCM Bandara,0,0,0,60,,6,10,6,1,-,0,,,11,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
