,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,RG Sharma,PVD Chameera,Ishan Kishan,1,0,1,1,182,1,1,0,-,1.0,0,,,0,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Right hand Bat,Left hand Bat,Right arm Fast
1,Ishan Kishan,PVD Chameera,RG Sharma,2,0,2,3,180,2,1,0,-,2.0,0,,,0,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Left hand Bat,Right hand Bat,Right arm Fast
2,Ishan Kishan,PVD Chameera,RG Sharma,4,0,4,7,176,6,2,0,-,3.0,0,,,0,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Left hand Bat,Right hand Bat,Right arm Fast
3,Ishan Kishan,PVD Chameera,RG Sharma,0,0,0,7,176,6,3,0,-,4.0,0,,,0,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Left hand Bat,Right hand Bat,Right arm Fast
4,Ishan Kishan,PVD Chameera,RG Sharma,0,1,1,8,175,6,3,0,wides,4.0,0,,,0,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Left hand Bat,Right hand Bat,Right arm Fast
5,Ishan Kishan,PVD Chameera,RG Sharma,1,0,1,9,174,7,4,0,-,5.0,0,,,0,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Left hand Bat,Right hand Bat,Right arm Fast
6,RG Sharma,PVD Chameera,Ishan Kishan,0,0,0,9,174,1,2,1,-,6.0,bowled,RG Sharma,,0,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Right hand Bat,Left hand Bat,Right arm Fast
7,Ishan Kishan,B Fernando,SS Iyer,0,0,0,9,174,7,5,1,-,1.0,0,,,1,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Left hand Bat,Right hand Bat,Left arm Medium
8,Ishan Kishan,B Fernando,SS Iyer,4,0,4,13,170,11,6,1,-,2.0,0,,,1,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Left hand Bat,Right hand Bat,Left arm Medium
9,Ishan Kishan,B Fernando,SS Iyer,0,0,0,13,170,11,7,1,-,3.0,0,,,1,,field,India,2,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-26,India,India,Sri Lanka,True,186,Left hand Bat,Right hand Bat,Left arm Medium
